#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1527494,26519292,AU108_gp02,AU108_gp02,PBI_EREMOS_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200927,-
1527494,26519293,AU108_gp03,AU108_gp03,PBI_EREMOS_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519294,AU108_gp04,AU108_gp04,PBI_EREMOS_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519295,AU108_gp05,AU108_gp05,PBI_EREMOS_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519296,AU108_gp06,AU108_gp06,PBI_EREMOS_6,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20200927,-
1527494,26519297,AU108_gp07,AU108_gp07,PBI_EREMOS_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519298,AU108_gp08,AU108_gp08,PBI_EREMOS_8,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1527494,26519299,AU108_gp09,AU108_gp09,PBI_EREMOS_9,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20200927,-
1527494,26519300,AU108_gp10,AU108_gp10,PBI_EREMOS_10,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210212,-
1527494,26519301,AU108_gp11,AU108_gp11,PBI_EREMOS_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519302,AU108_gp12,AU108_gp12,PBI_EREMOS_12,-,-,-,major capsid subunit,protein-coding,-,-,-,major capsid subunit,20200927,-
1527494,26519303,AU108_gp13,AU108_gp13,PBI_EREMOS_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519304,AU108_gp14,AU108_gp14,PBI_EREMOS_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519305,AU108_gp15,AU108_gp15,PBI_EREMOS_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519306,AU108_gp16,AU108_gp16,PBI_EREMOS_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519307,AU108_gp17,AU108_gp17,PBI_EREMOS_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519308,AU108_gp18,AU108_gp18,PBI_EREMOS_18,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1527494,26519309,AU108_gp19,AU108_gp19,PBI_EREMOS_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519310,AU108_gp20,AU108_gp20,PBI_EREMOS_20,-,-,-,queuine-tRNA ribosyltransferase,protein-coding,-,-,-,queuine-tRNA ribosyltransferase,20200927,-
1527494,26519311,AU108_gp21,AU108_gp21,PBI_EREMOS_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519312,AU108_gp22,AU108_gp22,PBI_EREMOS_22,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1527494,26519313,AU108_gp23,AU108_gp23,PBI_EREMOS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519314,AU108_gp24,AU108_gp24,PBI_EREMOS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519315,AU108_gp25,AU108_gp25,PBI_EREMOS_25,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1527494,26519316,AU108_gp26,AU108_gp26,PBI_EREMOS_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519317,AU108_gp27,AU108_gp27,PBI_EREMOS_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519318,AU108_gp28,AU108_gp28,PBI_EREMOS_28,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1527494,26519319,AU108_gp29,AU108_gp29,PBI_EREMOS_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1527494,26519320,AU108_gp30,AU108_gp30,PBI_EREMOS_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1527494,26519321,AU108_gp31,AU108_gp31,PBI_EREMOS_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1527494,26519322,AU108_gp32,AU108_gp32,PBI_EREMOS_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519323,AU108_gp33,AU108_gp33,PBI_EREMOS_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519324,AU108_gp34,AU108_gp34,PBI_EREMOS_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519325,AU108_gp35,AU108_gp35,PBI_EREMOS_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519326,AU108_gp36,AU108_gp36,PBI_EREMOS_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519327,AU108_gp37,AU108_gp37,PBI_EREMOS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519328,AU108_gp38,AU108_gp38,PBI_EREMOS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519329,AU108_gp39,AU108_gp39,PBI_EREMOS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519330,AU108_gp40,AU108_gp40,PBI_EREMOS_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519331,AU108_gp41,AU108_gp41,PBI_EREMOS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519332,AU108_gp42,AU108_gp42,PBI_EREMOS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519333,AU108_gp43,AU108_gp43,PBI_EREMOS_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519334,AU108_gp44,AU108_gp44,PBI_EREMOS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519335,AU108_gp45,AU108_gp45,PBI_EREMOS_45,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200927,-
1527494,26519336,AU108_gp46,AU108_gp46,PBI_EREMOS_46,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200927,-
1527494,26519337,AU108_gp47,AU108_gp47,PBI_EREMOS_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519338,AU108_gp48,AU108_gp48,PBI_EREMOS_48,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1527494,26519339,AU108_gp49,AU108_gp49,PBI_EREMOS_49,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1527494,26519340,AU108_gp50,AU108_gp50,PBI_EREMOS_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519341,AU108_gp51,AU108_gp51,PBI_EREMOS_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519342,AU108_gp52,AU108_gp52,PBI_EREMOS_52,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200927,-
1527494,26519343,AU108_gp53,AU108_gp53,PBI_EREMOS_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519344,AU108_gp54,AU108_gp54,PBI_EREMOS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519345,AU108_gp55,AU108_gp55,PBI_EREMOS_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527494,26519346,AU108_gp56,AU108_gp56,PBI_EREMOS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
