#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2499072,55009780,2,HOU95_gp002,SEA_HIYAA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210212,-
2499072,55009781,3,HOU95_gp003,SEA_HIYAA_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210212,-
2499072,55009782,4,HOU95_gp004,SEA_HIYAA_4,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210212,-
2499072,55009783,5,HOU95_gp005,SEA_HIYAA_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009784,6,HOU95_gp006,SEA_HIYAA_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2499072,55009785,7,HOU95_gp007,SEA_HIYAA_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210212,-
2499072,55009786,8,HOU95_gp008,SEA_HIYAA_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009787,9,HOU95_gp009,SEA_HIYAA_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009788,10,HOU95_gp010,SEA_HIYAA_10,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20200910,-
2499072,55009789,11,HOU95_gp011,SEA_HIYAA_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009790,12,HOU95_gp012,SEA_HIYAA_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009791,13,HOU95_gp013,SEA_HIYAA_13,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2499072,55009792,14,HOU95_gp014,SEA_HIYAA_14,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200910,-
2499072,55009793,15,HOU95_gp015,SEA_HIYAA_15,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200910,-
2499072,55009794,16,HOU95_gp016,SEA_HIYAA_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2499072,55009795,17,HOU95_gp017,SEA_HIYAA_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2499072,55009796,18,HOU95_gp018,SEA_HIYAA_18,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200910,-
2499072,55009797,20,HOU95_gp019,SEA_HIYAA_20,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2499072,55009798,21,HOU95_gp021,SEA_HIYAA_21,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210212,-
2499072,55009799,19,HOU95_gp020,SEA_HIYAA_19,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2499072,55009800,22,HOU95_gp022,SEA_HIYAA_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210212,-
2499072,55009801,23,HOU95_gp023,SEA_HIYAA_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009802,24,HOU95_gp024,SEA_HIYAA_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009803,25,HOU95_gp025,SEA_HIYAA_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2499072,55009804,26,HOU95_gp026,SEA_HIYAA_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009805,27,HOU95_gp027,SEA_HIYAA_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2499072,55009806,28,HOU95_gp028,SEA_HIYAA_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009807,29,HOU95_gp029,SEA_HIYAA_29,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2499072,55009808,30,HOU95_gp030,SEA_HIYAA_30,-,-,-,LysM-like endolysin,protein-coding,-,-,-,LysM-like endolysin,20210212,-
2499072,55009809,31,HOU95_gp031,SEA_HIYAA_31,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2499072,55009810,32,HOU95_gp032,SEA_HIYAA_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2499072,55009811,33,HOU95_gp033,SEA_HIYAA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009812,34,HOU95_gp034,SEA_HIYAA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009813,35,HOU95_gp035,SEA_HIYAA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009814,36,HOU95_gp036,SEA_HIYAA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009815,37,HOU95_gp037,SEA_HIYAA_37,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
2499072,55009816,38,HOU95_gp038,SEA_HIYAA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2499072,55009817,39,HOU95_gp039,SEA_HIYAA_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009818,40,HOU95_gp040,SEA_HIYAA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009819,41,HOU95_gp041,SEA_HIYAA_41,-,-,-,helicase,protein-coding,-,-,-,helicase,20210212,-
2499072,55009820,42,HOU95_gp042,SEA_HIYAA_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009821,43,HOU95_gt001,SEA_HIYAA_43,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2499072,55009822,44,HOU95_gp124,SEA_HIYAA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2499072,55009823,45,HOU95_gp123,SEA_HIYAA_45,-,-,-,DNA recombinase,protein-coding,-,-,-,DNA recombinase,20210212,-
2499072,55009824,46,HOU95_gp122,SEA_HIYAA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009825,47,HOU95_gp121,SEA_HIYAA_47,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210212,-
2499072,55009826,48,HOU95_gp120,SEA_HIYAA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009827,49,HOU95_gp119,SEA_HIYAA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009828,50,HOU95_gp118,SEA_HIYAA_50,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210212,-
2499072,55009829,51,HOU95_gp117,SEA_HIYAA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009830,52,HOU95_gp116,SEA_HIYAA_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009831,53,HOU95_gp115,SEA_HIYAA_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009832,54,HOU95_gp114,SEA_HIYAA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009833,55,HOU95_gp113,SEA_HIYAA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009834,56,HOU95_gp112,SEA_HIYAA_56,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210212,-
2499072,55009835,57,HOU95_gp111,SEA_HIYAA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009836,58,HOU95_gp110,SEA_HIYAA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009837,59,HOU95_gp109,SEA_HIYAA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009838,60,HOU95_gp108,SEA_HIYAA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009839,61,HOU95_gp107,SEA_HIYAA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009840,62,HOU95_gp106,SEA_HIYAA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2499072,55009841,63,HOU95_gp105,SEA_HIYAA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2499072,55009842,64,HOU95_gp104,SEA_HIYAA_64,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20200910,-
2499072,55009843,65,HOU95_gp103,SEA_HIYAA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
