#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301648,55810289,HYP68_gp002,HYP68_gp002,SeSz3_2,-,-,-,acyl carrier protein,protein-coding,-,-,-,acyl carrier protein,20210313,-
2301648,55810290,HYP68_gp003,HYP68_gp003,SeSz3_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301648,55810291,HYP68_gp004,HYP68_gp004,SeSz3_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810292,HYP68_gp005,HYP68_gp005,SeSz3_5,-,-,-,nicotinamide phosphoribosyltransferase,protein-coding,-,-,-,nicotinamide phosphoribosyltransferase,20210403,-
2301648,55810293,HYP68_gp006,HYP68_gp006,SeSz3_6,-,-,-,ribose-phosphate pyrophosphokinase,protein-coding,-,-,-,ribose-phosphate pyrophosphokinase,20210424,-
2301648,55810294,HYP68_gp007,HYP68_gp007,SeSz3_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301648,55810295,HYP68_gp008,HYP68_gp008,SeSz3_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810296,HYP68_gp009,HYP68_gp009,SeSz3_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810297,HYP68_gp010,HYP68_gp010,SeSz3_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810298,HYP68_gp011,HYP68_gp011,SeSz3_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301648,55810299,HYP68_gp012,HYP68_gp012,SeSz3_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301648,55810300,HYP68_gp013,HYP68_gp013,SeSz3_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301648,55810301,HYP68_gp014,HYP68_gp014,SeSz3_14,-,-,-,translational repressor,protein-coding,-,-,-,translational repressor,20201221,-
2301648,55810302,HYP68_gp015,HYP68_gp015,SeSz3_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301648,55810303,HYP68_gp016,HYP68_gp016,SeSz3_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2301648,55810304,HYP68_gp017,HYP68_gp017,SeSz3_17,-,-,-,sliding clamp holder,protein-coding,-,-,-,sliding clamp holder,20201221,-
2301648,55810305,HYP68_gp018,HYP68_gp018,SeSz3_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810306,HYP68_gp019,HYP68_gp019,SeSz3_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2301648,55810307,HYP68_gp020,HYP68_gp020,SeSz3_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2301648,55810308,HYP68_gp021,HYP68_gp021,SeSz3_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2301648,55810309,HYP68_gp022,HYP68_gp022,SeSz3_22,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20201221,-
2301648,55810310,HYP68_gp023,HYP68_gp023,SeSz3_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810311,HYP68_gp024,HYP68_gp024,SeSz3_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810312,HYP68_gp025,HYP68_gp025,SeSz3_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810313,HYP68_gp026,HYP68_gp026,SeSz3_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
2301648,55810314,HYP68_gp027,HYP68_gp027,SeSz3_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810315,HYP68_gp028,HYP68_gp028,SeSz3_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810316,HYP68_gp029,HYP68_gp029,SeSz3_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810317,HYP68_gp030,HYP68_gp030,SeSz3_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810318,HYP68_gp031,HYP68_gp031,SeSz3_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810319,HYP68_gp032,HYP68_gp032,SeSz3_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810320,HYP68_gp033,HYP68_gp033,SeSz3_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810321,HYP68_gp034,HYP68_gp034,SeSz3_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810322,HYP68_gp035,HYP68_gp035,SeSz3_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2301648,55810323,HYP68_gp036,HYP68_gp036,SeSz3_36,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20201221,-
2301648,55810324,HYP68_gp037,HYP68_gp037,SeSz3_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2301648,55810325,HYP68_gp038,HYP68_gp038,SeSz3_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810326,HYP68_gp039,HYP68_gp039,SeSz3_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810327,HYP68_gp040,HYP68_gp040,SeSz3_40,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2301648,55810328,HYP68_gp041,HYP68_gp041,SeSz3_41,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20201221,-
2301648,55810329,HYP68_gp042,HYP68_gp042,SeSz3_42,-,-,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210313,-
2301648,55810330,HYP68_gp043,HYP68_gp043,SeSz3_43,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210424,-
2301648,55810331,HYP68_gp044,HYP68_gp044,SeSz3_44,-,-,-,large terminase subunit,protein-coding,-,-,-,large terminase subunit,20201221,-
2301648,55810332,HYP68_gp045,HYP68_gp045,SeSz3_45,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20201221,-
2301648,55810333,HYP68_gp046,HYP68_gp046,SeSz3_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2301648,55810334,HYP68_gp047,HYP68_gp047,SeSz3_47,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201221,-
2301648,55810335,HYP68_gp048,HYP68_gp048,SeSz3_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
