#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5482,8317709,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Atelosaccharomyces tropicalis; Candida albicans var. tropicalis; Castellania tropicalis; Endomyces tropicalis; Monilia tropicalis; Myceloblastanon tropicale; Mycotorula tropicalis; Oidium tropicale; Procandida tropicalis).,other,-,-,-,-,20210515,-
5482,16792518,trnA(ugc),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5482,16792519,nad4,-,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,-,20180130,-
5482,16792520,trnT(ugu),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5482,16792521,trnH(gug),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5482,16792522,trnI(gau),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5482,16792523,trnV(uac),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5482,16792524,trnM(cau),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5482,16792525,atp9,-,-,-,MT,-,ATP synthase F0 subunit 9,protein-coding,-,-,-,-,20210417,-
5482,16792526,trnR(acg),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5482,16792527,cox1-I1,-,-,-,MT,-,putative LAGLIDADG endonuclease,protein-coding,-,-,-,-,20180130,-
5482,16792528,cox1-I2,-,-,-,MT,-,putative LAGLIDADG endonuclease,protein-coding,-,-,-,-,20180130,-
5482,16792529,trnW(uca),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5482,16792530,rns,-,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20180130,-
5482,16792531,trnN(guu),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5482,16792532,trnS(gcu),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5482,16792533,trnF(gaa),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5482,16792534,cox3,-,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,-,20180130,-
5482,16792535,trnS(uga),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5482,16792536,nad4L,-,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,-,20180130,-
5482,16792537,nad1,-,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,-,20180130,-
5482,16792538,trnL(uag),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5482,16792539,rnl,-,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20180130,-
5482,16792540,atp6,-,-,-,MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,-,20180130,-
5482,16792541,cox1-I3,-,-,-,MT,-,putative LAGLIDADG endonuclease,protein-coding,-,-,-,-,20180130,-
5482,16792542,cox1-I4,-,-,-,MT,-,putative LAGLIDADG endonuclease,protein-coding,-,-,-,-,20180130,-
5482,16792543,nad5,-,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,-,20180130,-
5482,16792544,nad2,-,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,-,20180130,-
5482,16792545,nad6,-,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,-,20180130,-
5482,16792546,trnL(uaa),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5482,16792547,trnY(gua),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5482,16792548,trnG(ucc),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5482,16792549,trnE(uuc),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5482,16792550,trnQ(uug),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5482,16792551,trnD(guc),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5482,16792552,trnK(uuu),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5482,16792553,trnM(cau),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5482,16792554,trnR(ucu),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5482,16792555,trnC(gca),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
5482,16792556,nad3,-,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,-,20180130,-
5482,16792557,cox2,-,-,-,MT,-,cytochrome c oxidase subunit 2,protein-coding,-,-,-,-,20180130,-
5482,16792558,atp8,-,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,-,20180130,-
5482,16792559,cox1,-,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,-,20180130,-
5482,16792560,cob,-,-,-,MT,-,apocytochrome b,protein-coding,-,-,-,-,20180130,-
5482,16792561,trnP(ugg),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20180130,-
