#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2749430,63642506,KB682_gp63,KB682_gp63,-,-,-,-,transcription regulator,protein-coding,-,-,-,transcription regulator,20210522,-
2749430,63642507,KB682_gp02,KB682_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210522,-
2749430,63642508,KB682_gp03,KB682_gp03,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210522,-
2749430,63642509,KB682_gp04,KB682_gp04,-,-,-,-,Rz spanin,protein-coding,-,-,-,Rz spanin,20210522,-
2749430,63642510,KB682_gp05,KB682_gp05,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210522,-
2749430,63642511,KB682_gp06,KB682_gp06,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210418,-
2749430,63642512,KB682_gp07,KB682_gp07,-,-,-,-,holin,protein-coding,-,-,-,holin,20210418,-
2749430,63642513,KB682_gp08,KB682_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2749430,63642514,KB682_gp09,KB682_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642515,KB682_gp10,KB682_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2749430,63642516,KB682_gp11,KB682_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642517,KB682_gp12,KB682_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642518,KB682_gp13,KB682_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2749430,63642519,KB682_gp14,KB682_gp14,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210522,-
