#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
573,2827931,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene ('Klebsiella aerogenes' (Kruse) Taylor et al. 1956; Bacillus pneumoniae; Bacterium pneumoniae crouposae; Hyalococcus pneumoniae; Klebsiella pneumoniae aerogenes.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210522,-
573,39626215,ENZ43_RS00015,ENZ43_RS00015,ENZ43_00015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626225,ENZ43_RS00060,ENZ43_RS00060,ENZ43_00060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
573,39626239,ENZ43_RS00130,ENZ43_RS00130,ENZ43_00130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626240,ENZ43_RS00135,ENZ43_RS00135,ENZ43_00135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626300,ENZ43_RS00435,ENZ43_RS00435,ENZ43_00435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626303,ENZ43_RS00450,ENZ43_RS00450,ENZ43_00450,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626357,ENZ43_RS00720,ENZ43_RS00720,ENZ43_00720,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626359,ENZ43_RS00730,ENZ43_RS00730,ENZ43_00730,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626367,ENZ43_RS00770,ENZ43_RS00770,ENZ43_00770,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626368,ENZ43_RS00775,ENZ43_RS00775,ENZ43_00775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
573,39626382,ENZ43_RS00845,ENZ43_RS00845,ENZ43_00845,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
573,39626400,ENZ43_RS00935,ENZ43_RS00935,ENZ43_00935,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626402,ENZ43_RS00945,ENZ43_RS00945,ENZ43_00945,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
573,39626437,ENZ43_RS01120,ENZ43_RS01120,ENZ43_01120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
573,39626438,ENZ43_RS01125,ENZ43_RS01125,ENZ43_01125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626442,ENZ43_RS01145,ENZ43_RS01145,ENZ43_01145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626533,C6M05_RS28925,C6M05_RS28925,C6M05_28915,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190601,-
573,39626579,C6M05_RS29155,C6M05_RS29155,C6M05_29145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626580,C6M05_RS29160,C6M05_RS29160,C6M05_29150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626581,C6M05_RS29165,C6M05_RS29165,C6M05_29155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626582,C6M05_RS29170,C6M05_RS29170,C6M05_29160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190814,-
573,39626584,C6M05_RS29180,C6M05_RS29180,C6M05_29170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626588,C6M05_RS29200,C6M05_RS29200,C6M05_29190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626589,C6M05_RS29205,C6M05_RS29205,C6M05_29195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626590,C6M05_RS29210,C6M05_RS29210,C6M05_29200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
573,39626592,C6M05_RS29220,C6M05_RS29220,C6M05_29210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626595,C6M05_RS29235,C6M05_RS29235,C6M05_29225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
573,39626600,C6M05_RS29260,C6M05_RS29260,C6M05_29250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626635,C6M05_RS29435,C6M05_RS29435,C6M05_29425,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
573,39626636,C6M05_RS29440,C6M05_RS29440,C6M05_29430,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626639,C6M05_RS29455,C6M05_RS29455,C6M05_29445,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626642,C6M05_RS29470,C6M05_RS29470,C6M05_29460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626643,C6M05_RS29475,C6M05_RS29475,C6M05_29465,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626645,C6M05_RS29485,C6M05_RS29485,C6M05_29475,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626647,C6M05_RS29495,C6M05_RS29495,C6M05_29485,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
573,39626652,C6M05_RS29520,C6M05_RS29520,C6M05_29510,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
573,39626654,C6M05_RS29530,C6M05_RS29530,C6M05_29520,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626656,C6M05_RS29540,C6M05_RS29540,C6M05_29530,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626664,C6M05_RS29580,C6M05_RS29580,C6M05_29570,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626666,C6M05_RS29590,C6M05_RS29590,C6M05_29580,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626679,C6M05_RS29655,C6M05_RS29655,C6M05_29645,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626689,C6M05_RS29705,C6M05_RS29705,C6M05_29695,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626690,C6M05_RS29710,C6M05_RS29710,C6M05_29700,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626691,C6M05_RS29715,C6M05_RS29715,C6M05_29705,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626692,C6M05_RS29720,C6M05_RS29720,C6M05_29710,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626694,C6M05_RS29730,C6M05_RS29730,C6M05_29720,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626695,C6M05_RS29735,C6M05_RS29735,C6M05_29725,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626709,C6M05_RS29805,C6M05_RS29805,C6M05_29795,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626710,C6M05_RS29810,C6M05_RS29810,C6M05_29800,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626755,ENZ43_RS01330,ENZ43_RS01330,ENZ43_01330,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626756,ENZ43_RS01335,ENZ43_RS01335,ENZ43_01335,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626759,ENZ43_RS01350,ENZ43_RS01350,ENZ43_01350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626769,ENZ43_RS01400,ENZ43_RS01400,ENZ43_01400,-,-,-,IS66 family insertion sequence hypothetical protein,protein-coding,-,-,-,IS66 family insertion sequence hypothetical protein,20190429,-
573,39626788,ENZ43_RS01495,ENZ43_RS01495,ENZ43_01495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626794,ENZ43_RS01525,ENZ43_RS01525,ENZ43_01525,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626801,ENZ43_RS01560,ENZ43_RS01560,ENZ43_01560,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626807,ENZ43_RS01590,ENZ43_RS01590,ENZ43_01590,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626808,ENZ43_RS01595,ENZ43_RS01595,ENZ43_01595,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626810,ENZ43_RS01605,ENZ43_RS01605,ENZ43_01605,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626841,ENZ43_RS01760,ENZ43_RS01760,ENZ43_01760,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626859,ENZ43_RS01850,ENZ43_RS01850,ENZ43_01850,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626867,ENZ43_RS01890,ENZ43_RS01890,ENZ43_01890,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626869,ENZ43_RS01900,ENZ43_RS01900,ENZ43_01900,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626883,CAK82_RS27725,CAK82_RS27725,CAK82_27730,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39626906,CAK82_RS27835,CAK82_RS27835,CAK82_27840,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190406,-
573,39626923,CAK82_RS27920,CAK82_RS27920,CAK82_27925,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39626926,CAK82_RS27935,CAK82_RS27935,CAK82_27940,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39626951,CAK82_RS28060,CAK82_RS28060,CAK82_28065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39626952,CAK82_RS28065,CAK82_RS28065,CAK82_28070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627067,CAK82_RS28640,CAK82_RS28640,CAK82_28645,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627073,CAK82_RS28670,CAK82_RS28670,CAK82_28675,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
573,39627172,CAK82_RS29165,CAK82_RS29165,CAK82_29170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627189,CAK82_RS29240,CAK82_RS29240,CAK82_29245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627192,CAK82_RS29270,CAK82_RS29270,CAK82_29275,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627197,CAK82_RS29295,CAK82_RS29295,CAK82_29300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627198,CAK82_RS29300,CAK82_RS29300,CAK82_29305,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627203,CAK82_RS29325,CAK82_RS29325,CAK82_29330,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627207,CAK82_RS29345,CAK82_RS29345,CAK82_29350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627208,CAK82_RS29245,CAK82_RS29245,CAK82_29250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39627209,CAK82_RS29350,CAK82_RS29350,CAK82_29355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627222,CAK82_RS29415,CAK82_RS29415,CAK82_29420,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627223,CAK82_RS29420,CAK82_RS29420,CAK82_29425,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39627228,CAK82_RS29445,CAK82_RS29445,CAK82_29450,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
