#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5286,27430690,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Rhodosporidium toruloides; Rhodotorula gracilis; Rhodotorula rubescens).,other,-,-,-,-,20160428,-
5286,62619526,atp6,JR093_mgp02,-,-,MT,-,ATP synthase F0 subunit a,protein-coding,-,-,-,ATP synthase F0 subunit a,20210529,-
5286,62619527,nad6,JR093_mgp03,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20210529,-
5286,62619528,orf109,JR093_mgp04,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210210,-
5286,62619529,trnN(gtt),JR093_mgt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619530,rps3,JR093_mgp25,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,ribosomal protein S3,20210529,-
5286,62619531,trnL(caa),JR093_mgt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619532,rnl,JR093_mgr02,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20210210,-
5286,62619533,nad4,JR093_mgp24,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20210529,-
5286,62619534,trnM(cat),JR093_mgt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619535,trnH(gtg),JR093_mgt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
5286,62619536,atp9,JR093_mgp23,-,-,MT,-,ATP synthase F0 subunit c,protein-coding,-,-,-,ATP synthase F0 subunit c,20210529,-
5286,62619537,rns,JR093_mgr01,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20210210,-
5286,62619538,trnT(tag),JR093_mgt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210210,-
