#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821563,29124296,2,BJD58_gp02,SEA_UMATHURMAN_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1821563,29124297,3,BJD58_gp03,SEA_UMATHURMAN_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1821563,29124298,4,BJD58_gp04,SEA_UMATHURMAN_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210424,-
1821563,29124299,5,BJD58_gp05,SEA_UMATHURMAN_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1821563,29124300,6,BJD58_gp06,SEA_UMATHURMAN_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1821563,29124301,7,BJD58_gp07,SEA_UMATHURMAN_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124302,8,BJD58_gp08,SEA_UMATHURMAN_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1821563,29124303,9,BJD58_gp09,SEA_UMATHURMAN_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200927,-
1821563,29124304,10,BJD58_gp10,SEA_UMATHURMAN_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124305,11,BJD58_gp11,SEA_UMATHURMAN_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124306,12,BJD58_gp12,SEA_UMATHURMAN_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124307,13,BJD58_gp13,SEA_UMATHURMAN_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200927,-
1821563,29124308,14,BJD58_gp14,SEA_UMATHURMAN_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1821563,29124309,16,BJD58_gp15,SEA_UMATHURMAN_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1821563,29124310,15,BJD58_gp16,SEA_UMATHURMAN_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1821563,29124311,17,BJD58_gp17,SEA_UMATHURMAN_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1821563,29124312,18,BJD58_gp18,SEA_UMATHURMAN_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821563,29124313,19,BJD58_gp19,SEA_UMATHURMAN_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1821563,29124314,20,BJD58_gp20,SEA_UMATHURMAN_20,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",protein-coding,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",20200927,-
1821563,29124315,21,BJD58_gp21,SEA_UMATHURMAN_21,-,-,-,"lysin A, glycosyl hydrolase domain",protein-coding,-,-,-,"lysin A, glycosyl hydrolase domain",20200927,-
1821563,29124316,22,BJD58_gp22,SEA_UMATHURMAN_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124317,23,BJD58_gp23,SEA_UMATHURMAN_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821563,29124318,24,BJD58_gp24,SEA_UMATHURMAN_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
