#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
83462,55635504,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Myxococcus exiguus.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20200622,-
83462,64076080,JYJ95_RS00005,JYJ95_RS00005,JYJ95_00005,-,-,-,exo-alpha-sialidase,protein-coding,-,-,-,exo-alpha-sialidase,20210422,-
83462,64076081,JYJ95_RS00010,JYJ95_RS00010,JYJ95_00010,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20210422,-
83462,64076082,JYJ95_RS00015,JYJ95_RS00015,JYJ95_00015,-,-,-,PhnD/SsuA/transferrin family substrate-binding protein,protein-coding,-,-,-,PhnD/SsuA/transferrin family substrate-binding protein,20210422,-
83462,64076083,thpR,JYJ95_RS00020,JYJ95_00020,-,-,-,"RNA 2',3'-cyclic phosphodiesterase",protein-coding,-,-,-,"RNA 2',3'-cyclic phosphodiesterase",20210422,-
83462,64076084,JYJ95_RS00025,JYJ95_RS00025,JYJ95_00025,-,-,-,metal-dependent hydrolase,protein-coding,-,-,-,metal-dependent hydrolase,20210422,-
83462,64076085,JYJ95_RS00030,JYJ95_RS00030,JYJ95_00030,-,-,-,adenylate/guanylate cyclase domain-containing protein,protein-coding,-,-,-,adenylate/guanylate cyclase domain-containing protein,20210422,-
83462,64076086,JYJ95_RS00035,JYJ95_RS00035,JYJ95_00035,-,-,-,proline--tRNA ligase,protein-coding,-,-,-,proline--tRNA ligase,20210422,-
83462,64076087,JYJ95_RS00040,JYJ95_RS00040,JYJ95_00040,-,-,-,DUF4336 domain-containing protein,protein-coding,-,-,-,DUF4336 domain-containing protein,20210422,-
83462,64076088,JYJ95_RS00045,JYJ95_RS00045,JYJ95_00045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
83462,64076089,JYJ95_RS00050,JYJ95_RS00050,JYJ95_00050,-,-,-,endonuclease/exonuclease/phosphatase family protein,protein-coding,-,-,-,endonuclease/exonuclease/phosphatase family protein,20210422,-
83462,64076090,JYJ95_RS00055,JYJ95_RS00055,JYJ95_00055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
83462,64076091,JYJ95_RS00060,JYJ95_RS00060,JYJ95_00060,-,-,-,YdcF family protein,protein-coding,-,-,-,YdcF family protein,20210422,-
83462,64076092,JYJ95_RS00065,JYJ95_RS00065,JYJ95_00065,-,-,-,MarR family transcriptional regulator,protein-coding,-,-,-,MarR family transcriptional regulator,20210422,-
83462,64076093,modA,JYJ95_RS00070,JYJ95_00070,-,-,-,molybdate ABC transporter substrate-binding protein,protein-coding,-,-,-,molybdate ABC transporter substrate-binding protein,20210422,-
83462,64076094,modB,JYJ95_RS00075,JYJ95_00075,-,-,-,molybdate ABC transporter permease subunit,protein-coding,-,-,-,molybdate ABC transporter permease subunit,20210422,-
83462,64076095,modC,JYJ95_RS00080,JYJ95_00080,-,-,-,molybdenum ABC transporter ATP-binding protein,protein-coding,-,-,-,molybdenum ABC transporter ATP-binding protein,20210422,-
83462,64076096,JYJ95_RS00085,JYJ95_RS00085,JYJ95_00085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
83462,64076097,JYJ95_RS00090,JYJ95_RS00090,JYJ95_00090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
83462,64076098,JYJ95_RS00095,JYJ95_RS00095,JYJ95_00095,-,-,-,pentapeptide repeat-containing protein,protein-coding,-,-,-,pentapeptide repeat-containing protein,20210422,-
83462,64076099,JYJ95_RS00100,JYJ95_RS00100,JYJ95_00100,-,-,-,alpha/beta hydrolase,protein-coding,-,-,-,alpha/beta hydrolase,20210422,-
83462,64076100,JYJ95_RS00105,JYJ95_RS00105,JYJ95_00105,-,-,-,glycogen-debranching protein,protein-coding,-,-,-,glycogen-debranching protein,20210422,-
83462,64076101,JYJ95_RS00110,JYJ95_RS00110,JYJ95_00110,-,-,-,DUF4215 domain-containing protein,protein-coding,-,-,-,DUF4215 domain-containing protein,20210422,-
83462,64076102,JYJ95_RS00115,JYJ95_RS00115,JYJ95_00115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
83462,64076103,JYJ95_RS00120,JYJ95_RS00120,JYJ95_00120,-,-,-,protein kinase,protein-coding,-,-,-,protein kinase,20210422,-
83462,64076104,JYJ95_RS00125,JYJ95_RS00125,JYJ95_00125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
83462,64076105,JYJ95_RS00130,JYJ95_RS00130,JYJ95_00130,-,-,-,HEAT repeat domain-containing protein,protein-coding,-,-,-,HEAT repeat domain-containing protein,20210422,-
83462,64076106,JYJ95_RS00135,JYJ95_RS00135,JYJ95_00135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210426,-
83462,64076107,JYJ95_RS00140,JYJ95_RS00140,JYJ95_00140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
83462,64076108,JYJ95_RS00145,JYJ95_RS00145,JYJ95_00145,-,-,-,lysoplasmalogenase,protein-coding,-,-,-,lysoplasmalogenase,20210422,-
