#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1873954,55630722,HWB01_gp002,HWB01_gp002,E_002,-,-,-,rIIA,protein-coding,-,-,-,rIIA,20200620,-
1873954,55630723,HWB01_gp003,HWB01_gp003,E_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630724,HWB01_gp004,HWB01_gp004,E_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1873954,55630725,HWB01_gp005,HWB01_gp005,E_005,-,-,-,DNA topoisomerase subunit,protein-coding,-,-,-,DNA topoisomerase subunit,20210424,-
1873954,55630726,HWB01_gp006,HWB01_gp006,E_006,-,-,-,DNA topoisomerase II large subunit,protein-coding,-,-,-,DNA topoisomerase II large subunit,20210424,-
1873954,55630727,HWB01_gp007,HWB01_gp007,E_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1873954,55630728,HWB01_gp008,HWB01_gp008,E_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630729,HWB01_gp009,HWB01_gp009,E_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630730,HWB01_gp010,HWB01_gp010,E_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630731,HWB01_gp011,HWB01_gp011,E_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630732,HWB01_gp012,HWB01_gp012,E_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630733,HWB01_gp013,HWB01_gp013,E_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630734,HWB01_gp014,HWB01_gp014,E_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630735,HWB01_gp015,HWB01_gp015,E_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630736,HWB01_gp016,HWB01_gp016,E_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630737,HWB01_gp017,HWB01_gp017,E_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630738,HWB01_gp018,HWB01_gp018,E_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630739,HWB01_gp019,HWB01_gp019,E_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630740,HWB01_gp020,HWB01_gp020,E_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1873954,55630741,HWB01_gp021,HWB01_gp021,E_021,-,-,-,exonuclease A,protein-coding,-,-,-,exonuclease A,20210424,-
1873954,55630742,HWB01_gp022,HWB01_gp022,E_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630743,HWB01_gp023,HWB01_gp023,E_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630744,HWB01_gp024,HWB01_gp024,E_024,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210116,-
1873954,55630745,HWB01_gp025,HWB01_gp025,E_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630746,HWB01_gp026,HWB01_gp026,E_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630747,HWB01_gp027,HWB01_gp027,E_027,-,-,-,dCTPase,protein-coding,-,-,-,dCTPase,20210424,-
