#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
925984,10351386,ErPhphiEt88_gp01,ErPhphiEt88_gp01,P88_00010,-,-,-,endopeptidase (lysis protein),protein-coding,-,-,-,endopeptidase (lysis protein),20200909,-
925984,10351387,hkbK,ErPhphiEt88_gp02,P88_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351388,ErPhphiEt88_gp07,ErPhphiEt88_gp07,P88_00070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351389,ErPhphiEt88_gp08,ErPhphiEt88_gp08,P88_00080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351390,ErPhphiEt88_gp09,ErPhphiEt88_gp09,P88_00090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351391,ErPhphiEt88_gp10,ErPhphiEt88_gp10,P88_00100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351392,ErPhphiEt88_gp11,ErPhphiEt88_gp11,P88_00110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351393,ErPhphiEt88_gp12,ErPhphiEt88_gp12,P88_00120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351394,ErPhphiEt88_gp13,ErPhphiEt88_gp13,P88_00130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351395,ErPhphiEt88_gp14,ErPhphiEt88_gp14,P88_00140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351396,ErPhphiEt88_gp15,ErPhphiEt88_gp15,P88_00150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351397,ErPhphiEt88_gp16,ErPhphiEt88_gp16,P88_00160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
925984,10351398,ErPhphiEt88_gp17,ErPhphiEt88_gp17,P88_00170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
