#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2664223,62359642,2,JMN48_gp02,SEA_BACONJACK_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
2664223,62359643,3,JMN48_gp03,SEA_BACONJACK_3,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210123,-
2664223,62359644,4,JMN48_gp04,SEA_BACONJACK_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359645,5,JMN48_gp05,SEA_BACONJACK_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359646,7,JMN48_gp07,SEA_BACONJACK_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359647,8,JMN48_gp08,SEA_BACONJACK_8,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2664223,62359648,9,JMN48_gp09,SEA_BACONJACK_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359649,10,JMN48_gp10,SEA_BACONJACK_10,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2664223,62359650,11,JMN48_gp11,SEA_BACONJACK_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359651,12,JMN48_gp12,SEA_BACONJACK_12,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210123,-
2664223,62359652,13,JMN48_gp13,SEA_BACONJACK_13,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
2664223,62359653,14,JMN48_gp14,SEA_BACONJACK_14,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2664223,62359654,15,JMN48_gp15,SEA_BACONJACK_15,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210123,-
2664223,62359655,16,JMN48_gp16,SEA_BACONJACK_16,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210123,-
2664223,62359656,17,JMN48_gp17,SEA_BACONJACK_17,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2664223,62359657,18,JMN48_gp18,SEA_BACONJACK_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2664223,62359658,19,JMN48_gp19,SEA_BACONJACK_19,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210424,-
2664223,62359659,20,JMN48_gp20,SEA_BACONJACK_20,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210123,-
2664223,62359660,21,JMN48_gp21,SEA_BACONJACK_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2664223,62359661,22,JMN48_gp22,SEA_BACONJACK_22,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210123,-
2664223,62359662,23,JMN48_gp23,SEA_BACONJACK_23,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210123,-
2664223,62359663,25,JMN48_gp24,SEA_BACONJACK_25,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
2664223,62359664,26,JMN48_gp26,SEA_BACONJACK_26,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2664223,62359665,24,JMN48_gp25,SEA_BACONJACK_24,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
2664223,62359666,27,JMN48_gp27,SEA_BACONJACK_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
