#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1337877,16385262,IBBPl23_02,IBBPl23_02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1337877,16385263,IBBPl23_03,IBBPl23_03,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1337877,16385264,IBBPl23_04,IBBPl23_04,-,-,-,-,Clp protease-like protein,protein-coding,-,-,-,Clp protease-like protein,20201221,-
1337877,16385265,IBBPl23_05,IBBPl23_05,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1337877,16385266,IBBPl23_06,IBBPl23_06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385267,IBBPl23_07,IBBPl23_07,-,-,-,-,gp6-like head-tail connector protein,protein-coding,-,-,-,gp6-like head-tail connector protein,20201221,-
1337877,16385268,IBBPl23_08,IBBPl23_08,-,-,-,-,head closure protein,protein-coding,-,-,-,head closure protein,20201221,-
1337877,16385269,IBBPl23_09,IBBPl23_09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1337877,16385270,IBBPl23_10,IBBPl23_10,-,-,-,-,DUF3168 domain-containing protein,protein-coding,-,-,-,DUF3168 domain-containing protein,20210123,-
1337877,16385271,IBBPl23_11,IBBPl23_11,-,-,-,-,"major tail protein, TP901-1 family",protein-coding,-,-,-,"major tail protein, TP901-1 family",20210406,-
1337877,16385272,IBBPl23_12,IBBPl23_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385273,IBBPl23_13,IBBPl23_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385274,IBBPl23_14,IBBPl23_14,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201221,-
1337877,16385275,IBBPl23_15,IBBPl23_15,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1337877,16385276,IBBPl23_16,IBBPl23_16,-,-,-,-,siphovirus ReqiPepy6 Gp37-like family protein,protein-coding,-,-,-,siphovirus ReqiPepy6 Gp37-like family protein,20210406,-
1337877,16385277,IBBPl23_17,IBBPl23_17,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1337877,16385278,IBBPl23_18,IBBPl23_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385279,IBBPl23_19,IBBPl23_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385280,IBBPl23_20,IBBPl23_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1337877,16385281,IBBPl23_21,IBBPl23_21,-,-,-,-,N-acetylmuramoyl-L-alanine amidase family protein,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase family protein,20201221,-
1337877,16385282,IBBPl23_21A,IBBPl23_21A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385283,IBBPl23_22,IBBPl23_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385284,IBBPl23_23,IBBPl23_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385285,IBBPl23_24,IBBPl23_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385286,IBBPl23_25,IBBPl23_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385287,IBBPl23_26,IBBPl23_26,-,-,-,-,toxin 1,protein-coding,-,-,-,toxin 1,20201221,-
1337877,16385288,IBBPl23_27,IBBPl23_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385289,IBBPl23_27A,IBBPl23_27A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385290,IBBPl23_27B,IBBPl23_27B,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385291,IBBPl23_28,IBBPl23_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385292,IBBPl23_29,IBBPl23_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1337877,16385293,IBBPl23_30,IBBPl23_30,-,-,-,-,recombination protein,protein-coding,-,-,-,recombination protein,20201221,-
