#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2507411,54983187,HOS18_gp02,HOS18_gp02,CF7_02,-,-,-,putative DNA exonuclease,protein-coding,-,-,-,putative DNA exonuclease,20210403,-
2507411,54983188,HOS18_gp03,HOS18_gp03,CF7_03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507411,54983189,HOS18_gp04,HOS18_gp04,CF7_04,-,-,-,putative DNA endonuclease,protein-coding,-,-,-,putative DNA endonuclease,20210403,-
2507411,54983190,HOS18_gp05,HOS18_gp05,CF7_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2507411,54983191,HOS18_gp06,HOS18_gp06,CF7_06,-,-,-,putative kinase phosphatase,protein-coding,-,-,-,putative kinase phosphatase,20210403,-
2507411,54983192,HOS18_gp07,HOS18_gp07,CF7_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2507411,54983193,HOS18_gp08,HOS18_gp08,CF7_08,-,-,-,putative DNA-dependent RNA polymerase,protein-coding,-,-,-,putative DNA-dependent RNA polymerase,20210403,-
2507411,54983194,HOS18_gp09,HOS18_gp09,CF7_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507411,54983195,HOS18_gp10,HOS18_gp10,CF7_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507411,54983196,HOS18_gp11,HOS18_gp11,CF7_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507411,54983197,HOS18_gp12,HOS18_gp12,CF7_12,-,-,-,putative portal protein/putative head-tail connector protein,protein-coding,-,-,-,putative portal protein/putative head-tail connector protein,20210403,-
2507411,54983198,HOS18_gp13,HOS18_gp13,CF7_13,-,-,-,putative scaffolding protein,protein-coding,-,-,-,putative scaffolding protein,20201221,-
2507411,54983199,HOS18_gp14,HOS18_gp14,CF7_14,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20210403,-
2507411,54983200,HOS18_gp15,HOS18_gp15,CF7_15,-,-,-,putative tail tubular protein A,protein-coding,-,-,-,putative tail tubular protein A,20210403,-
2507411,54983201,HOS18_gp16,HOS18_gp16,CF7_16,-,-,-,putative tail tubular protein B,protein-coding,-,-,-,putative tail tubular protein B,20201221,-
2507411,54983202,HOS18_gp17,HOS18_gp17,CF7_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507411,54983203,HOS18_gp18,HOS18_gp18,CF7_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507411,54983204,HOS18_gp19,HOS18_gp19,CF7_19,-,-,-,putative transglycosylase,protein-coding,-,-,-,putative transglycosylase,20210403,-
2507411,54983205,HOS18_gp20,HOS18_gp20,CF7_20,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210403,-
2507411,54983206,HOS18_gp21,HOS18_gp21,CF7_21,-,-,-,putative holin protein,protein-coding,-,-,-,putative holin protein,20210327,-
2507411,54983207,HOS18_gp22,HOS18_gp22,CF7_22,-,-,-,putative DNA maturase A,protein-coding,-,-,-,putative DNA maturase A,20210403,-
2507411,54983208,HOS18_gp23,HOS18_gp23,CF7_23,-,-,-,putative DNA maturase B,protein-coding,-,-,-,putative DNA maturase B,20210403,-
2507411,54983209,HOS18_gp24,HOS18_gp24,CF7_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507411,54983210,HOS18_gp25,HOS18_gp25,CF7_25,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20210403,-
2507411,54983211,HOS18_gp26,HOS18_gp26,CF7_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2507411,54983212,HOS18_gp27,HOS18_gp27,CF7_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
