#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591223,64766926,2,KHQ87_gp002,SEA_PHRAPPUCCINO_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210509,-
2591223,64766927,3,KHQ87_gp003,SEA_PHRAPPUCCINO_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766928,4,KHQ87_gp004,SEA_PHRAPPUCCINO_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766929,5,KHQ87_gp005,SEA_PHRAPPUCCINO_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766930,6,KHQ87_gp006,SEA_PHRAPPUCCINO_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766931,7,KHQ87_gp007,SEA_PHRAPPUCCINO_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766932,8,KHQ87_gp008,SEA_PHRAPPUCCINO_8,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20210509,-
2591223,64766933,9,KHQ87_gp009,SEA_PHRAPPUCCINO_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766934,10,KHQ87_gp010,SEA_PHRAPPUCCINO_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766935,11,KHQ87_gp011,SEA_PHRAPPUCCINO_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766936,12,KHQ87_gp012,SEA_PHRAPPUCCINO_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766937,13,KHQ87_gp013,SEA_PHRAPPUCCINO_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766938,14,KHQ87_gp014,SEA_PHRAPPUCCINO_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766939,15,KHQ87_gp015,SEA_PHRAPPUCCINO_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766940,16,KHQ87_gp016,SEA_PHRAPPUCCINO_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766941,17,KHQ87_gp017,SEA_PHRAPPUCCINO_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766942,18,KHQ87_gp018,SEA_PHRAPPUCCINO_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766943,19,KHQ87_gp019,SEA_PHRAPPUCCINO_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766944,20,KHQ87_gp020,SEA_PHRAPPUCCINO_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766945,21,KHQ87_gp021,SEA_PHRAPPUCCINO_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766946,22,KHQ87_gp022,SEA_PHRAPPUCCINO_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766947,23,KHQ87_gp023,SEA_PHRAPPUCCINO_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766948,24,KHQ87_gp024,SEA_PHRAPPUCCINO_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766949,25,KHQ87_gp025,SEA_PHRAPPUCCINO_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766950,26,KHQ87_gp026,SEA_PHRAPPUCCINO_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766951,27,KHQ87_gp027,SEA_PHRAPPUCCINO_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766952,28,KHQ87_gp028,SEA_PHRAPPUCCINO_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766953,29,KHQ87_gp029,SEA_PHRAPPUCCINO_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766954,30,KHQ87_gp030,SEA_PHRAPPUCCINO_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766955,31,KHQ87_gp031,SEA_PHRAPPUCCINO_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766956,32,KHQ87_gp032,SEA_PHRAPPUCCINO_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766957,33,KHQ87_gp033,SEA_PHRAPPUCCINO_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766958,34,KHQ87_gp034,SEA_PHRAPPUCCINO_34,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210509,-
2591223,64766959,35,KHQ87_gp035,SEA_PHRAPPUCCINO_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766960,36,KHQ87_gp036,SEA_PHRAPPUCCINO_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766961,37,KHQ87_gp037,SEA_PHRAPPUCCINO_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766962,38,KHQ87_gp038,SEA_PHRAPPUCCINO_38,-,-,-,integrase,protein-coding,-,-,-,integrase,20210509,-
2591223,64766963,39,KHQ87_gp039,SEA_PHRAPPUCCINO_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766964,40,KHQ87_gp040,SEA_PHRAPPUCCINO_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766965,42,KHQ87_gp042,SEA_PHRAPPUCCINO_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766966,43,KHQ87_gp043,SEA_PHRAPPUCCINO_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766967,45,KHQ87_gp045,SEA_PHRAPPUCCINO_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766968,46,KHQ87_gp046,SEA_PHRAPPUCCINO_46,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210509,-
2591223,64766969,47,KHQ87_gp047,SEA_PHRAPPUCCINO_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766970,49,KHQ87_gp049,SEA_PHRAPPUCCINO_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766971,50,KHQ87_gp050,SEA_PHRAPPUCCINO_50,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210509,-
2591223,64766972,51,KHQ87_gp051,SEA_PHRAPPUCCINO_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766973,52,KHQ87_gp052,SEA_PHRAPPUCCINO_52,-,-,-,LysM domain containing protein,protein-coding,-,-,-,LysM domain containing protein,20210509,-
2591223,64766974,53,KHQ87_gp053,SEA_PHRAPPUCCINO_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766975,54,KHQ87_gp054,SEA_PHRAPPUCCINO_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766976,55,KHQ87_gp055,SEA_PHRAPPUCCINO_55,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210509,-
2591223,64766977,56,KHQ87_gp056,SEA_PHRAPPUCCINO_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766978,57,KHQ87_gp057,SEA_PHRAPPUCCINO_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766979,58,KHQ87_gp058,SEA_PHRAPPUCCINO_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766980,59,KHQ87_gp059,SEA_PHRAPPUCCINO_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766981,60,KHQ87_gp060,SEA_PHRAPPUCCINO_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766982,61,KHQ87_gp061,SEA_PHRAPPUCCINO_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766983,62,KHQ87_gp062,SEA_PHRAPPUCCINO_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766984,63,KHQ87_gp063,SEA_PHRAPPUCCINO_63,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210509,-
2591223,64766985,64,KHQ87_gp064,SEA_PHRAPPUCCINO_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766986,65,KHQ87_gp065,SEA_PHRAPPUCCINO_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766987,66,KHQ87_gp066,SEA_PHRAPPUCCINO_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766988,67,KHQ87_gp067,SEA_PHRAPPUCCINO_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766989,68,KHQ87_gp068,SEA_PHRAPPUCCINO_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766990,69,KHQ87_gp069,SEA_PHRAPPUCCINO_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766991,70,KHQ87_gp070,SEA_PHRAPPUCCINO_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766992,71,KHQ87_gp071,SEA_PHRAPPUCCINO_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766993,72,KHQ87_gp072,SEA_PHRAPPUCCINO_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64766994,73,KHQ87_gp073,SEA_PHRAPPUCCINO_73,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210509,-
