#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2315700,65116116,KNU12_gp002,KNU12_gp002,-,-,-,-,L-shaped tail fiber protein,protein-coding,-,-,-,L-shaped tail fiber protein,20210607,-
2315700,65116117,KNU12_gp003,KNU12_gp003,-,-,-,-,"hinge connector of long tail fiber, distal connector",protein-coding,-,-,-,"hinge connector of long tail fiber, distal connector",20210607,-
2315700,65116118,KNU12_gp004,KNU12_gp004,-,-,-,-,"hinge connector of long tail fiber, proximal connector",protein-coding,-,-,-,"hinge connector of long tail fiber, proximal connector",20210607,-
2315700,65116119,KNU12_gp005,KNU12_gp005,-,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20210607,-
2315700,65116120,KNU12_gp006,KNU12_gp006,-,-,-,-,ribonuclease H,protein-coding,-,-,-,ribonuclease H,20210607,-
2315700,65116121,KNU12_gp007,KNU12_gp007,-,-,-,-,double-stranded DNA binding protein,protein-coding,-,-,-,double-stranded DNA binding protein,20210607,-
2315700,65116122,KNU12_gp008,KNU12_gp008,-,-,-,-,DNA helicase loader,protein-coding,-,-,-,DNA helicase loader,20210607,-
2315700,65116123,KNU12_gp009,KNU12_gp009,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210607,-
2315700,65116124,KNU12_gp010,KNU12_gp010,-,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20210609,-
2315700,65116125,KNU12_gp011,KNU12_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116126,KNU12_gp012,KNU12_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116127,KNU12_gp013,KNU12_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116128,KNU12_gp014,KNU12_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116129,KNU12_gp015,KNU12_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116130,KNU12_gp016,KNU12_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116131,KNU12_gp017,KNU12_gp017,-,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20210607,-
2315700,65116132,KNU12_gp018,KNU12_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116133,KNU12_gp019,KNU12_gp019,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210607,-
2315700,65116134,KNU12_gp020,KNU12_gp020,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210607,-
2315700,65116135,KNU12_gp021,KNU12_gp021,-,-,-,-,"ribonucleotide reductase of class Ia (aerobic), alpha subunit",protein-coding,-,-,-,"ribonucleotide reductase of class Ia (aerobic), alpha subunit",20210607,-
2315700,65116136,KNU12_gp022,KNU12_gp022,-,-,-,-,"ribonucleotide reductase of class Ia (aerobic), beta subunit",protein-coding,-,-,-,"ribonucleotide reductase of class Ia (aerobic), beta subunit",20210607,-
2315700,65116137,KNU12_gp023,KNU12_gp023,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210607,-
2315700,65116138,KNU12_gp024,KNU12_gp024,-,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210607,-
2315700,65116139,KNU12_gp025,KNU12_gp025,-,-,-,-,inhibitor of host transcription,protein-coding,-,-,-,inhibitor of host transcription,20210607,-
2315700,65116140,KNU12_gp026,KNU12_gp026,-,-,-,-,spanin Rz,protein-coding,-,-,-,spanin Rz,20210607,-
2315700,65116141,KNU12_gp027,KNU12_gp027,-,-,-,-,outer membrane lipoprotein,protein-coding,-,-,-,outer membrane lipoprotein,20210607,-
2315700,65116142,KNU12_gp028,KNU12_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116143,KNU12_gp029,KNU12_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116144,KNU12_gp030,KNU12_gp030,-,-,-,-,"3'-phosphatase, 5'-polynucleotide kinase",protein-coding,-,-,-,"3'-phosphatase, 5'-polynucleotide kinase",20210607,-
2315700,65116145,KNU12_gp031,KNU12_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116146,KNU12_gp032,KNU12_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116147,KNU12_gp033,KNU12_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116148,KNU12_gp034,KNU12_gp034,-,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210607,-
2315700,65116149,KNU12_gp035,KNU12_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116150,KNU12_gp036,KNU12_gp036,-,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20210607,-
2315700,65116151,KNU12_gp037,KNU12_gp037,-,-,-,-,capsid assembly chaperone,protein-coding,-,-,-,capsid assembly chaperone,20210607,-
