#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2590880,56214188,2,H3N89_gp02,SEA_MONCHOIX_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210417,-
2590880,56214189,3,H3N89_gp03,SEA_MONCHOIX_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200729,-
2590880,56214190,4,H3N89_gp04,SEA_MONCHOIX_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210417,-
2590880,56214191,5,H3N89_gp05,SEA_MONCHOIX_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200729,-
2590880,56214192,6,H3N89_gp06,SEA_MONCHOIX_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2590880,56214193,7,H3N89_gp07,SEA_MONCHOIX_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214194,8,H3N89_gp08,SEA_MONCHOIX_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214195,9,H3N89_gp09,SEA_MONCHOIX_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214196,10,H3N89_gp10,SEA_MONCHOIX_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214197,11,H3N89_gp11,SEA_MONCHOIX_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200729,-
2590880,56214198,12,H3N89_gp12,SEA_MONCHOIX_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214199,13,H3N89_gp13,SEA_MONCHOIX_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200729,-
2590880,56214200,14,H3N89_gp14,SEA_MONCHOIX_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200729,-
2590880,56214201,15,H3N89_gp15,SEA_MONCHOIX_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200729,-
2590880,56214202,16,H3N89_gp16,SEA_MONCHOIX_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201217,-
2590880,56214203,17,H3N89_gp17,SEA_MONCHOIX_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200729,-
2590880,56214204,18,H3N89_gp18,SEA_MONCHOIX_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2590880,56214205,19,H3N89_gp19,SEA_MONCHOIX_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214206,20,H3N89_gp20,SEA_MONCHOIX_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214207,21,H3N89_gp21,SEA_MONCHOIX_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214208,22,H3N89_gp22,SEA_MONCHOIX_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2590880,56214209,23,H3N89_gp23,SEA_MONCHOIX_23,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201217,-
2590880,56214210,24,H3N89_gp24,SEA_MONCHOIX_24,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200729,-
2590880,56214211,25,H3N89_gp25,SEA_MONCHOIX_25,-,-,-,holin,protein-coding,-,-,-,holin,20200729,-
2590880,56214212,26,H3N89_gp26,SEA_MONCHOIX_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214213,27,H3N89_gp27,SEA_MONCHOIX_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214214,28,H3N89_gp28,SEA_MONCHOIX_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214215,29,H3N89_gp29,SEA_MONCHOIX_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214216,30,H3N89_gp30,SEA_MONCHOIX_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214217,31,H3N89_gp31,SEA_MONCHOIX_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214218,32,H3N89_gp32,SEA_MONCHOIX_32,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210417,-
2590880,56214219,33,H3N89_gp33,SEA_MONCHOIX_33,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20200729,-
2590880,56214220,34,H3N89_gp34,SEA_MONCHOIX_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214221,35,H3N89_gp35,SEA_MONCHOIX_35,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210417,-
2590880,56214222,36,H3N89_gp36,SEA_MONCHOIX_36,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210417,-
2590880,56214223,37,H3N89_gp37,SEA_MONCHOIX_37,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210417,-
2590880,56214224,38,H3N89_gp38,SEA_MONCHOIX_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214225,39,H3N89_gp39,SEA_MONCHOIX_39,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210417,-
2590880,56214226,40,H3N89_gp40,SEA_MONCHOIX_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214227,41,H3N89_gp41,SEA_MONCHOIX_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214228,42,H3N89_gp42,SEA_MONCHOIX_42,-,-,-,nucleotide pyrophosphohydrolase,protein-coding,-,-,-,nucleotide pyrophosphohydrolase,20210417,-
2590880,56214229,43,H3N89_gp43,SEA_MONCHOIX_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214230,44,H3N89_gp44,SEA_MONCHOIX_44,-,-,-,thymidylate kinase,protein-coding,-,-,-,thymidylate kinase,20210417,-
2590880,56214231,45,H3N89_gp45,SEA_MONCHOIX_45,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200729,-
2590880,56214232,46,H3N89_gp46,SEA_MONCHOIX_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214233,47,H3N89_gp47,SEA_MONCHOIX_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214234,48,H3N89_gp48,SEA_MONCHOIX_48,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200729,-
2590880,56214235,49,H3N89_gp49,SEA_MONCHOIX_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214236,50,H3N89_gp50,SEA_MONCHOIX_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214237,51,H3N89_gp51,SEA_MONCHOIX_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214238,52,H3N89_gp52,SEA_MONCHOIX_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214239,53,H3N89_gp53,SEA_MONCHOIX_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214240,54,H3N89_gp54,SEA_MONCHOIX_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214241,55,H3N89_gp55,SEA_MONCHOIX_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214242,56,H3N89_gp56,SEA_MONCHOIX_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214243,57,H3N89_gp57,SEA_MONCHOIX_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2590880,56214244,58,H3N89_gp58,SEA_MONCHOIX_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214245,59,H3N89_gp59,SEA_MONCHOIX_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214246,60,H3N89_gp60,SEA_MONCHOIX_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214247,61A KMW,H3N89_gp61,SEA_MONCHOIX_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214248,63,H3N89_gp63,SEA_MONCHOIX_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214249,62,H3N89_gp62,SEA_MONCHOIX_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,56214250,1,H3N89_gp01,SEA_MONCHOIX_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590880,58119677,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200803,-
