#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10708,2648149,orf30,D3112p30,-,-,-,-,anti-CRISPR protein AcrF2,protein-coding,-,-,-,anti-CRISPR protein AcrF2,20201220,-
10708,2648150,orf36,D3112p36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
10708,2648151,orf5,D3112p05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648152,geneB,D3112p07,-,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20201220,-
10708,2648153,orf33,D3112p33,-,-,-,-,protease (I) and scaffold (Z) proteins,protein-coding,-,-,-,protease (I) and scaffold (Z) proteins,20200629,-
10708,2648154,orf12,D3112p12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648155,orf2,D3112p02,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201220,-
10708,2648156,orf29,D3112p29,-,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20210417,-
10708,2648157,orf54,D3112p54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648158,orf15,D3112p15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648159,orf20,D3112p20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648160,orf23,D3112p23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648161,orf38,D3112p38,-,-,-,-,DUF1320 domain-containing protein,protein-coding,-,-,-,DUF1320 domain-containing protein,20210417,-
10708,2648162,cI,D3112p01,-,-,-,-,c repressor,protein-coding,-,-,-,c repressor,20201220,-
10708,2648163,orf51,D3112p51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648164,orf43,D3112p43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648165,orf47,D3112p47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648166,orf22,D3112p22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648167,orf10,D3112p10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648168,orf21,D3112p21,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201220,-
10708,2648169,orf17,D3112p17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648170,orf52,D3112p52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648171,orf50,D3112p50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648172,gam,D3112p13,-,-,-,-,host nuclease inhibitor protein,protein-coding,-,-,-,host nuclease inhibitor protein,20200629,-
10708,2648173,orf8,D3112p08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648174,geneA,D3112p06,-,-,-,-,Mu transposase C-terminal domain-containing protein,protein-coding,-,-,-,Mu transposase C-terminal domain-containing protein,20201220,-
10708,2648175,orf27,D3112p27,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
10708,2648176,orf45,D3112p45,-,-,-,-,putative tail component protein,protein-coding,-,-,-,putative tail component protein,20201220,-
10708,2648177,orf18,D3112p18,-,-,-,-,regulatory protein GemA,protein-coding,-,-,-,regulatory protein GemA,20201220,-
10708,2648178,orf31,D3112p31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
10708,2648179,orf9,D3112p09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648180,orf46,D3112p46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648181,orf4,D3112p04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648182,orf11,D3112p11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648183,orf26,D3112p26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648184,orf44,D3112p44,-,-,-,-,putative tail component protein,protein-coding,-,-,-,putative tail component protein,20200629,-
10708,2648185,orf14,D3112p14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648186,orf3,D3112p03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648187,orf34,D3112p34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648188,orf40,D3112p40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648189,orf28,D3112p28,-,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20200629,-
10708,2648190,orf37,D3112p37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648191,orf41,D3112p41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648192,orf42,D3112p42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648193,orf19,D3112p19,-,-,-,-,putative integral membrane protein,protein-coding,-,-,-,putative integral membrane protein,20210212,-
10708,2648194,orf49,D3112p49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648195,orf53,D3112p53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648196,orf32,D3112p32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648197,orf24,D3112p24,-,-,-,-,DUF1804 family protein,protein-coding,-,-,-,DUF1804 family protein,20210417,-
10708,2648198,orf39,D3112p39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648199,orf55,D3112p55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10708,2648200,orf16,D3112p16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
