#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2126954,60332454,2,I5H75_gp002,SEA_OWLST2W_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2126954,60332455,3,I5H75_gp003,SEA_OWLST2W_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201129,-
2126954,60332456,4,I5H75_gp004,SEA_OWLST2W_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2126954,60332457,5,I5H75_gp005,SEA_OWLST2W_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2126954,60332458,6,I5H75_gp006,SEA_OWLST2W_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2126954,60332459,7,I5H75_gp007,SEA_OWLST2W_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2126954,60332460,8,I5H75_gp008,SEA_OWLST2W_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2126954,60332461,9,I5H75_gp009,SEA_OWLST2W_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2126954,60332462,10,I5H75_gp010,SEA_OWLST2W_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2126954,60332463,11,I5H75_gp011,SEA_OWLST2W_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2126954,60332464,12,I5H75_gp012,SEA_OWLST2W_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2126954,60332465,14,I5H75_gp013,SEA_OWLST2W_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2126954,60332466,15,I5H75_gp015,SEA_OWLST2W_15,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2126954,60332467,13,I5H75_gp014,SEA_OWLST2W_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2126954,60332468,16,I5H75_gp016,SEA_OWLST2W_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2126954,60332469,17,I5H75_gp017,SEA_OWLST2W_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2126954,60332470,66,I5H75_gp066,SEA_OWLST2W_66,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210424,-
2126954,60332471,67,I5H75_gp067,SEA_OWLST2W_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332472,68,I5H75_gp068,SEA_OWLST2W_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2126954,60332473,69,I5H75_gp069,SEA_OWLST2W_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332474,70,I5H75_gp070,SEA_OWLST2W_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332475,71,I5H75_gp071,SEA_OWLST2W_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2126954,60332476,72,I5H75_gp072,SEA_OWLST2W_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332477,74,I5H75_gp074,SEA_OWLST2W_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332478,75,I5H75_gp075,SEA_OWLST2W_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332479,76,I5H75_gp076,SEA_OWLST2W_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332480,77,I5H75_gp077,SEA_OWLST2W_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332481,78,I5H75_gp078,SEA_OWLST2W_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332482,79,I5H75_gp079,SEA_OWLST2W_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332483,80,I5H75_gp080,SEA_OWLST2W_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332484,81,I5H75_gp081,SEA_OWLST2W_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332485,82,I5H75_gp082,SEA_OWLST2W_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332486,83,I5H75_gp083,SEA_OWLST2W_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332487,85,I5H75_gp085,SEA_OWLST2W_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332488,86,I5H75_gp086,SEA_OWLST2W_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332489,87,I5H75_gp087,SEA_OWLST2W_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332490,88,I5H75_gp088,SEA_OWLST2W_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332491,89,I5H75_gp089,SEA_OWLST2W_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332492,90,I5H75_gp090,SEA_OWLST2W_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332493,91,I5H75_gp091,SEA_OWLST2W_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332494,92,I5H75_gp092,SEA_OWLST2W_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332495,93,I5H75_gp093,SEA_OWLST2W_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2126954,60332496,94,I5H75_gp094,SEA_OWLST2W_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332497,95,I5H75_gp095,SEA_OWLST2W_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332498,96,I5H75_gp096,SEA_OWLST2W_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332499,97,I5H75_gp097,SEA_OWLST2W_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332500,98,I5H75_gp098,SEA_OWLST2W_98,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2126954,60332501,99,I5H75_gp099,SEA_OWLST2W_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332502,100,I5H75_gp100,SEA_OWLST2W_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2126954,60332503,101,I5H75_gp101,SEA_OWLST2W_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332504,102,I5H75_gp102,SEA_OWLST2W_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332505,103,I5H75_gp103,SEA_OWLST2W_103,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2126954,60332506,73,I5H75_gp073,SEA_OWLST2W_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332507,84,I5H75_gp084,SEA_OWLST2W_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332508,33,I5H75_gp033,SEA_OWLST2W_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2126954,60332509,34,I5H75_gp034,SEA_OWLST2W_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2126954,60332510,35,I5H75_gp035,SEA_OWLST2W_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332511,36,I5H75_gp036,SEA_OWLST2W_36,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210424,-
2126954,60332512,37,I5H75_gp037,SEA_OWLST2W_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332513,38,I5H75_gp038,SEA_OWLST2W_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332514,39,I5H75_gp039,SEA_OWLST2W_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332515,40,I5H75_gp040,SEA_OWLST2W_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2126954,60332516,41,I5H75_gp041,SEA_OWLST2W_41,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
2126954,60332517,42,I5H75_gp042,SEA_OWLST2W_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332518,43,I5H75_gp043,SEA_OWLST2W_43,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2126954,60332519,44,I5H75_gp044,SEA_OWLST2W_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2126954,60332520,45,I5H75_gp045,SEA_OWLST2W_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2126954,60332521,46,I5H75_gp046,SEA_OWLST2W_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332522,47,I5H75_gp047,SEA_OWLST2W_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332523,48,I5H75_gp048,SEA_OWLST2W_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126954,60332524,49,I5H75_gp049,SEA_OWLST2W_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
