#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1089127,26635030,2,AVV54_gp002,KIKIPOO_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210123,-
1089127,26635031,3,AVV54_gp003,KIKIPOO_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635032,4,AVV54_gp004,KIKIPOO_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635033,5,AVV54_gp005,KIKIPOO_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635034,6,AVV54_gp006,KIKIPOO_6,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210212,-
1089127,26635035,7,AVV54_gp007,KIKIPOO_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1089127,26635036,8,AVV54_gp008,KIKIPOO_8,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1089127,26635037,9,AVV54_gp009,KIKIPOO_9,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20210123,-
1089127,26635038,10,AVV54_gp010,KIKIPOO_10,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20210212,-
1089127,26635039,11,AVV54_gp011,KIKIPOO_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635040,12,AVV54_gp012,KIKIPOO_12,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210212,-
1089127,26635041,13,AVV54_gp013,KIKIPOO_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635042,14,AVV54_gp014,KIKIPOO_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635043,15,AVV54_gp015,KIKIPOO_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635044,16,AVV54_gp016,KIKIPOO_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635045,17,AVV54_gp017,KIKIPOO_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635046,18,AVV54_gp018,KIKIPOO_18,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1089127,26635047,19,AVV54_gp019,KIKIPOO_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635048,20,AVV54_gp020,KIKIPOO_20,-,-,-,queuine-tRNA ribosyltransferase,protein-coding,-,-,-,queuine-tRNA ribosyltransferase,20200927,-
1089127,26635049,21,AVV54_gp021,KIKIPOO_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635050,22,AVV54_gp022,KIKIPOO_22,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1089127,26635051,23,AVV54_gp023,KIKIPOO_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635052,24,AVV54_gp024,KIKIPOO_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089127,26635053,25,AVV54_gp025,KIKIPOO_25,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
