#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1701804,26519594,AU151_gp02,AU151_gp02,-,-,-,-,class II holin,protein-coding,-,-,-,class II holin,20201221,-
1701804,26519595,AU151_gp03,AU151_gp03,-,-,-,-,DNA packaging protein A,protein-coding,-,-,-,DNA packaging protein A,20201221,-
1701804,26519596,AU151_gp04,AU151_gp04,-,-,-,-,endopeptidase Rz,protein-coding,-,-,-,endopeptidase Rz,20201221,-
1701804,26519597,AU151_gp05,AU151_gp05,-,-,-,-,DNA packaging protein,protein-coding,-,-,-,DNA packaging protein,20201221,-
1701804,26519598,AU151_gp06,AU151_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701804,26519599,AU151_gp07,AU151_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701804,26519600,AU151_gp08,AU151_gp08,-,-,-,-,protein kinase,protein-coding,-,-,-,protein kinase,20201221,-
1701804,26519601,AU151_gp09,AU151_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701804,26519602,AU151_gp10,AU151_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701804,26519603,AU151_gp11,AU151_gp11,-,-,-,-,protein kinase,protein-coding,-,-,-,protein kinase,20201221,-
1701804,26519604,AU151_gp12,AU151_gp12,-,-,-,-,DNA-directed RNA polymerase,protein-coding,-,-,-,DNA-directed RNA polymerase,20201221,-
1701804,26519605,AU151_gp13,AU151_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701804,26519606,AU151_gp14,AU151_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701804,26519607,AU151_gp15,AU151_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701804,26519608,AU151_gp16,AU151_gp16,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20201221,-
1701804,26519609,AU151_gp17,AU151_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701804,26519610,AU151_gp18,AU151_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701804,26519611,AU151_gp19,AU151_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701804,26519612,AU151_gp20,AU151_gp20,-,-,-,-,host RNA polymerase inhibitor,protein-coding,-,-,-,host RNA polymerase inhibitor,20201221,-
1701804,26519613,AU151_gp21,AU151_gp21,-,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20201221,-
1701804,26519614,AU151_gp22,AU151_gp22,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20201221,-
1701804,26519615,AU151_gp23,AU151_gp23,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20201221,-
1701804,26519616,AU151_gp24,AU151_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701804,26519617,AU151_gp25,AU151_gp25,-,-,-,-,primase/helicase protein,protein-coding,-,-,-,primase/helicase protein,20201221,-
1701804,26519618,AU151_gp26,AU151_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701804,26519619,AU151_gp27,AU151_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701804,26519620,AU151_gp28,AU151_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701804,26519621,AU151_gp29,AU151_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701804,26519622,AU151_gp30,AU151_gp30,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1701804,26519623,AU151_gp31,AU151_gp31,-,-,-,-,HNS binding protein,protein-coding,-,-,-,HNS binding protein,20201221,-
1701804,26519624,AU151_gp32,AU151_gp32,-,-,-,-,HNS binding protein,protein-coding,-,-,-,HNS binding protein,20201221,-
1701804,26519625,AU151_gp33,AU151_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701804,26519626,AU151_gp34,AU151_gp34,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1701804,26519627,AU151_gp35,AU151_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701804,26519628,AU151_gp36,AU151_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701804,26519629,AU151_gp37,AU151_gp37,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201221,-
1701804,26519630,AU151_gp38,AU151_gp38,-,-,-,-,collar protein,protein-coding,-,-,-,collar protein,20201221,-
1701804,26519631,AU151_gp39,AU151_gp39,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20201221,-
1701804,26519632,AU151_gp40,AU151_gp40,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20201221,-
1701804,26519633,AU151_gp41,AU151_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701804,26519634,AU151_gp42,AU151_gp42,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
1701804,26519635,AU151_gp43,AU151_gp43,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
1701804,26519636,AU151_gp44,AU151_gp44,-,-,-,-,internal (core) protein,protein-coding,-,-,-,internal (core) protein,20201221,-
1701804,26519637,AU151_gp45,AU151_gp45,-,-,-,-,internal (core) protein,protein-coding,-,-,-,internal (core) protein,20201221,-
1701804,26519638,AU151_gp46,AU151_gp46,-,-,-,-,internal (core) protein,protein-coding,-,-,-,internal (core) protein,20201221,-
1701804,26519639,AU151_gp47,AU151_gp47,-,-,-,-,internal (core) protein,protein-coding,-,-,-,internal (core) protein,20201221,-
1701804,26519640,AU151_gp01,AU151_gp01,-,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20201221,-
1701804,26591635,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Klebsiella bacteriophage vB_Kp1).,other,-,-,-,-,20200513,-
