#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1636724,55803680,HYO81_gp02,HYO81_gp02,PhiA16_02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
1636724,55803681,HYO81_gp03,HYO81_gp03,PhiA16_03,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
1636724,55803682,HYO81_gp04,HYO81_gp04,PhiA16_04,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
1636724,55803683,HYO81_gp05,HYO81_gp05,PhiA16_05,-,-,-,protease,protein-coding,-,-,-,protease,20210417,-
1636724,55803684,HYO81_gp06,HYO81_gp06,PhiA16_06,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200704,-
1636724,55803685,HYO81_gp07,HYO81_gp07,PhiA16_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636724,55803686,HYO81_gp08,HYO81_gp08,PhiA16_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636724,55803687,HYO81_gp09,HYO81_gp09,PhiA16_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636724,55803688,HYO81_gp10,HYO81_gp10,PhiA16_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636724,55803689,HYO81_gp11,HYO81_gp11,PhiA16_11,-,-,-,neck passage structure,protein-coding,-,-,-,neck passage structure,20210417,-
1636724,55803690,HYO81_gp12,HYO81_gp12,PhiA16_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210417,-
1636724,55803691,HYO81_gp13,HYO81_gp13,PhiA16_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636724,55803692,HYO81_gp14,HYO81_gp14,PhiA16_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636724,55803693,HYO81_gp15,HYO81_gp15,PhiA16_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
1636724,55803694,HYO81_gp16,HYO81_gp16,PhiA16_16,-,-,-,distal tail protein,protein-coding,-,-,-,distal tail protein,20210417,-
1636724,55803695,HYO81_gp17,HYO81_gp17,PhiA16_17,-,-,-,tail associated lysin,protein-coding,-,-,-,tail associated lysin,20210417,-
1636724,55803696,HYO81_gp18,HYO81_gp18,PhiA16_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636724,55803697,HYO81_gp19,HYO81_gp19,PhiA16_19,-,-,-,receptor binding protein,protein-coding,-,-,-,receptor binding protein,20210417,-
1636724,55803698,HYO81_gp20,HYO81_gp20,PhiA16_20,-,-,-,holin,protein-coding,-,-,-,holin,20200704,-
1636724,55803699,HYO81_gp21,HYO81_gp21,PhiA16_21,-,-,-,lysin,protein-coding,-,-,-,lysin,20210417,-
1636724,55803700,HYO81_gp22,HYO81_gp22,PhiA16_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636724,55803701,HYO81_gp23,HYO81_gp23,PhiA16_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636724,55803702,HYO81_gp24,HYO81_gp24,PhiA16_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
