#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1340713,16547322,2,N857_gp002,PBI_WANDA_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1340713,16547323,3,N857_gp003,PBI_WANDA_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547324,4,N857_gp004,PBI_WANDA_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547325,5,N857_gp005,PBI_WANDA_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547326,6,N857_gp006,PBI_WANDA_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547327,7,N857_gp007,PBI_WANDA_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547328,8,N857_gp008,PBI_WANDA_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547329,9,N857_gp009,PBI_WANDA_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547330,10,N857_gp010,PBI_WANDA_10,-,-,-,terminase,protein-coding,-,-,-,terminase,20200927,-
1340713,16547331,11,N857_gp011,PBI_WANDA_11,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200927,-
1340713,16547332,12,N857_gp012,PBI_WANDA_12,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210406,-
1340713,16547333,13,N857_gp013,PBI_WANDA_13,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200927,-
1340713,16547334,14,N857_gp014,PBI_WANDA_14,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1340713,16547335,15,N857_gp015,PBI_WANDA_15,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201026,-
1340713,16547336,16,N857_gp016,PBI_WANDA_16,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20201026,-
1340713,16547337,17,N857_gp017,PBI_WANDA_17,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20200927,-
1340713,16547338,18,N857_gp018,PBI_WANDA_18,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200927,-
1340713,16547339,19,N857_gp019,PBI_WANDA_19,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200927,-
1340713,16547340,20,N857_gp020,PBI_WANDA_20,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200927,-
1340713,16547341,21,N857_gp021,PBI_WANDA_21,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20200927,-
1340713,16547342,22,N857_gp022,PBI_WANDA_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547343,23,N857_gp023,PBI_WANDA_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547344,24,N857_gp024,PBI_WANDA_24,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200927,-
1340713,16547345,25,N857_gp025,PBI_WANDA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547346,26,N857_gp026,PBI_WANDA_26,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1340713,16547347,27,N857_gp027,PBI_WANDA_27,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200927,-
1340713,16547348,28,N857_gp028,PBI_WANDA_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547349,29,N857_gp029,PBI_WANDA_29,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200927,-
1340713,16547350,30,N857_gp030,PBI_WANDA_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547351,31,N857_gp031,PBI_WANDA_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547352,32,N857_gp032,PBI_WANDA_32,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1340713,16547353,34,N857_gp033,PBI_WANDA_34,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1340713,16547354,35,N857_gp035,PBI_WANDA_35,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1340713,16547355,33,N857_gp034,PBI_WANDA_33,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1340713,16547356,36,N857_gp036,PBI_WANDA_36,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1340713,16547357,37,N857_gp037,PBI_WANDA_37,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1340713,16547358,38,N857_gp038,PBI_WANDA_38,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1340713,16547359,39,N857_gp039,PBI_WANDA_39,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1340713,16547360,40,N857_gp040,PBI_WANDA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547361,41,N857_gp041,PBI_WANDA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547362,42,N857_gp042,PBI_WANDA_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547363,43,N857_gp043,PBI_WANDA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547364,44,N857_gp044,PBI_WANDA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547365,45,N857_gp045,PBI_WANDA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547366,46,N857_gp046,PBI_WANDA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1340713,16547367,47,N857_gp047,PBI_WANDA_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547368,48,N857_gp048,PBI_WANDA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547369,49,N857_gp049,PBI_WANDA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547370,50,N857_gp050,PBI_WANDA_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547371,51,N857_gp051,PBI_WANDA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547372,52,N857_gp052,PBI_WANDA_52,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1340713,16547373,53,N857_gp053,PBI_WANDA_53,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1340713,16547374,54,N857_gp054,PBI_WANDA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547375,55,N857_gp055,PBI_WANDA_55,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1340713,16547376,56,N857_gp056,PBI_WANDA_56,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1340713,16547377,57,N857_gp057,PBI_WANDA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547378,58,N857_gp058,PBI_WANDA_58,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210406,-
1340713,16547379,59,N857_gp059,PBI_WANDA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547380,60,N857_gp060,PBI_WANDA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547381,61,N857_gp061,PBI_WANDA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547382,62,N857_gp062,PBI_WANDA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547383,63,N857_gp063,PBI_WANDA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547384,64,N857_gp064,PBI_WANDA_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547385,65,N857_gp065,PBI_WANDA_65,-,-,-,Lsr2-like DNA bridging protein,protein-coding,-,-,-,Lsr2-like DNA bridging protein,20210406,-
1340713,16547386,66,N857_gp066,PBI_WANDA_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547387,67,N857_gp067,PBI_WANDA_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547388,68,N857_gp068,PBI_WANDA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547389,69,N857_gp069,PBI_WANDA_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547390,70,N857_gp070,PBI_WANDA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547391,71,N857_gp071,PBI_WANDA_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547392,72,N857_gp072,PBI_WANDA_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547393,73,N857_gp073,PBI_WANDA_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547394,74,N857_gp074,PBI_WANDA_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547395,75,N857_gp075,PBI_WANDA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547396,76,N857_gp076,PBI_WANDA_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547397,77,N857_gp077,PBI_WANDA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547398,78,N857_gp078,PBI_WANDA_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547399,79,N857_gp079,PBI_WANDA_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547400,80,N857_gp080,PBI_WANDA_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547401,81,N857_gp081,PBI_WANDA_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547402,82,N857_gp082,PBI_WANDA_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547403,83,N857_gp083,PBI_WANDA_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547404,84,N857_gp084,PBI_WANDA_84,-,-,-,excise,protein-coding,-,-,-,excise,20200927,-
1340713,16547405,85,N857_gp085,PBI_WANDA_85,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20200927,-
1340713,16547406,86,N857_gp086,PBI_WANDA_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547407,87,N857_gp087,PBI_WANDA_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547408,88,N857_gp088,PBI_WANDA_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547409,89,N857_gp089,PBI_WANDA_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547410,90,N857_gp090,PBI_WANDA_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,16547411,91,N857_gp091,PBI_WANDA_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
