#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2675250,55814935,HYQ12_gp02,HYQ12_gp02,CHPC362_000622,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200905,-
2675250,55814936,HYQ12_gp03,HYQ12_gp03,CHPC362_000623,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200912,-
2675250,55814937,HYQ12_gp04,HYQ12_gp04,CHPC362_000624,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2675250,55814938,HYQ12_gp05,HYQ12_gp05,CHPC362_000625,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20201003,-
2675250,55814939,HYQ12_gp06,HYQ12_gp06,CHPC362_000626,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20200704,-
2675250,55814940,HYQ12_gp07,HYQ12_gp07,CHPC362_000627,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814941,HYQ12_gp08,HYQ12_gp08,CHPC362_000628,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814942,HYQ12_gp09,HYQ12_gp09,CHPC362_000629,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814943,HYQ12_gp10,HYQ12_gp10,CHPC362_000630,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814944,HYQ12_gp11,HYQ12_gp11,CHPC362_000631,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814945,HYQ12_gp12,HYQ12_gp12,CHPC362_000632,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20200905,-
2675250,55814946,HYQ12_gp13,HYQ12_gp13,CHPC362_000633,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814947,HYQ12_gp14,HYQ12_gp14,CHPC362_000634,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814948,HYQ12_gp15,HYQ12_gp15,CHPC362_000635,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675250,55814949,HYQ12_gp16,HYQ12_gp16,CHPC362_000636,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
