#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
451705,5797400,phiEcoMGJ1_gp50,phiEcoMGJ1_gp50,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201220,-
451705,5797401,phiEcoMGJ1_gp28,phiEcoMGJ1_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797402,phiEcoMGJ1_gp22,phiEcoMGJ1_gp22,-,-,-,-,putative antirestriction protein,protein-coding,-,-,-,putative antirestriction protein,20201220,-
451705,5797403,phiEcoMGJ1_gp62,phiEcoMGJ1_gp62,-,-,-,-,putative tail fiber,protein-coding,-,-,-,putative tail fiber,20201220,-
451705,5797404,phiEcoMGJ1_gp09,phiEcoMGJ1_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797405,phiEcoMGJ1_gp30,phiEcoMGJ1_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797406,phiEcoMGJ1_gp04,phiEcoMGJ1_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797407,phiEcoMGJ1_gp20,phiEcoMGJ1_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797408,phiEcoMGJ1_gp08,phiEcoMGJ1_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797409,phiEcoMGJ1_gp11,phiEcoMGJ1_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797410,phiEcoMGJ1_gp55,phiEcoMGJ1_gp55,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20201220,-
451705,5797411,phiEcoMGJ1_gp54,phiEcoMGJ1_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797412,phiEcoMGJ1_gp53,phiEcoMGJ1_gp53,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
451705,5797413,phiEcoMGJ1_gp51,phiEcoMGJ1_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
451705,5797414,phiEcoMGJ1_gp14,phiEcoMGJ1_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797415,phiEcoMGJ1_gp07,phiEcoMGJ1_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797416,phiEcoMGJ1_gp43,phiEcoMGJ1_gp43,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20201220,-
451705,5797417,phiEcoMGJ1_gp68,phiEcoMGJ1_gp68,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20201220,-
451705,5797418,phiEcoMGJ1_gp61,phiEcoMGJ1_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797419,phiEcoMGJ1_gp10,phiEcoMGJ1_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797420,phiEcoMGJ1_gp39,phiEcoMGJ1_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797421,phiEcoMGJ1_gp36,phiEcoMGJ1_gp36,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201220,-
451705,5797422,phiEcoMGJ1_gp66,phiEcoMGJ1_gp66,-,-,-,-,putative baseplate assembly protein,protein-coding,-,-,-,putative baseplate assembly protein,20201220,-
451705,5797423,phiEcoMGJ1_gp63,phiEcoMGJ1_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797424,phiEcoMGJ1_gp03,phiEcoMGJ1_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797425,phiEcoMGJ1_gp06,phiEcoMGJ1_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797426,phiEcoMGJ1_gp49,phiEcoMGJ1_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797427,phiEcoMGJ1_gp75,phiEcoMGJ1_gp75,-,-,-,-,ribonucleotide reductase beta subunit,protein-coding,-,-,-,ribonucleotide reductase beta subunit,20201220,-
451705,5797428,phiEcoMGJ1_gp65,phiEcoMGJ1_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797429,phiEcoMGJ1_gp25,phiEcoMGJ1_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797430,phiEcoMGJ1_gp64,phiEcoMGJ1_gp64,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20201220,-
451705,5797431,phiEcoMGJ1_gp32,phiEcoMGJ1_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797432,phiEcoMGJ1_gp45,phiEcoMGJ1_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797433,phiEcoMGJ1_gp67,phiEcoMGJ1_gp67,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20201220,-
451705,5797434,phiEcoMGJ1_gp37,phiEcoMGJ1_gp37,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201220,-
451705,5797435,phiEcoMGJ1_gp12,phiEcoMGJ1_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797436,phiEcoMGJ1_gp18,phiEcoMGJ1_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797437,phiEcoMGJ1_gp40,phiEcoMGJ1_gp40,-,-,-,-,putative 5'-3' exonuclease,protein-coding,-,-,-,putative 5'-3' exonuclease,20201220,-
451705,5797438,phiEcoMGJ1_gp57,phiEcoMGJ1_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797439,phiEcoMGJ1_gp71,phiEcoMGJ1_gp71,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20201220,-
451705,5797440,phiEcoMGJ1_gp16,phiEcoMGJ1_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797441,phiEcoMGJ1_gp15,phiEcoMGJ1_gp15,-,-,-,-,putative single-stranded DNA-binding protein,protein-coding,-,-,-,putative single-stranded DNA-binding protein,20201220,-
451705,5797442,phiEcoMGJ1_gp41,phiEcoMGJ1_gp41,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20201220,-
451705,5797443,phiEcoMGJ1_gp73,phiEcoMGJ1_gp73,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20210424,-
451705,5797444,phiEcoMGJ1_gp23,phiEcoMGJ1_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797445,phiEcoMGJ1_gp59,phiEcoMGJ1_gp59,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20201220,-
451705,5797446,phiEcoMGJ1_gp60,phiEcoMGJ1_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797447,phiEcoMGJ1_gp24,phiEcoMGJ1_gp24,-,-,-,-,putative exonuclease SbcC,protein-coding,-,-,-,putative exonuclease SbcC,20201220,-
451705,5797448,phiEcoMGJ1_gp48,phiEcoMGJ1_gp48,-,-,-,-,putative large subunit terminase,protein-coding,-,-,-,putative large subunit terminase,20201220,-
451705,5797449,phiEcoMGJ1_gp34,phiEcoMGJ1_gp34,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201220,-
451705,5797450,phiEcoMGJ1_gp02,phiEcoMGJ1_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797451,phiEcoMGJ1_gp74,phiEcoMGJ1_gp74,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201220,-
451705,5797452,phiEcoMGJ1_gp52,phiEcoMGJ1_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
451705,5797453,phiEcoMGJ1_gp19,phiEcoMGJ1_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
