#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
194949,1481750,ant,Stx2II_p160,-,-,-,-,Ant protein,protein-coding,-,-,-,Ant protein,20210212,-
194949,1481751,bet,Stx2II_p106,-,-,-,-,recombination protein Bet,protein-coding,-,-,-,recombination protein Bet,20201220,-
194949,1481752,bor,Stx2II_p166,-,-,-,-,serum resistance lipoprotein Bor,protein-coding,-,-,-,serum resistance lipoprotein Bor,20210212,-
194949,1481754,cII,Stx2II_p123,-,-,-,-,CII protein,protein-coding,-,-,-,CII protein,20210129,-
194949,1481755,cIII,Stx2II_p112,-,-,-,-,protease FtsH-inhibitory lysogeny factor CIII,protein-coding,-,-,-,protease FtsH-inhibitory lysogeny factor CIII,20201220,-
194949,1481756,ea10,Stx2II_p113,-,-,-,-,DUF2528 family protein,protein-coding,-,-,-,DUF2528 family protein,20210212,-
194949,1481757,gam,Stx2II_p110,-,-,-,-,Gam protein,protein-coding,-,-,-,Gam protein,20210417,-
194949,1481758,kil,Stx2II_p111,-,-,-,-,host cell division inhibitory peptide Kil,protein-coding,-,-,-,host cell division inhibitory peptide Kil,20210417,-
194949,1481759,N,Stx2II_p116,-,-,-,-,N protein,protein-coding,-,-,-,N protein,20201220,-
194949,1481760,O,Stx2II_p124,-,-,-,-,O protein,protein-coding,-,-,-,O protein,20201220,-
194949,1481761,P,Stx2II_p126,-,-,-,-,P protein,protein-coding,-,-,-,P protein,20201220,-
194949,1481762,Q,Stx2II_p140,-,-,-,-,Q protein,protein-coding,-,-,-,Q protein,20201220,-
194949,1481763,R,Stx2II_p158,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201220,-
194949,1481764,Rz,Stx2II_p162,-,-,-,-,lysis protein,protein-coding,-,-,-,lysis protein,20210417,-
194949,1481765,Rz1,Stx2II_p165,-,-,-,-,Rz1 protein precursor,protein-coding,-,-,-,Rz1 protein precursor,20201220,-
194949,1481766,S,Stx2II_p156,-,-,-,-,class II holin family protein,protein-coding,-,-,-,class II holin family protein,20210212,-
194949,1481767,stx2A,Stx2II_p143,-,-,-,-,Shiga toxin Stx2c subunit A,protein-coding,-,-,-,Shiga toxin Stx2c subunit A,20210212,-
194949,1481768,stx2B,Stx2II_p144,-,-,-,-,Shiga toxin Stx2a subunit B,protein-coding,-,-,-,Shiga toxin Stx2a subunit B,20210212,-
194949,2653303,Stx2II_p104,Stx2II_p104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653304,Stx2II_p086,Stx2II_p086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653305,Stx2II_p067,Stx2II_p067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653306,Stx2II_p073,Stx2II_p073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653307,Stx2II_p077,Stx2II_p077,-,-,-,-,DUF4752 family protein,protein-coding,-,-,-,DUF4752 family protein,20201220,-
194949,2653308,Stx2II_p120,Stx2II_p120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653309,Stx2II_p115,Stx2II_p115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653310,Stx2II_p004,Stx2II_p004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653311,Stx2II_p118,Stx2II_p118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
194949,2653312,Stx2II_p006,Stx2II_p006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653313,Stx2II_p082,Stx2II_p082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653314,Stx2II_p146,Stx2II_p146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653315,Stx2II_p150,Stx2II_p150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194949,2653316,Stx2II_p056,Stx2II_p056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
