#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1262538,16384830,N388_gp02,N388_gp02,phi7_002,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20201221,-
1262538,16384831,N388_gp03,N388_gp03,phi7_003,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201221,-
1262538,16384832,N388_gp04,N388_gp04,phi7_004,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1262538,16384833,N388_gp05,N388_gp05,phi7_005,-,-,-,putative prohead protease,protein-coding,-,-,-,putative prohead protease,20201221,-
1262538,16384834,N388_gp06,N388_gp06,phi7_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384835,N388_gp07,N388_gp07,phi7_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384836,N388_gp08,N388_gp08,phi7_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384837,N388_gp09,N388_gp09,phi7_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384838,N388_gp10,N388_gp10,phi7_0010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384839,N388_gp11,N388_gp11,phi7_0011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384840,N388_gp12,N388_gp12,phi7_0012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384841,N388_gp13,N388_gp13,phi7_0013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384842,N388_gp14,N388_gp14,phi7_0014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384843,N388_gp15,N388_gp15,phi7_0015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384844,N388_gp16,N388_gp16,phi7_0016,-,-,-,putative tail tape-measure protein,protein-coding,-,-,-,putative tail tape-measure protein,20201221,-
1262538,16384845,N388_gp17,N388_gp17,phi7_0017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384846,N388_gp18,N388_gp18,phi7_0018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262538,16384847,N388_gp19,N388_gp19,phi7_0019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
