#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
658401,8207062,terL,PSS2_gp002,-,-,-,-,large terminase subunit,protein-coding,-,-,-,large terminase subunit,20201220,-
658401,8207063,rpoS,PSS2_gp003,-,-,-,-,type III RNAP sigma factor,protein-coding,-,-,-,type III RNAP sigma factor,20201220,-
658401,8207064,nrd,PSS2_gp011,-,-,-,-,NTP reductase,protein-coding,-,-,-,NTP reductase,20201220,-
658401,8207065,cobO,PSS2_gp036,-,-,-,-,BtuR/CobO ATP:corrinoid adenosyltransferase,protein-coding,-,-,-,BtuR/CobO ATP:corrinoid adenosyltransferase,20201220,-
658401,8207066,tonB,PSS2_gp089,-,-,-,-,dependent outer membrane receptor,protein-coding,-,-,-,dependent outer membrane receptor,20201220,-
658401,8207067,bet,PSS2_gp102,-,-,-,-,phage recombination protein Bet,protein-coding,-,-,-,phage recombination protein Bet,20201220,-
658401,8207068,dnaB,PSS2_gp108,-,-,-,-,prophage replicative DNA helicase,protein-coding,-,-,-,prophage replicative DNA helicase,20201220,-
658401,8207069,dcd,PSS2_gp111,-,-,-,-,dCTP deaminase,protein-coding,-,-,-,dCTP deaminase,20201220,-
658401,8207070,rpoS,PSS2_gp113,-,-,-,-,RNAP sigma factor,protein-coding,-,-,-,RNAP sigma factor,20201220,-
658401,8207071,ssb,PSS2_gp114,-,-,-,-,cyanobacterial ssDNAbp,protein-coding,-,-,-,cyanobacterial ssDNAbp,20201220,-
658401,8207072,terS,PSS2_gp001,-,-,-,-,small terminase subunit,protein-coding,-,-,-,small terminase subunit,20201220,-
658401,8207392,PSS2_gp107,PSS2_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207393,PSS2_gp110,PSS2_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207394,PSS2_gp005,PSS2_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207395,PSS2_gp007,PSS2_gp007,-,-,-,-,ORF020 Staphylococcus phi-Twort-like protein,protein-coding,-,-,-,ORF020 Staphylococcus phi-Twort-like protein,20201220,-
658401,8207396,PSS2_gp009,PSS2_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207397,PSS2_gp010,PSS2_gp010,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20201220,-
658401,8207398,PSS2_gp120,PSS2_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207399,PSS2_gp123,PSS2_gp123,-,-,-,-,helicase/exonuclease VIII 5'-3',protein-coding,-,-,-,helicase/exonuclease VIII 5'-3',20201220,-
658401,8207400,PSS2_gp122,PSS2_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207401,PSS2_gp124,PSS2_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207402,PSS2_gp127,PSS2_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207403,PSS2_gp125,PSS2_gp125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
658401,8207404,PSS2_gp126,PSS2_gp126,-,-,-,-,alternative thymidylate synthase,protein-coding,-,-,-,alternative thymidylate synthase,20201220,-
658401,8207405,PSS2_gp128,PSS2_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
