#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2282196,64468699,KGB36_gp02,KGB36_gp02,Sf11_gp2,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210502,-
2282196,64468700,KGB36_gp03,KGB36_gp03,Sf11_gp3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468701,KGB36_gp04,KGB36_gp04,Sf11_gp4,-,-,-,putative eaa protein,protein-coding,-,-,-,putative eaa protein,20210502,-
2282196,64468702,KGB36_gp05,KGB36_gp05,Sf11_gp5,-,-,-,putative RNA-binding protein,protein-coding,-,-,-,putative RNA-binding protein,20210502,-
2282196,64468703,KGB36_gp06,KGB36_gp06,Sf11_gp6,-,-,-,lambda repressor-like transcriptional regulator,protein-coding,-,-,-,lambda repressor-like transcriptional regulator,20210502,-
2282196,64468704,KGB36_gp07,KGB36_gp07,Sf11_gp7,-,-,-,putative recA-like NTPase,protein-coding,-,-,-,putative recA-like NTPase,20210502,-
2282196,64468705,KGB36_gp08,KGB36_gp08,Sf11_gp8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468706,KGB36_gp09,KGB36_gp09,Sf11_gp9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468707,KGB36_gp10,KGB36_gp10,Sf11_gp10,-,-,-,helicase,protein-coding,-,-,-,helicase,20210502,-
2282196,64468708,KGB36_gp11,KGB36_gp11,Sf11_gp11,-,-,-,putative type III restriction endonuclease,protein-coding,-,-,-,putative type III restriction endonuclease,20210502,-
2282196,64468709,KGB36_gp12,KGB36_gp12,Sf11_gp12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468710,KGB36_gp13,KGB36_gp13,Sf11_gp13,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20210502,-
2282196,64468711,KGB36_gp14,KGB36_gp14,Sf11_gp14,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20210502,-
2282196,64468712,KGB36_gp15,KGB36_gp15,Sf11_gp15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468713,KGB36_gp16,KGB36_gp16,Sf11_gp16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468714,KGB36_gp17,KGB36_gp17,Sf11_gp17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468715,KGB36_gp18,KGB36_gp18,Sf11_gp18,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20210502,-
2282196,64468716,KGB36_gp19,KGB36_gp19,Sf11_gp19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468717,KGB36_gp20,KGB36_gp20,Sf11_gp20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468718,KGB36_gp21,KGB36_gp21,Sf11_gp21,-,-,-,putative superinfection exclusion protein,protein-coding,-,-,-,putative superinfection exclusion protein,20210502,-
2282196,64468719,KGB36_gp22,KGB36_gp22,Sf11_gp22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468720,KGB36_gp23,KGB36_gp23,Sf11_gp23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468721,KGB36_gp24,KGB36_gp24,Sf11_gp24,-,-,-,gp24,protein-coding,-,-,-,gp24|putative neck whiskers protein,20210502,-
2282196,64468722,KGB36_gt01,KGB36_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20210502,-
2282196,64468723,KGB36_gp01,KGB36_gp01,Sf11_gp1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468724,KGB36_gp79,KGB36_gp79,Sf11_gp26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468725,KGB36_gp78,KGB36_gp78,Sf11_gp27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468726,KGB36_gp77,KGB36_gp77,Sf11_gp28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468727,KGB36_gp76,KGB36_gp76,Sf11_gp29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468728,KGB36_gp75,KGB36_gp75,Sf11_gp30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468729,KGB36_gp74,KGB36_gp74,Sf11_gp31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468730,KGB36_gp73,KGB36_gp73,Sf11_gp32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468731,KGB36_gp72,KGB36_gp72,Sf11_gp33,-,-,-,gp33,protein-coding,-,-,-,gp33|putative transcriptional regulator,20210502,-
2282196,64468732,KGB36_gp71,KGB36_gp71,Sf11_gp34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468733,KGB36_gp70,KGB36_gp70,Sf11_gp35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468734,KGB36_gp69,KGB36_gp69,Sf11_gp36,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210502,-
2282196,64468735,KGB36_gp68,KGB36_gp68,Sf11_gp37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468736,KGB36_gp67,KGB36_gp67,Sf11_gp38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468737,KGB36_gp66,KGB36_gp66,Sf11_gp39,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210502,-
2282196,64468738,KGB36_gp65,KGB36_gp65,Sf11_gp40,-,-,-,putative capsid decoration protein,protein-coding,-,-,-,putative capsid decoration protein,20210502,-
2282196,64468739,KGB36_gp64,KGB36_gp64,Sf11_gp41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468740,KGB36_gp63,KGB36_gp63,Sf11_gp42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468741,KGB36_gp62,KGB36_gp62,Sf11_gp43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468742,KGB36_gp61,KGB36_gp61,Sf11_gp44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468743,KGB36_gp60,KGB36_gp60,Sf11_gp45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468744,KGB36_gp59,KGB36_gp59,Sf11_gp46,-,-,-,gp46,protein-coding,-,-,-,gp46|winged helix-turn-helix domain-containing protein,20210502,-
2282196,64468745,KGB36_gp58,KGB36_gp58,Sf11_gp47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468746,KGB36_gp57,KGB36_gp57,Sf11_gp48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468747,KGB36_gp56,KGB36_gp56,Sf11_gp49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468748,KGB36_gp55,KGB36_gp55,Sf11_gp50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468749,KGB36_gp54,KGB36_gp54,Sf11_gp51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468750,KGB36_gp53,KGB36_gp53,Sf11_gp52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468751,KGB36_gp52,KGB36_gp52,Sf11_gp53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468752,KGB36_gp51,KGB36_gp51,Sf11_gp54,-,-,-,putative endopeptidase,protein-coding,-,-,-,putative endopeptidase,20210502,-
2282196,64468753,KGB36_gp50,KGB36_gp50,Sf11_gp55,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20210502,-
2282196,64468754,KGB36_gp49,KGB36_gp49,Sf11_gp56,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20210502,-
2282196,64468755,KGB36_gp48,KGB36_gp48,Sf11_gp57,-,-,-,lysozyme-like domain-containing protein,protein-coding,-,-,-,lysozyme-like domain-containing protein,20210502,-
2282196,64468756,KGB36_gp47,KGB36_gp47,Sf11_gp58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468757,KGB36_gp46,KGB36_gp46,Sf11_gp59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468758,KGB36_gp45,KGB36_gp45,Sf11_gp60,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210502,-
2282196,64468759,KGB36_gp44,KGB36_gp44,Sf11_gp61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468760,KGB36_gp43,KGB36_gp43,Sf11_gp62,-,-,-,putative head morphogenesis protein,protein-coding,-,-,-,putative head morphogenesis protein,20210502,-
2282196,64468761,KGB36_gp42,KGB36_gp42,Sf11_gp63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468762,KGB36_gp41,KGB36_gp41,Sf11_gp64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468763,KGB36_gp40,KGB36_gp40,Sf11_gp65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2282196,64468764,KGB36_gp39,KGB36_gp39,Sf11_gp66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
