#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
33905,15042125,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Bifidobacterium ruminale; Bifidobacterium thermophilium.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20181022,-
33905,35775801,BTHE_RS00040,BTHE_RS00040,BTHE_tRNA01,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35775856,BTHE_RS01005,BTHE_RS01005,BTHE_tRNA06,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35775904,BTHE_RS01425,BTHE_RS01425,BTHE_tRNA08,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35775913,BTHE_RS01635,BTHE_RS01635,BTHE_tRNA11,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35775917,BTHE_RS01970,BTHE_RS01970,BTHE_tRNA14,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35775931,BTHE_RS01720,BTHE_RS01720,BTHE_tRNA12,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35775933,BTHE_RS01615,BTHE_RS01615,BTHE_tRNA10,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35775983,BTHE_RS01780,BTHE_RS01780,BTHE_tRNA13,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35775984,BTHE_RS02215,BTHE_RS02215,BTHE_tRNA18,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776018,BTHE_RS00105,BTHE_RS00105,BTHE_tRNA03,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776023,BTHE_RS01610,BTHE_RS01610,BTHE_tRNA09,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776033,BTHE_RS00820,BTHE_RS00820,BTHE_tRNA05,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776044,BTHE_RS00100,BTHE_RS00100,BTHE_tRNA02,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776063,BTHE_RS02210,BTHE_RS02210,BTHE_tRNA17,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776098,BTHE_RS02205,BTHE_RS02205,BTHE_tRNA16,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776103,BTHE_RS00180,BTHE_RS00180,BTHE_tRNA04,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776156,BTHE_RS02435,BTHE_RS02435,BTHE_tRNA19,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776234,BTHE_RS01415,BTHE_RS01415,BTHE_tRNA07,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776256,BTHE_RS02170,BTHE_RS02170,BTHE_tRNA15,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776276,BTHE_RS02680,BTHE_RS02680,BTHE_tRNA25,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776285,BTHE_RS02665,BTHE_RS02665,BTHE_tRNA23,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776314,BTHE_RS02690,BTHE_RS02690,BTHE_tRNA27,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776317,BTHE_RS02675,BTHE_RS02675,BTHE_tRNA24,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776330,BTHE_RS03090,BTHE_RS03090,BTHE_tRNA29,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776335,BTHE_RS02685,BTHE_RS02685,BTHE_tRNA26,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
33905,35776386,BTHE_RS02785,BTHE_RS02785,BTHE_tRNA28,-,-,-,tRNA,tRNA,-,-,-,-,20180214,-
