#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
204440,951749,ae,McnBVgp048,-,-,-,-,putative alkaline exonuclease,protein-coding,-,-,-,putative alkaline exonuclease,20210417,-
204440,951750,he65,McnBVgp027,-,-,-,-,putative HE65,protein-coding,-,-,-,putative HE65,20180815,-
204440,951751,ie1,McnBVgp160,-,-,-,-,putative DNA replication/transcription factor IE-1,protein-coding,-,-,-,putative DNA replication/transcription factor IE-1,20180815,-
204440,951752,odv-e18,McnBVgp164,-,-,-,-,putative ODV-E18 -like protein,protein-coding,-,-,-,putative ODV-E18 -like protein,20180815,-
204440,951753,gp41,McnBVgp103,-,-,-,-,putative gp41,protein-coding,-,-,-,putative gp41,20180815,-
204440,951754,odv-e25,McnBVgp093,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20180815,-
204440,951755,iap2,McnBVgp108,-,-,-,-,putative IAP-2,protein-coding,-,-,-,putative IAP-2,20180815,-
204440,951756,fp25,McnBVgp123,-,-,-,-,few polyhedra plaque phenotype associated protein,protein-coding,-,-,-,few polyhedra plaque phenotype associated protein,20210417,-
204440,951757,p87/vp80,McnBVgp081,-,-,-,-,putative P87/VP80-like structural protein,protein-coding,-,-,-,putative P87/VP80-like structural protein,20210417,-
204440,951758,p24,McnBVgp011,-,-,-,-,putative P24,protein-coding,-,-,-,putative P24,20210417,-
204440,951759,lef6,McnBVgp154,-,-,-,-,putative late expression factor LEF-6,protein-coding,-,-,-,putative late expression factor LEF-6,20180815,-
204440,951760,39k,McnBVgp148,-,-,-,-,late expression factor 39K-like protein,protein-coding,-,-,-,late expression factor 39K-like protein,20180815,-
204440,951761,odvp-e6,McnBVgp006,-,-,-,-,odv-e56,protein-coding,-,-,-,putative ODVP-E6/ODV-E56,20180815,-
204440,951762,hoar,McnBVgp004,-,-,-,-,putative HOAR,protein-coding,-,-,-,putative HOAR,20180815,-
204440,951763,91k,McnBVgp100,-,-,-,-,91K-like protein,protein-coding,-,-,-,91K-like protein,20180815,-
204440,951764,lef5,McnBVgp086,-,-,-,-,putative late expression factor LEF-5,protein-coding,-,-,-,putative late expression factor LEF-5,20180815,-
204440,951765,efp,McnBVgp008,-,-,-,-,putative envelope fusion protein,protein-coding,-,-,-,putative envelope fusion protein,20180815,-
204440,951766,pk1,McnBVgp003,-,-,-,-,putative protein kinase,protein-coding,-,-,-,putative protein kinase,20210417,-
204440,951767,polh,McnBVgp001,-,-,-,-,polyhedrin,protein-coding,-,-,-,polyhedrin,20180815,-
204440,951768,bjdp,McnBVgp138,-,-,-,-,bJDP-like protein,protein-coding,-,-,-,bJDP-like protein,20180815,-
204440,951769,bro-g,McnBVgp125,-,-,-,-,BRO-G,protein-coding,-,-,-,BRO-G,20210417,-
204440,951770,p47,McnBVgp143,-,-,-,-,putative late expression factor,protein-coding,-,-,-,putative late expression factor,20180815,-
204440,951771,bro-f,McnBVgp121,-,-,-,-,BRO-F,protein-coding,-,-,-,BRO-F,20180815,-
204440,951772,p94,McnBVgp124,-,-,-,-,P94-like protein,protein-coding,-,-,-,P94-like protein,20180815,-
204440,951773,dnapol,McnBVgp113,-,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20210417,-
204440,951774,lef8,McnBVgp139,-,-,-,-,putative late expression factor LEF-8,protein-coding,-,-,-,putative late expression factor LEF-8,20180815,-
204440,951775,lef9,McnBVgp122,-,-,-,-,putative late expression factor LEF-9,protein-coding,-,-,-,putative late expression factor LEF-9,20180815,-
204440,951776,odv-ec27,McnBVgp163,-,-,-,-,putative ODVprotein,protein-coding,-,-,-,putative ODVprotein,20180815,-
204440,951777,desmoplakin,McnBVgp112,-,-,-,-,putative desmoplakin,protein-coding,-,-,-,putative desmoplakin,20210417,-
204440,951778,bro-e,McnBVgp120,-,-,-,-,BRO-E,protein-coding,-,-,-,BRO-E,20210417,-
204440,951779,lef10,McnBVgp132,-,-,-,-,putative late expression factor LEF-10,protein-coding,-,-,-,putative late expression factor LEF-10,20180815,-
204440,951780,iap3,McnBVgp137,-,-,-,-,putative IAP3,protein-coding,-,-,-,putative IAP3,20210612,-
204440,951781,lef11,McnBVgp147,-,-,-,-,putative late expression factor LEF-11,protein-coding,-,-,-,putative late expression factor LEF-11,20180815,-
204440,951782,ctx,McnBVgp105,-,-,-,-,putative conotoxin-like protein,protein-coding,-,-,-,putative conotoxin-like protein,20180815,-
204440,951783,hel1,McnBVgp092,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20180815,-
204440,951784,rr2b,McnBVgp052,-,-,-,-,putative ribonucleotide reductase small subunit-like protein,protein-coding,-,-,-,putative ribonucleotide reductase small subunit-like protein,20210417,-
204440,951785,p10,McnBVgp157,-,-,-,-,putative P10,protein-coding,-,-,-,putative P10,20180815,-
204440,951786,p74,McnBVgp158,-,-,-,-,putative P74,protein-coding,-,-,-,putative P74,20180815,-
204440,951787,dbp,McnBVgp153,-,-,-,-,putative DNA binding protein,protein-coding,-,-,-,putative DNA binding protein,20210417,-
204440,951788,calyx,McnBVgp061,-,-,-,-,putative polyhedral calyx protein,protein-coding,-,-,-,putative polyhedral calyx protein,20210417,-
204440,951789,xe2,McnBVgp076,-,-,-,-,XE-like protein,protein-coding,-,-,-,XE-like protein,20180815,-
204440,951790,bro-d,McnBVgp089,-,-,-,-,BRO-D,protein-coding,-,-,-,BRO-D,20180815,-
204440,951791,dutpase,McnBVgp073,-,-,-,-,putative dUTPase,protein-coding,-,-,-,putative dUTPase,20210417,-
204440,951792,odv-e66a,McnBVgp077,-,-,-,-,putative ODV-E66,protein-coding,-,-,-,putative ODV-E66,20180815,-
204440,951793,p13,McnBVgp075,-,-,-,-,p13-like protein,protein-coding,-,-,-,p13-like protein,20210417,-
204440,951794,gp37,McnBVgp032,-,-,-,-,putative gp37,protein-coding,-,-,-,putative gp37,20180815,-
204440,951795,lef4,McnBVgp097,-,-,-,-,putative late expression factor LEF-4,protein-coding,-,-,-,putative late expression factor LEF-4,20180815,-
204440,951796,arif1,McnBVgp042,-,-,-,-,putative actin-rearrangement-inducing factor,protein-coding,-,-,-,putative actin-rearrangement-inducing factor,20180815,-
