#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1094323,33352345,ND4L,CGU67_mgp11,-,-,mt|MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,-,20170916,-
1094323,33352346,ATP6,CGU67_mgp09,-,-,mt|MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,-,20170916,-
1094323,33352347,CGU67_mgt08,CGU67_mgt08,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094323,33352348,CGU67_mgt11,CGU67_mgt11,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094323,33352349,CGU67_mgt03,CGU67_mgt03,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094323,33352350,CGU67_mgt15,CGU67_mgt15,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094323,33352351,CGU67_mgt16,CGU67_mgt16,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094323,33352352,COX1,CGU67_mgp04,-,-,mt|MT,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,-,20170916,-
1094323,33352353,CGU67_mgt17,CGU67_mgt17,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094323,33352354,CGU67_mgt21,CGU67_mgt21,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094323,33352355,ND5,CGU67_mgp01,-,-,mt|MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,-,20170916,-
1094323,33352356,CGU67_mgt22,CGU67_mgt22,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094323,33352357,CGU67_mgt01,CGU67_mgt01,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094323,33352358,CGU67_mgt02,CGU67_mgt02,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094323,33352359,ND6,CGU67_mgp12,-,-,mt|MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,-,20170916,-
1094323,33352360,CGU67_mgt04,CGU67_mgt04,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094323,33352361,CGU67_mgr02,CGU67_mgr02,-,-,mt|MT,-,12S ribosomal RNA,rRNA,-,-,-,-,20170916,-
1094323,33352362,CGU67_mgt05,CGU67_mgt05,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094323,33352363,CGU67_mgt06,CGU67_mgt06,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094323,33352364,CGU67_mgt07,CGU67_mgt07,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094323,33352365,ND1,CGU67_mgp10,-,-,mt|MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,-,20170916,-
1094323,33352366,CGU67_mgt09,CGU67_mgt09,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094323,33352367,CGU67_mgt10,CGU67_mgt10,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094323,33352368,ND2,CGU67_mgp08,-,-,mt|MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,-,20170916,-
1094323,33352369,CGU67_mgt12,CGU67_mgt12,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094323,33352370,CGU67_mgt13,CGU67_mgt13,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094323,33352371,CGU67_mgt14,CGU67_mgt14,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094323,33352372,CYTB,CGU67_mgp07,-,-,mt|MT,-,cytochrome b,protein-coding,-,-,-,-,20170916,-
1094323,33352373,COX3,CGU67_mgp06,-,-,mt|MT,-,cytochrome c oxidase subunit III,protein-coding,-,-,-,-,20170916,-
1094323,33352374,ND4,CGU67_mgp05,-,-,mt|MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,-,20170916,-
1094323,33352375,CGU67_mgt18,CGU67_mgt18,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094323,33352376,CGU67_mgt19,CGU67_mgt19,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094323,33352377,CGU67_mgt20,CGU67_mgt20,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
1094323,33352378,COX2,CGU67_mgp03,-,-,mt|MT,-,cytochrome c oxidase subunit II,protein-coding,-,-,-,-,20170916,-
1094323,33352379,CGU67_mgr01,CGU67_mgr01,-,-,mt|MT,-,16S ribosomal RNA,rRNA,-,-,-,-,20170916,-
1094323,33352380,ND3,CGU67_mgp02,-,-,mt|MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,-,20170916,-
