#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1792289,56167139,H3H27_gp02,H3H27_gp02,vBEcoSST28624_02,-,-,-,Xis,protein-coding,-,-,-,Xis,20210417,-
1792289,56167140,H3H27_gp03,H3H27_gp03,vBEcoSST28624_03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167141,H3H27_gp04,H3H27_gp04,vBEcoSST28624_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1792289,56167142,H3H27_gp05,H3H27_gp05,vBEcoSST28624_05,-,-,-,EaA protein,protein-coding,-,-,-,EaA protein,20210417,-
1792289,56167143,H3H27_gp06,H3H27_gp06,vBEcoSST28624_06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167144,H3H27_gp07,H3H27_gp07,vBEcoSST28624_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167145,H3H27_gp08,H3H27_gp08,vBEcoSST28624_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167146,H3H27_gp09,H3H27_gp09,vBEcoSST28624_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167147,H3H27_gp10,H3H27_gp10,vBEcoSST28624_10,-,-,-,protein ea22,protein-coding,-,-,-,protein ea22,20210424,-
1792289,56167148,H3H27_gp11,H3H27_gp11,vBEcoSST28624_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167149,H3H27_gp12,H3H27_gp12,vBEcoSST28624_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1792289,56167150,H3H27_gp13,H3H27_gp13,vBEcoSST28624_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167151,H3H27_gp14,H3H27_gp14,vBEcoSST28624_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1792289,56167152,H3H27_gp15,H3H27_gp15,vBEcoSST28624_15,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210406,-
1792289,56167153,H3H27_gp16,H3H27_gp16,vBEcoSST28624_16,-,-,-,transposase,protein-coding,-,-,-,transposase,20201010,-
1792289,56167154,H3H27_gp17,H3H27_gp17,vBEcoSST28624_17,-,-,-,transposase,protein-coding,-,-,-,transposase,20210212,-
1792289,56167155,H3H27_gp18,H3H27_gp18,vBEcoSST28624_18,-,-,-,exo,protein-coding,-,-,-,exo,20210417,-
1792289,56167156,H3H27_gp19,H3H27_gp19,vBEcoSST28624_19,-,-,-,recombination protein Bet,protein-coding,-,-,-,recombination protein Bet,20200926,-
1792289,56167157,H3H27_gp20,H3H27_gp20,vBEcoSST28624_20,-,-,-,host-nuclease inhibitor protein Gam,protein-coding,-,-,-,host-nuclease inhibitor protein Gam,20210212,-
1792289,56167158,H3H27_gp21,H3H27_gp21,vBEcoSST28624_21,-,-,-,Kil protein,protein-coding,-,-,-,Kil protein,20210417,-
1792289,56167159,H3H27_gp22,H3H27_gp22,vBEcoSST28624_22,-,-,-,Ea10 protein,protein-coding,-,-,-,Ea10 protein,20210212,-
1792289,56167160,H3H27_gp23,H3H27_gp23,vBEcoSST28624_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
