#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1448319,63856202,BO72DRAFT_10,BO72DRAFT_10,-,-,Unknown,-,DUF757 domain protein,protein-coding,-,-,-,DUF757 domain protein,20210421,-
1448319,63856203,BO72DRAFT_100894,BO72DRAFT_100894,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856204,BO72DRAFT_101069,BO72DRAFT_101069,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856205,BO72DRAFT_10124,BO72DRAFT_10124,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856206,BO72DRAFT_101437,BO72DRAFT_101437,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856207,BO72DRAFT_101459,BO72DRAFT_101459,-,-,Unknown,-,putative extracellular endo-polygalacturonase,protein-coding,-,-,-,putative extracellular endo-polygalacturonase,20210421,-
1448319,63856208,BO72DRAFT_101480,BO72DRAFT_101480,-,-,Unknown,-,ABC transporter,protein-coding,-,-,-,ABC transporter,20210421,-
1448319,63856209,BO72DRAFT_101542,BO72DRAFT_101542,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856210,BO72DRAFT_101914,BO72DRAFT_101914,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856211,BO72DRAFT_101958,BO72DRAFT_101958,-,-,Unknown,-,cysteine hydrolase family protein,protein-coding,-,-,-,cysteine hydrolase family protein,20210421,-
1448319,63856212,BO72DRAFT_101982,BO72DRAFT_101982,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856213,BO72DRAFT_102095,BO72DRAFT_102095,-,-,Unknown,-,histone-fold-containing protein,protein-coding,-,-,-,histone-fold-containing protein,20210421,-
1448319,63856214,BO72DRAFT_10216,BO72DRAFT_10216,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856215,BO72DRAFT_102272,BO72DRAFT_102272,-,-,Unknown,-,alpha/beta-hydrolase,protein-coding,-,-,-,alpha/beta-hydrolase,20210421,-
1448319,63856216,BO72DRAFT_102560,BO72DRAFT_102560,-,-,Unknown,-,NAD(P)-binding protein,protein-coding,-,-,-,NAD(P)-binding protein,20210421,-
1448319,63856217,BO72DRAFT_102590,BO72DRAFT_102590,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856218,BO72DRAFT_102695,BO72DRAFT_102695,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856219,BO72DRAFT_102835,BO72DRAFT_102835,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856220,BO72DRAFT_102851,BO72DRAFT_102851,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856221,BO72DRAFT_103433,BO72DRAFT_103433,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1448319,63856222,BO72DRAFT_103529,BO72DRAFT_103529,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
