#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5821,3974685,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201024,-
5821,10351782,cytb,PlbeoM_p03,-,-,MT,-,apocytochrome b,protein-coding,-,-,-,apocytochrome b,20180329,-
5821,10351783,LS8,PlbeoM_r12,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200908,-
5821,10351784,LS2,PlbeoM_r15,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200908,-
5821,10351785,SS4,PlbeoM_r02,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20200908,-
5821,10351786,LS9,PlbeoM_r08,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200908,-
5821,10351787,LS5,PlbeoM_r11,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200908,-
5821,10351788,coxIII,PlbeoM_p01,-,-,MT,-,cytochrome c oxidase subunit III,protein-coding,-,-,-,cytochrome c oxidase subunit III,20180329,-
5821,10351789,SS3,PlbeoM_r06,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20200908,-
5821,10351790,LS6,PlbeoM_r05,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200908,-
5821,10351791,SS5,PlbeoM_r13,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20200908,-
5821,10351792,SS2,PlbeoM_r09,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20200908,-
5821,10351793,coxI,PlbeoM_p02,-,-,MT,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,cytochrome c oxidase subunit I,20180329,-
5821,10351794,LS4,PlbeoM_r10,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200908,-
5821,10351795,LS3,PlbeoM_r07,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200908,-
5821,10351796,SS6,PlbeoM_r03,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20200908,-
5821,10351797,SS1,PlbeoM_r14,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20200908,-
5821,10351798,LS7,PlbeoM_r04,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200908,-
5821,10351799,LS1,PlbeoM_r01,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200908,-
