#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821539,40071268,2,FDG99_gp02,SEA_SKINNYPETE_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200629,-
1821539,40071269,3,FDG99_gp03,SEA_SKINNYPETE_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071270,4,FDG99_gp04,SEA_SKINNYPETE_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1821539,40071271,5,FDG99_gp05,SEA_SKINNYPETE_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200629,-
1821539,40071272,6,FDG99_gp06,SEA_SKINNYPETE_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
1821539,40071273,7,FDG99_gp07,SEA_SKINNYPETE_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071274,8,FDG99_gp08,SEA_SKINNYPETE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071275,9,FDG99_gp09,SEA_SKINNYPETE_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071276,10,FDG99_gp10,SEA_SKINNYPETE_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071277,11,FDG99_gp11,SEA_SKINNYPETE_11,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20210424,-
1821539,40071278,12,FDG99_gp12,SEA_SKINNYPETE_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821539,40071279,13,FDG99_gp13,SEA_SKINNYPETE_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200629,-
1821539,40071280,15,FDG99_gp14,SEA_SKINNYPETE_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200629,-
1821539,40071281,16,FDG99_gp16,SEA_SKINNYPETE_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
1821539,40071282,14,FDG99_gp15,SEA_SKINNYPETE_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200629,-
1821539,40071283,17,FDG99_gp17,SEA_SKINNYPETE_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1821539,40071284,18,FDG99_gp18,SEA_SKINNYPETE_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1821539,40071285,19,FDG99_gp19,SEA_SKINNYPETE_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1821539,40071286,20,FDG99_gp20,SEA_SKINNYPETE_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1821539,40071287,21,FDG99_gp21,SEA_SKINNYPETE_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
