#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
101028,20490107,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210522,-
101028,44803745,rps3,HCT45_mgp65,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,ribosomal protein S3,20200908,-
101028,44803746,trnT(tgt),HCT45_mgt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
101028,44803747,trnE(ttc),HCT45_mgt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
101028,44803748,trnM(cat),HCT45_mgt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
101028,44803749,trnM(cat),HCT45_mgt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
101028,44803750,trnG(acc),HCT45_mgt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
101028,44803751,trnL(taa),HCT45_mgt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
101028,44803752,trnG(tcc),HCT45_mgt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
101028,44803753,orf1972,HCT45_mgp64,-,-,MT,-,LV-uORF,protein-coding,-,-,-,LV-uORF,20200908,-
101028,44803754,trnA(tgc),HCT45_mgt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
101028,44803755,trnF(gaa),HCT45_mgt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
101028,44803756,trnK(ttt),HCT45_mgt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
101028,44803757,trnL(tag),HCT45_mgt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
101028,44803758,trnQ(ttg),HCT45_mgt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
101028,44803759,trnH(gtg),HCT45_mgt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
101028,44803760,trnM(cat),HCT45_mgt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
101028,44803761,nad2,HCT45_mgp63,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20210129,-
101028,44803762,iorf425,HCT45_mgp62,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
101028,44803763,iorf192,HCT45_mgp61,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
101028,44803764,iorf134,HCT45_mgp60,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
101028,44803765,iorf109,HCT45_mgp59,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210123,-
101028,44803766,iorf416,HCT45_mgp58,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210403,-
101028,44803767,iorf341,HCT45_mgp57,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
101028,44803768,nad3,HCT45_mgp56,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20210129,-
101028,44803769,iorf420,HCT45_mgp55,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
101028,44803770,atp9,HCT45_mgp54,-,-,MT,-,ATP synthase subunit 9,protein-coding,-,-,-,ATP synthase subunit 9,20210129,-
101028,44803771,iorf282,HCT45_mgp53,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210403,-
101028,44803772,cox2,HCT45_mgp52,-,-,MT,-,cytochrome c oxidase subunit 2,protein-coding,-,-,-,cytochrome c oxidase subunit 2,20210129,-
101028,44803773,iorf452,HCT45_mgp51,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210320,-
101028,44803774,iorf455,HCT45_mgp50,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210123,-
101028,44803775,trnR(acg),HCT45_mgt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
101028,44803776,trnR(tcg),HCT45_mgt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
101028,44803777,orf313,HCT45_mgp49,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
101028,44803778,trnY(ata),HCT45_mgt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
101028,44803779,nad4L,HCT45_mgp48,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20210129,-
101028,44803780,iorf343,HCT45_mgp47,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
101028,44803781,nad5,HCT45_mgp46,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20210129,-
101028,44803782,iorf302,HCT45_mgp45,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210129,-
101028,44803783,orf149,HCT45_mgp44,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
101028,44803784,cob,HCT45_mgp43,-,-,MT,-,cytochrome b,protein-coding,-,-,-,cytochrome b,20210129,-
101028,44803785,iorf408,HCT45_mgp42,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
101028,44803786,iorf233,HCT45_mgp41,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210320,-
101028,44803787,iorf488,HCT45_mgp40,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210129,-
101028,44803788,iorf289,HCT45_mgp39,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210320,-
101028,44803789,iorf264,HCT45_mgp38,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
