#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2079583,40099886,2,FDJ35_gp02,PBI_HAMLET_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
2079583,40099887,3,FDJ35_gp03,PBI_HAMLET_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
2079583,40099888,4,FDJ35_gp04,PBI_HAMLET_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
2079583,40099889,5,FDJ35_gp05,PBI_HAMLET_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
2079583,40099890,6,FDJ35_gp06,PBI_HAMLET_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099891,7,FDJ35_gp07,PBI_HAMLET_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099892,8,FDJ35_gp08,PBI_HAMLET_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099893,9,FDJ35_gp09,PBI_HAMLET_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099894,10,FDJ35_gp10,PBI_HAMLET_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099895,11,FDJ35_gp11,PBI_HAMLET_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099896,12,FDJ35_gp12,PBI_HAMLET_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099897,13,FDJ35_gp13,PBI_HAMLET_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099898,14,FDJ35_gp14,PBI_HAMLET_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2079583,40099899,15,FDJ35_gp15,PBI_HAMLET_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2079583,40099900,16,FDJ35_gp16,PBI_HAMLET_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2079583,40099901,17,FDJ35_gp17,PBI_HAMLET_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
2079583,40099902,18,FDJ35_gp18,PBI_HAMLET_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2079583,40099903,19,FDJ35_gp19,PBI_HAMLET_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2079583,40099904,20,FDJ35_gp20,PBI_HAMLET_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099905,21,FDJ35_gp21,PBI_HAMLET_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099906,22,FDJ35_gp22,PBI_HAMLET_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099907,23,FDJ35_gp23,PBI_HAMLET_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2079583,40099908,24,FDJ35_gp24,PBI_HAMLET_24,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
2079583,40099909,25,FDJ35_gp25,PBI_HAMLET_25,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2079583,40099910,26,FDJ35_gp26,PBI_HAMLET_26,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
2079583,40099911,27,FDJ35_gp27,PBI_HAMLET_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099912,28,FDJ35_gp28,PBI_HAMLET_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099913,29,FDJ35_gp29,PBI_HAMLET_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099914,30,FDJ35_gp30,PBI_HAMLET_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099915,31,FDJ35_gp31,PBI_HAMLET_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099916,32,FDJ35_gp32,PBI_HAMLET_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079583,40099917,33,FDJ35_gp33,PBI_HAMLET_33,-,-,-,DNA recombinase,protein-coding,-,-,-,DNA recombinase,20201221,-
2079583,40099918,34,FDJ35_gp34,PBI_HAMLET_34,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20201221,-
