#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1772307,40077481,2,FDH49_gp02,MARTHA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1772307,40077482,3,FDH49_gp03,MARTHA_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1772307,40077483,4,FDH49_gp04,MARTHA_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1772307,40077484,5,FDH49_gp05,MARTHA_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077485,6,FDH49_gp06,MARTHA_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077486,7,FDH49_gp07,MARTHA_7,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1772307,40077487,8,FDH49_gp08,MARTHA_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077488,9,FDH49_gp09,MARTHA_9,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1772307,40077489,10,FDH49_gp10,MARTHA_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077490,11,FDH49_gp11,MARTHA_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077491,12,FDH49_gp12,MARTHA_12,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20210129,-
1772307,40077492,13,FDH49_gp13,MARTHA_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077493,14,FDH49_gp14,MARTHA_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077494,15,FDH49_gp15,MARTHA_15,-,-,-,tail sheath,protein-coding,-,-,-,tail sheath,20201221,-
1772307,40077495,16,FDH49_gp16,MARTHA_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077496,17,FDH49_gp17,MARTHA_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077497,18,FDH49_gp18,MARTHA_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077498,19,FDH49_gp19,MARTHA_19,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201221,-
1772307,40077499,20,FDH49_gp20,MARTHA_20,-,-,-,LysM,protein-coding,-,-,-,LysM,20201221,-
1772307,40077500,21,FDH49_gp21,MARTHA_21,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1772307,40077501,22,FDH49_gp22,MARTHA_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077502,23,FDH49_gp23,MARTHA_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1772307,40077503,24,FDH49_gp24,MARTHA_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1772307,40077504,25,FDH49_gp25,MARTHA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077505,26,FDH49_gp26,MARTHA_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077506,27,FDH49_gp27,MARTHA_27,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1772307,40077507,28,FDH49_gp28,MARTHA_28,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1772307,40077508,29,FDH49_gp29,MARTHA_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077509,30,FDH49_gp30,MARTHA_30,-,-,-,tail lysozyme,protein-coding,-,-,-,tail lysozyme,20201221,-
1772307,40077510,31,FDH49_gp31,MARTHA_31,-,-,-,baseplate J-like protein,protein-coding,-,-,-,baseplate J-like protein,20201221,-
1772307,40077511,32,FDH49_gp32,MARTHA_32,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1772307,40077512,33,FDH49_gp33,MARTHA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077513,34,FDH49_gp34,MARTHA_34,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1772307,40077514,35,FDH49_gp35,MARTHA_35,-,-,-,RecT-like recombinase,protein-coding,-,-,-,RecT-like recombinase,20201221,-
1772307,40077515,36,FDH49_gp36,MARTHA_36,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1772307,40077516,37,FDH49_gp37,MARTHA_37,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201221,-
1772307,40077517,38,FDH49_gp38,MARTHA_38,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1772307,40077518,39,FDH49_gp39,MARTHA_39,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1772307,40077519,40,FDH49_gp40,MARTHA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077520,41,FDH49_gp41,MARTHA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077521,42,FDH49_gp42,MARTHA_42,-,-,-,RusA,protein-coding,-,-,-,RusA,20201221,-
1772307,40077522,43,FDH49_gp43,MARTHA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077523,44,FDH49_gp44,MARTHA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077524,45,FDH49_gp45,MARTHA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077525,46,FDH49_gp46,MARTHA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077526,47,FDH49_gp47,MARTHA_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772307,40077527,48,FDH49_gp48,MARTHA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
