#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10689,14006435,F353_gp02,F353_gp02,CP-T1_0002,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20201220,-
10689,14006436,F353_gp03,F353_gp03,CP-T1_0003,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201220,-
10689,14006437,F353_gp04,F353_gp04,CP-T1_0004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006438,F353_gp05,F353_gp05,CP-T1_0005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006439,F353_gp06,F353_gp06,CP-T1_0006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006440,F353_gp07,F353_gp07,CP-T1_0007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006441,F353_gp08,F353_gp08,CP-T1_0008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006442,F353_gp09,F353_gp09,CP-T1_0009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006443,F353_gp10,F353_gp10,CP-T1_0010,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201220,-
10689,14006444,F353_gp11,F353_gp11,CP-T1_0011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006445,F353_gp12,F353_gp12,CP-T1_0012,-,-,-,putative methylase,protein-coding,-,-,-,putative methylase,20201220,-
10689,14006446,F353_gp13,F353_gp13,CP-T1_0013,-,-,-,putative methylase,protein-coding,-,-,-,putative methylase,20201220,-
10689,14006447,F353_gp14,F353_gp14,CP-T1_0014,-,-,-,putative TetR transcriptional regulator,protein-coding,-,-,-,putative TetR transcriptional regulator,20201220,-
10689,14006448,F353_gp15,F353_gp15,CP-T1_0015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006449,F353_gp16,F353_gp16,CP-T1_0016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006450,F353_gp17,F353_gp17,CP-T1_0017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006451,F353_gp18,F353_gp18,CP-T1_0018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006452,F353_gp19,F353_gp19,CP-T1_0019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006453,F353_gp20,F353_gp20,CP-T1_0020,-,-,-,putative primase,protein-coding,-,-,-,putative primase,20201220,-
10689,14006454,F353_gp21,F353_gp21,CP-T1_0021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006455,F353_gp22,F353_gp22,CP-T1_0022,-,-,-,putative TerS small-subunit terminase,protein-coding,-,-,-,putative TerS small-subunit terminase,20201220,-
10689,14006456,F353_gp23,F353_gp23,CP-T1_0023,-,-,-,putative TerL large-subunit terminase,protein-coding,-,-,-,putative TerL large-subunit terminase,20201220,-
10689,14006457,F353_gp24,F353_gp24,CP-T1_0024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10689,14006458,F353_gp25,F353_gp25,CP-T1_0025,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201220,-
