#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
197,3979052,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Campylobacter fetus subsp. jejuni; Vibrio hepaticus; Vibrio jejuni.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210213,-
197,39457505,FORC83_RS08670,FORC83_RS08670,FORC83_p057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
197,39457507,FORC83_RS08520,FORC83_RS08520,FORC83_p020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
197,39457509,FORC83_RS08440,FORC83_RS08440,FORC83_p003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
197,39457512,FORC83_RS08640,FORC83_RS08640,FORC83_p051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
197,39457513,FORC83_RS08460,FORC83_RS08460,FORC83_p007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
197,39457514,FORC83_RS08595,FORC83_RS08595,FORC83_p042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
197,39457517,FORC83_RS08455,FORC83_RS08455,FORC83_p006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
197,39457519,FORC83_RS08480,FORC83_RS08480,FORC83_p011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190815,-
197,39457521,FORC83_RS08435,FORC83_RS08435,FORC83_p002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
197,39457522,FORC83_RS08470,FORC83_RS08470,FORC83_p009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
197,39457523,FORC83_RS08680,FORC83_RS08680,FORC83_p059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
197,39457525,FORC83_RS08495,FORC83_RS08495,FORC83_p014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
197,39457526,FORC83_RS08660,FORC83_RS08660,FORC83_p055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
197,39457531,FORC83_RS08635,FORC83_RS08635,FORC83_p050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
197,39457532,FORC83_RS08645,FORC83_RS08645,FORC83_p052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190814,-
197,39457535,FORC83_RS08695,FORC83_RS08695,FORC83_p062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190815,-
197,39457537,FORC83_RS08650,FORC83_RS08650,FORC83_p053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190606,-
197,39457538,FORC83_RS08485,FORC83_RS08485,FORC83_p012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
197,39457540,FORC83_RS08715,FORC83_RS08715,FORC83_p066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190606,-
197,39457542,FORC83_RS08515,FORC83_RS08515,FORC83_p019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
197,39457543,FORC83_RS08510,FORC83_RS08510,FORC83_p018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
197,39457544,FORC83_RS08725,FORC83_RS08725,FORC83_p069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
197,39457546,FORC83_RS08505,FORC83_RS08505,FORC83_p017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
197,39457548,FORC83_RS08525,FORC83_RS08525,FORC83_p026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
197,39457550,FORC83_RS08560,FORC83_RS08560,FORC83_p035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190814,-
197,39457551,FORC83_RS08565,FORC83_RS08565,FORC83_p036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190814,-
197,39457552,FORC83_RS08545,FORC83_RS08545,FORC83_p032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
197,39457554,FORC83_RS08575,FORC83_RS08575,FORC83_p038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
197,39457555,FORC83_RS08570,FORC83_RS08570,FORC83_p037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
197,39457558,FORC83_RS08445,FORC83_RS08445,FORC83_p004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
197,39457561,FORC83_RS08675,FORC83_RS08675,FORC83_p058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
197,39457563,FORC83_RS08450,FORC83_RS08450,FORC83_p005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
197,42589719,E5V15_RS09450,E5V15_RS09450,E5V15_09450,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589720,E5V15_RS09445,E5V15_RS09445,E5V15_09445,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589722,E5V15_RS09475,E5V15_RS09475,E5V15_09475,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42589723,E5V15_RS09425,E5V15_RS09425,E5V15_09425,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589724,E5V15_RS09420,E5V15_RS09420,E5V15_09420,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589725,E5V15_RS09415,E5V15_RS09415,E5V15_09415,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589727,E5V15_RS09625,E5V15_RS09625,E5V15_09625,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589728,E5V15_RS09410,E5V15_RS09410,E5V15_09410,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589729,E5V15_RS09670,E5V15_RS09670,E5V15_09670,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589730,E5V15_RS09610,E5V15_RS09610,E5V15_09610,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589732,E5V15_RS09395,E5V15_RS09395,E5V15_09395,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
197,42589734,E5V15_RS09620,E5V15_RS09620,E5V15_09620,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589735,E5V15_RS09385,E5V15_RS09385,E5V15_09385,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42589737,E5V15_RS09380,E5V15_RS09380,E5V15_09380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589739,E5V15_RS09405,E5V15_RS09405,E5V15_09405,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589742,E5V15_RS09360,E5V15_RS09360,E5V15_09360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589744,E5V15_RS09355,E5V15_RS09355,E5V15_09355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42589746,E5V15_RS09340,E5V15_RS09340,E5V15_09340,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
197,42589748,E5V15_RS09655,E5V15_RS09655,E5V15_09655,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589752,E5V15_RS09615,E5V15_RS09615,E5V15_09615,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589753,E5V15_RS09315,E5V15_RS09315,E5V15_09315,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589754,E5V15_RS09310,E5V15_RS09310,E5V15_09310,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589755,E5V15_RS09305,E5V15_RS09305,E5V15_09305,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589757,E5V15_RS09295,E5V15_RS09295,E5V15_09295,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589759,E5V15_RS09290,E5V15_RS09290,E5V15_09290,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42589761,E5V15_RS09285,E5V15_RS09285,E5V15_09285,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
