#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
28150,25026242,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Salmonella enterica serovar Senftenberg; Salmonella senftenberg).,other,-,-,-,-,20190422,-
28150,39752208,E5F22_RS24080,E5F22_RS24080,E5F22_24080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
28150,39752209,E5F22_RS24005,E5F22_RS24005,E5F22_24005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752210,E5F22_RS24025,E5F22_RS24025,E5F22_24025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752211,E5F22_RS24070,E5F22_RS24070,E5F22_24070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752213,E5F22_RS23965,E5F22_RS23965,E5F22_23965,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752214,E5F22_RS24105,E5F22_RS24105,E5F22_24105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752215,E5F22_RS23940,E5F22_RS23940,E5F22_23940,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752216,E5F22_RS24010,E5F22_RS24010,E5F22_24010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752217,E5F22_RS23935,E5F22_RS23935,E5F22_23935,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752220,E5F22_RS24020,E5F22_RS24020,E5F22_24020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752221,E5F22_RS23970,E5F22_RS23970,E5F22_23970,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752222,E5F22_RS24095,E5F22_RS24095,E5F22_24095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752224,E5F22_RS24035,E5F22_RS24035,E5F22_24035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752226,E5F22_RS24085,E5F22_RS24085,E5F22_24085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752227,E5F22_RS24125,E5F22_RS24125,E5F22_24125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190815,-
28150,39752228,E5F22_RS24110,E5F22_RS24110,E5F22_24110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752229,E5F22_RS24100,E5F22_RS24100,E5F22_24100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752230,E5F22_RS23960,E5F22_RS23960,E5F22_23960,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752231,E5F22_RS23930,E5F22_RS23930,E5F22_23930,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752232,E5F22_RS23975,E5F22_RS23975,E5F22_23975,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752233,E5F22_RS23925,E5F22_RS23925,E5F22_23925,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752234,E5F22_RS24130,E5F22_RS24130,E5F22_24130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752235,E5F22_RS24060,E5F22_RS24060,E5F22_24060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752236,E5F22_RS23955,E5F22_RS23955,E5F22_23955,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752237,E5F22_RS23995,E5F22_RS23995,E5F22_23995,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752238,E5F22_RS23985,E5F22_RS23985,E5F22_23985,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752239,E5F22_RS24030,E5F22_RS24030,E5F22_24030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190815,-
28150,39752240,E5F22_RS23990,E5F22_RS23990,E5F22_23990,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752241,E5F22_RS24000,E5F22_RS24000,E5F22_24000,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752242,E5F22_RS23980,E5F22_RS23980,E5F22_23980,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752243,CVI97_RS23940,CVI97_RS23940,CVI97_23940,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190814,-
28150,39752244,CVI97_RS23865,CVI97_RS23865,CVI97_23865,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752246,CVI97_RS23945,CVI97_RS23945,CVI97_23945,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752247,CVI97_RS23840,CVI97_RS23840,CVI97_23840,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752250,CVI97_RS23815,CVI97_RS23815,CVI97_23815,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752251,CVI97_RS23875,CVI97_RS23875,CVI97_23875,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190601,-
28150,39752252,CVI97_RS23935,CVI97_RS23935,CVI97_23935,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752253,CVI97_RS23910,CVI97_RS23910,CVI97_23910,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752254,CVI97_RS23785,CVI97_RS23785,CVI97_23785,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752255,CVI97_RS23830,CVI97_RS23830,CVI97_23830,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752256,CVI97_RS23870,CVI97_RS23870,CVI97_23870,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190815,-
28150,39752257,CVI97_RS23805,CVI97_RS23805,CVI97_23805,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752258,CVI97_RS23800,CVI97_RS23800,CVI97_23800,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752259,CVI97_RS23845,CVI97_RS23845,CVI97_23845,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752260,CVI97_RS23920,CVI97_RS23920,CVI97_23920,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190419,-
28150,39752261,CVI97_RS23925,CVI97_RS23925,CVI97_23925,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190814,-
28150,39752262,CVI97_RS23895,CVI97_RS23895,CVI97_23895,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
28150,39752263,CVI97_RS23810,CVI97_RS23810,CVI97_23810,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752266,CVI97_RS23900,CVI97_RS23900,CVI97_23900,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
28150,39752267,CVI97_RS23825,CVI97_RS23825,CVI97_23825,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190418,-
