#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
89940,27816086,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Cladosporium bantianum; Cladosporium trichoides; Xylohypha bantiana).,other,-,-,-,-,20160517,-
89940,32984567,BBW04_gr01,BBW04_gr01,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20170607,-
89940,32984568,atp8,BBW04_gp10,-,-,MT,-,Atp8,protein-coding,-,-,-,-,20170609,-
89940,32984569,cox2,BBW04_gp06,-,-,MT,-,Cox2,protein-coding,-,-,-,-,20170609,-
89940,32984570,cox1,BBW04_gp11,-,-,MT,-,Cox1,protein-coding,-,-,-,-,20170609,-
89940,32984571,BBW04_gt06,BBW04_gt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170607,-
89940,32984572,atp6,BBW04_gp09,-,-,MT,-,Atp6,protein-coding,-,-,-,-,20170609,-
89940,32984573,BBW04_gt10,BBW04_gt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170607,-
89940,32984574,BBW04_gt19,BBW04_gt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170607,-
89940,32984575,cob,BBW04_gp13,-,-,MT,-,cytochrome b,protein-coding,-,-,-,-,20170609,-
89940,32984576,BBW04_gt20,BBW04_gt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170607,-
89940,32984577,BBW04_gt12,BBW04_gt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170607,-
89940,32984578,BBW04_gt21,BBW04_gt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170607,-
89940,32984579,atp9,BBW04_gp14,-,-,MT,-,Atp9,protein-coding,-,-,-,-,20170609,-
89940,32984580,BBW04_gt01,BBW04_gt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170607,-
89940,32984581,nad6,BBW04_gp08,-,-,MT,-,Nad6,protein-coding,-,-,-,-,20170609,-
89940,32984582,BBW04_gt22,BBW04_gt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170607,-
89940,32984583,BBW04_gr02,BBW04_gr02,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20170607,-
89940,32984584,BBW04_gt16,BBW04_gt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170607,-
89940,32984585,nad1,BBW04_gp03,-,-,MT,-,Nad1,protein-coding,-,-,-,-,20170609,-
89940,32984586,cox3,BBW04_gp01,-,-,MT,-,Cox3,protein-coding,-,-,-,-,20170609,-
89940,32984587,BBW04_gt17,BBW04_gt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170607,-
89940,32984588,nad3,BBW04_gp12,-,-,MT,-,Nad3,protein-coding,-,-,-,-,20170609,-
89940,32984589,nad2,BBW04_gp02,-,-,MT,-,Nad2,protein-coding,-,-,-,-,20170609,-
89940,32984590,nad5,BBW04_gp04,-,-,MT,-,Nad5,protein-coding,-,-,-,-,20170609,-
89940,32984591,BBW04_gt05,BBW04_gt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170607,-
89940,32984592,BBW04_gt14,BBW04_gt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170607,-
89940,32984593,BBW04_gt18,BBW04_gt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170607,-
89940,32984594,nad4l,BBW04_gp05,-,-,MT,-,Nad4l,protein-coding,-,-,-,-,20170609,-
89940,32984595,BBW04_gp16,BBW04_gp16,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,-,20170609,-
89940,32984596,BBW04_gt07,BBW04_gt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170607,-
89940,32984597,BBW04_gt08,BBW04_gt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170607,-
89940,32984598,BBW04_gt03,BBW04_gt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170607,-
89940,32984599,BBW04_gt09,BBW04_gt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170607,-
89940,32984600,BBW04_gt11,BBW04_gt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170607,-
89940,32984601,BBW04_gt04,BBW04_gt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170607,-
89940,32984602,BBW04_gt02,BBW04_gt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170607,-
89940,32984603,BBW04_gt13,BBW04_gt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170607,-
89940,32984604,rps5,BBW04_gp15,-,-,MT,-,ribosomal protein S5,protein-coding,-,-,-,-,20170609,-
89940,32984605,BBW04_gt15,BBW04_gt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20170607,-
89940,32984606,nad4,BBW04_gp07,-,-,MT,-,Nad4,protein-coding,-,-,-,-,20170609,-
