#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2696373,63023514,2,J1N47_gp02,SEA_KILKOR_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2696373,63023515,3,J1N47_gp03,SEA_KILKOR_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210320,-
2696373,63023516,4,J1N47_gp04,SEA_KILKOR_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210403,-
2696373,63023517,5,J1N47_gp05,SEA_KILKOR_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210403,-
2696373,63023518,6,J1N47_gp06,SEA_KILKOR_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210309,-
2696373,63023519,7,J1N47_gp07,SEA_KILKOR_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023520,8,J1N47_gp08,SEA_KILKOR_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210320,-
2696373,63023521,9,J1N47_gp09,SEA_KILKOR_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210309,-
2696373,63023522,10,J1N47_gp10,SEA_KILKOR_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2696373,63023523,11,J1N47_gp11,SEA_KILKOR_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023524,12,J1N47_gp12,SEA_KILKOR_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023525,13,J1N47_gp13,SEA_KILKOR_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210309,-
2696373,63023526,14,J1N47_gp14,SEA_KILKOR_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210309,-
2696373,63023527,16,J1N47_gp15,SEA_KILKOR_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210309,-
2696373,63023528,17,J1N47_gp17,SEA_KILKOR_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2696373,63023529,15,J1N47_gp16,SEA_KILKOR_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210309,-
2696373,63023530,18,J1N47_gp18,SEA_KILKOR_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2696373,63023531,19,J1N47_gp19,SEA_KILKOR_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2696373,63023532,20,J1N47_gp20,SEA_KILKOR_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2696373,63023533,21,J1N47_gp21,SEA_KILKOR_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2696373,63023534,22,J1N47_gp22,SEA_KILKOR_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2696373,63023535,23,J1N47_gp23,SEA_KILKOR_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023536,24,J1N47_gp24,SEA_KILKOR_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023537,25,J1N47_gp25,SEA_KILKOR_25,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210309,-
2696373,63023538,26,J1N47_gp26,SEA_KILKOR_26,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2696373,63023539,27,J1N47_gp27,SEA_KILKOR_27,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210309,-
2696373,63023540,28,J1N47_gp28,SEA_KILKOR_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2696373,63023541,29,J1N47_gp29,SEA_KILKOR_29,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210320,-
2696373,63023542,30,J1N47_gp30,SEA_KILKOR_30,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210403,-
2696373,63023543,31,J1N47_gp31,SEA_KILKOR_31,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210327,-
2696373,63023544,32,J1N47_gp32,SEA_KILKOR_32,-,-,-,excise,protein-coding,-,-,-,excise,20210327,-
2696373,63023545,33,J1N47_gp33,SEA_KILKOR_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023546,34,J1N47_gp34,SEA_KILKOR_34,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
2696373,63023547,35,J1N47_gp35,SEA_KILKOR_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023548,36,J1N47_gp36,SEA_KILKOR_36,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210309,-
2696373,63023549,37,J1N47_gp37,SEA_KILKOR_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023550,38,J1N47_gp38,SEA_KILKOR_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2696373,63023551,39,J1N47_gp39,SEA_KILKOR_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023552,40,J1N47_gp40,SEA_KILKOR_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023553,41,J1N47_gp41,SEA_KILKOR_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023554,42,J1N47_gp42,SEA_KILKOR_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023555,43,J1N47_gp43,SEA_KILKOR_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023556,44,J1N47_gp44,SEA_KILKOR_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023557,45,J1N47_gp45,SEA_KILKOR_45,-,-,-,RecB-like exonuclease/helicase,protein-coding,-,-,-,RecB-like exonuclease/helicase,20210403,-
2696373,63023558,46,J1N47_gp46,SEA_KILKOR_46,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210327,-
2696373,63023559,47,J1N47_gp47,SEA_KILKOR_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023560,48,J1N47_gp48,SEA_KILKOR_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023561,49,J1N47_gp49,SEA_KILKOR_49,-,-,-,FtsK-like DNA translocase,protein-coding,-,-,-,FtsK-like DNA translocase,20210327,-
2696373,63023562,50,J1N47_gp50,SEA_KILKOR_50,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210403,-
2696373,63023563,51,J1N47_gp51,SEA_KILKOR_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023564,52,J1N47_gp52,SEA_KILKOR_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023565,53,J1N47_gp53,SEA_KILKOR_53,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210313,-
2696373,63023566,54,J1N47_gp54,SEA_KILKOR_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023567,55,J1N47_gp55,SEA_KILKOR_55,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210313,-
2696373,63023568,56,J1N47_gp56,SEA_KILKOR_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2696373,63023569,57,J1N47_gp57,SEA_KILKOR_57,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210403,-
2696373,63023570,58,J1N47_gp58,SEA_KILKOR_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
