#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2723901,65124957,KNU96_gp02,KNU96_gp02,XccvBFoX5_gp02,-,-,-,glycolate dehydrogenase,protein-coding,-,-,-,glycolate dehydrogenase,20210608,-
2723901,65124958,KNU96_gp03,KNU96_gp03,XccvBFoX5_gp03,-,-,-,"head, terminase DNA packaging protein A",protein-coding,-,-,-,"head, terminase DNA packaging protein A",20210608,-
2723901,65124959,KNU96_gp04,KNU96_gp04,XccvBFoX5_gp04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65124960,KNU96_gp05,KNU96_gp05,XccvBFoX5_gp05,-,-,-,"head, portal protein B",protein-coding,-,-,-,"head, portal protein B",20210608,-
2723901,65124961,KNU96_gp06,KNU96_gp06,XccvBFoX5_gp06,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2723901,65124962,KNU96_gp07,KNU96_gp07,XccvBFoX5_gp07c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65124963,KNU96_gp08,KNU96_gp08,XccvBFoX5_gp08c,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65124964,KNU96_gp09,KNU96_gp09,XccvBFoX5_gp09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65124965,KNU96_gp10,KNU96_gp10,XccvBFoX5_gp10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65124966,KNU96_gp11,KNU96_gp11,XccvBFoX5_gp11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65124967,KNU96_gp12,KNU96_gp12,XccvBFoX5_gp12,-,-,-,minor tail protein Z-like protein,protein-coding,-,-,-,minor tail protein Z-like protein,20210608,-
2723901,65124968,KNU96_gp13,KNU96_gp13,XccvBFoX5_gp13,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2723901,65124969,KNU96_gp14,KNU96_gp14,XccvBFoX5_gp14,-,-,-,baseplate assembly protein V,protein-coding,-,-,-,baseplate assembly protein V,20210608,-
2723901,65124970,KNU96_gp15,KNU96_gp15,XccvBFoX5_gp15,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20210608,-
2723901,65124971,KNU96_gp16,KNU96_gp16,XccvBFoX5_gp16,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20210608,-
2723901,65124972,KNU96_gp17,KNU96_gp17,XccvBFoX5_gp17,-,-,-,tail formation protein,protein-coding,-,-,-,tail formation protein,20210608,-
2723901,65124973,KNU96_gp18,KNU96_gp18,XccvBFoX5_gp18,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210608,-
2723901,65124974,KNU96_gp19,KNU96_gp19,XccvBFoX5_gp19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65124975,KNU96_gp20,KNU96_gp20,XccvBFoX5_gp20,-,-,-,tail sheath monomer,protein-coding,-,-,-,tail sheath monomer,20210608,-
2723901,65124976,KNU96_gp21,KNU96_gp21,XccvBFoX5_gp21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65124977,KNU96_gp22,KNU96_gp22,XccvBFoX5_gp22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65124978,KNU96_gp23,KNU96_gp23,XccvBFoX5_gp23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2723901,65124979,KNU96_gp24,KNU96_gp24,XccvBFoX5_gp24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
