#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1965467,56137337,H1Z30_gp002,H1Z30_gp002,AM1_002,-,-,-,exodeoxyribonuclease,protein-coding,-,-,-,exodeoxyribonuclease,20210515,-
1965467,56137338,H1Z30_gp003,H1Z30_gp003,AM1_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137339,H1Z30_gp004,H1Z30_gp004,AM1_004,-,-,-,transglycosylase,protein-coding,-,-,-,transglycosylase,20210515,-
1965467,56137340,H1Z30_gp005,H1Z30_gp005,AM1_005,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210515,-
1965467,56137341,H1Z30_gp006,H1Z30_gp006,AM1_006,-,-,-,transglycosylase,protein-coding,-,-,-,transglycosylase,20200724,-
1965467,56137342,H1Z30_gp007,H1Z30_gp007,AM1_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137343,H1Z30_gp008,H1Z30_gp008,AM1_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965467,56137344,H1Z30_gp009,H1Z30_gp009,AM1_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137345,H1Z30_gp010,H1Z30_gp010,AM1_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137346,H1Z30_gp011,H1Z30_gp011,AM1_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137347,H1Z30_gp012,H1Z30_gp012,AM1_012,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210515,-
1965467,56137348,H1Z30_gp013,H1Z30_gp013,AM1_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137349,H1Z30_gp014,H1Z30_gp014,AM1_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137350,H1Z30_gp015,H1Z30_gp015,AM1_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137351,H1Z30_gp016,H1Z30_gp016,AM1_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137352,H1Z30_gp017,H1Z30_gp017,AM1_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137353,H1Z30_gp018,H1Z30_gp018,AM1_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137354,H1Z30_gp019,H1Z30_gp019,AM1_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137355,H1Z30_gp020,H1Z30_gp020,AM1_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137356,H1Z30_gp021,H1Z30_gp021,AM1_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965467,56137357,H1Z30_gp022,H1Z30_gp022,AM1_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137358,H1Z30_gp023,H1Z30_gp023,AM1_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137359,H1Z30_gp024,H1Z30_gp024,AM1_024,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200724,-
1965467,56137360,H1Z30_gp025,H1Z30_gp025,AM1_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137361,H1Z30_gp026,H1Z30_gp026,AM1_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137362,H1Z30_gp027,H1Z30_gp027,AM1_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965467,56137363,H1Z30_gp028,H1Z30_gp028,AM1_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137364,H1Z30_gp029,H1Z30_gp029,AM1_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137365,H1Z30_gp030,H1Z30_gp030,AM1_030,-,-,-,DNA methylase family protein,protein-coding,-,-,-,DNA methylase family protein,20210515,-
1965467,56137366,H1Z30_gp031,H1Z30_gp031,AM1_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137367,H1Z30_gp032,H1Z30_gp032,AM1_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137368,H1Z30_gp033,H1Z30_gp033,AM1_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137369,H1Z30_gp034,H1Z30_gp034,AM1_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137370,H1Z30_gp035,H1Z30_gp035,AM1_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137371,H1Z30_gp036,H1Z30_gp036,AM1_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137372,H1Z30_gp037,H1Z30_gp037,AM1_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137373,H1Z30_gp038,H1Z30_gp038,AM1_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137374,H1Z30_gp039,H1Z30_gp039,AM1_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137375,H1Z30_gp040,H1Z30_gp040,AM1_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137376,H1Z30_gp041,H1Z30_gp041,AM1_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137377,H1Z30_gp042,H1Z30_gp042,AM1_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137378,H1Z30_gp043,H1Z30_gp043,AM1_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137379,H1Z30_gp044,H1Z30_gp044,AM1_044,-,-,-,LamB/ Ycsf family protein,protein-coding,-,-,-,LamB/ Ycsf family protein,20200724,-
1965467,56137380,H1Z30_gp045,H1Z30_gp045,AM1_045,-,-,-,NUMOD4 motif protein,protein-coding,-,-,-,NUMOD4 motif protein,20210515,-
1965467,56137381,H1Z30_gp046,H1Z30_gp046,AM1_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137382,H1Z30_gp047,H1Z30_gp047,AM1_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965467,56137383,H1Z30_gp048,H1Z30_gp048,AM1_048,-,-,-,Zn-finger protein,protein-coding,-,-,-,Zn-finger protein,20200724,-
1965467,56137384,H1Z30_gp049,H1Z30_gp049,AM1_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137385,H1Z30_gp050,H1Z30_gp050,AM1_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137386,H1Z30_gp051,H1Z30_gp051,AM1_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137387,H1Z30_gp052,H1Z30_gp052,AM1_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137388,H1Z30_gp053,H1Z30_gp053,AM1_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137389,H1Z30_gp054,H1Z30_gp054,AM1_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137390,H1Z30_gp055,H1Z30_gp055,AM1_055,-,-,-,nucleotidase,protein-coding,-,-,-,nucleotidase,20210515,-
1965467,56137391,H1Z30_gp056,H1Z30_gp056,AM1_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137392,H1Z30_gp057,H1Z30_gp057,AM1_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137393,H1Z30_gp058,H1Z30_gp058,AM1_058,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210515,-
1965467,56137394,H1Z30_gp059,H1Z30_gp059,AM1_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137395,H1Z30_gp060,H1Z30_gp060,AM1_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965467,56137396,H1Z30_gp061,H1Z30_gp061,AM1_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137397,H1Z30_gp062,H1Z30_gp062,AM1_062,-,-,-,AAA domain-containing protein,protein-coding,-,-,-,AAA domain-containing protein,20210515,-
1965467,56137398,H1Z30_gp063,H1Z30_gp063,AM1_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137399,H1Z30_gp064,H1Z30_gp064,AM1_064,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210515,-
1965467,56137400,H1Z30_gp065,H1Z30_gp065,AM1_065,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210515,-
1965467,56137401,H1Z30_gp066,H1Z30_gp066,AM1_066,-,-,-,single stranded DNA specific exonuclease,protein-coding,-,-,-,single stranded DNA specific exonuclease,20210515,-
1965467,56137402,H1Z30_gp067,H1Z30_gp067,AM1_067,-,-,-,ssDNA exonuclease,protein-coding,-,-,-,ssDNA exonuclease,20210515,-
1965467,56137403,H1Z30_gp068,H1Z30_gp068,AM1_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137404,H1Z30_gp069,H1Z30_gp069,AM1_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137405,H1Z30_gp070,H1Z30_gp070,AM1_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137406,H1Z30_gp071,H1Z30_gp071,AM1_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137407,H1Z30_gp072,H1Z30_gp072,AM1_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137408,H1Z30_gp073,H1Z30_gp073,AM1_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137409,H1Z30_gp074,H1Z30_gp074,AM1_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137410,H1Z30_gp075,H1Z30_gp075,AM1_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137411,H1Z30_gp076,H1Z30_gp076,AM1_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137412,H1Z30_gp077,H1Z30_gp077,AM1_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137413,H1Z30_gp078,H1Z30_gp078,AM1_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137414,H1Z30_gp079,H1Z30_gp079,AM1_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137415,H1Z30_gp080,H1Z30_gp080,AM1_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137416,H1Z30_gp081,H1Z30_gp081,AM1_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137417,H1Z30_gp082,H1Z30_gp082,AM1_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137418,H1Z30_gp083,H1Z30_gp083,AM1_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137419,H1Z30_gp084,H1Z30_gp084,AM1_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137420,H1Z30_gp085,H1Z30_gp085,AM1_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137421,H1Z30_gp086,H1Z30_gp086,AM1_086,-,-,-,AAA superfamily ATPase,protein-coding,-,-,-,AAA superfamily ATPase,20210515,-
1965467,56137422,H1Z30_gp087,H1Z30_gp087,AM1_087,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210515,-
1965467,56137423,H1Z30_gp088,H1Z30_gp088,AM1_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137424,H1Z30_gp089,H1Z30_gp089,AM1_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137425,H1Z30_gp090,H1Z30_gp090,AM1_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137426,H1Z30_gp091,H1Z30_gp091,AM1_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137427,H1Z30_gp092,H1Z30_gp092,AM1_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137428,H1Z30_gp093,H1Z30_gp093,AM1_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137429,H1Z30_gt001,H1Z30_gt001,AM1_tRNA1,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1965467,56137430,H1Z30_gt002,H1Z30_gt002,AM1_tRNA2,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1965467,56137431,H1Z30_gp001,H1Z30_gp001,AM1_001,-,-,-,integrase,protein-coding,-,-,-,integrase,20210515,-
1965467,56137432,H1Z30_gp176,H1Z30_gp176,AM1_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137433,H1Z30_gp175,H1Z30_gp175,AM1_097,-,-,-,DNA gyrase,protein-coding,-,-,-,DNA gyrase,20210515,-
1965467,56137434,H1Z30_gp174,H1Z30_gp174,AM1_098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
1965467,56137435,H1Z30_gp173,H1Z30_gp173,AM1_099,-,-,-,DNA gyrase,protein-coding,-,-,-,DNA gyrase,20210515,-
1965467,56137436,H1Z30_gp172,H1Z30_gp172,AM1_100,-,-,-,DNA gyrase subunit A-topoisomerase,protein-coding,-,-,-,DNA gyrase subunit A-topoisomerase,20210515,-
1965467,56137437,H1Z30_gp171,H1Z30_gp171,AM1_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137438,H1Z30_gp170,H1Z30_gp170,AM1_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965467,56137439,H1Z30_gp169,H1Z30_gp169,AM1_103,-,-,-,nucleoside-2-deoxyribosyltransferase,protein-coding,-,-,-,nucleoside-2-deoxyribosyltransferase,20210515,-
1965467,56137440,H1Z30_gp168,H1Z30_gp168,AM1_104,-,-,-,nicotinamide mononucleotide transporter,protein-coding,-,-,-,nicotinamide mononucleotide transporter,20210515,-
1965467,56137441,H1Z30_gp167,H1Z30_gp167,AM1_105,-,-,-,anaerobic ribonucleoside triphosphate reductase,protein-coding,-,-,-,anaerobic ribonucleoside triphosphate reductase,20210515,-
1965467,56137442,H1Z30_gp166,H1Z30_gp166,AM1_106,-,-,-,anaerobic ribonucleoside triphosphate reductase,protein-coding,-,-,-,anaerobic ribonucleoside triphosphate reductase,20210515,-
1965467,56137443,H1Z30_gp165,H1Z30_gp165,AM1_107,-,-,-,ribonucleoside triphosphate reductase activator small subunit,protein-coding,-,-,-,ribonucleoside triphosphate reductase activator small subunit,20210515,-
