#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500828,24724229,ACQ64_gp02,ACQ64_gp02,PHL179M00_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500828,24724230,ACQ64_gp03,ACQ64_gp03,PHL179M00_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500828,24724231,ACQ64_gp04,ACQ64_gp04,PHL179M00_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724232,ACQ64_gp05,ACQ64_gp05,PHL179M00_05,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500828,24724233,ACQ64_gp06,ACQ64_gp06,PHL179M00_06,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500828,24724234,ACQ64_gp07,ACQ64_gp07,PHL179M00_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724235,ACQ64_gp08,ACQ64_gp08,PHL179M00_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724236,ACQ64_gp09,ACQ64_gp09,PHL179M00_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724237,ACQ64_gp10,ACQ64_gp10,PHL179M00_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724238,ACQ64_gp11,ACQ64_gp11,PHL179M00_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500828,24724239,ACQ64_gp12,ACQ64_gp12,PHL179M00_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724240,ACQ64_gp13,ACQ64_gp13,PHL179M00_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724241,ACQ64_gp14,ACQ64_gp14,PHL179M00_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500828,24724242,ACQ64_gp15,ACQ64_gp15,PHL179M00_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500828,24724243,ACQ64_gp16,ACQ64_gp16,PHL179M00_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500828,24724244,ACQ64_gp17,ACQ64_gp17,PHL179M00_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724245,ACQ64_gp18,ACQ64_gp18,PHL179M00_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724246,ACQ64_gp19,ACQ64_gp19,PHL179M00_19,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1500828,24724247,ACQ64_gp20,ACQ64_gp20,PHL179M00_20,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500828,24724248,ACQ64_gp21,ACQ64_gp21,PHL179M00_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1500828,24724249,ACQ64_gp22,ACQ64_gp22,PHL179M00_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724250,ACQ64_gp23,ACQ64_gp23,PHL179M00_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1500828,24724251,ACQ64_gp24,ACQ64_gp24,PHL179M00_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724252,ACQ64_gp25,ACQ64_gp25,PHL179M00_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724253,ACQ64_gp26,ACQ64_gp26,PHL179M00_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724254,ACQ64_gp27,ACQ64_gp27,PHL179M00_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724255,ACQ64_gp28,ACQ64_gp28,PHL179M00_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724256,ACQ64_gp29,ACQ64_gp29,PHL179M00_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724257,ACQ64_gp30,ACQ64_gp30,PHL179M00_30,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500828,24724258,ACQ64_gp31,ACQ64_gp31,PHL179M00_31,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500828,24724259,ACQ64_gp32,ACQ64_gp32,PHL179M00_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724260,ACQ64_gp33,ACQ64_gp33,PHL179M00_33,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1500828,24724261,ACQ64_gp34,ACQ64_gp34,PHL179M00_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724262,ACQ64_gp35,ACQ64_gp35,PHL179M00_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724263,ACQ64_gp36,ACQ64_gp36,PHL179M00_36,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1500828,24724264,ACQ64_gp37,ACQ64_gp37,PHL179M00_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724265,ACQ64_gp38,ACQ64_gp38,PHL179M00_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724266,ACQ64_gp39,ACQ64_gp39,PHL179M00_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724267,ACQ64_gp40,ACQ64_gp40,PHL179M00_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724268,ACQ64_gp41,ACQ64_gp41,PHL179M00_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724269,ACQ64_gp42,ACQ64_gp42,PHL179M00_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724270,ACQ64_gp43,ACQ64_gp43,PHL179M00_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724271,ACQ64_gp44,ACQ64_gp44,PHL179M00_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500828,24724272,ACQ64_gp45,ACQ64_gp45,PHL179M00_45,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1500828,24724273,ACQ64_gp01,ACQ64_gp01,PHL179M00_01,-,-,-,putative excinuclease,protein-coding,-,-,-,putative excinuclease,20201221,-
1500828,24936548,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
