#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2283258,62363065,2,JMN88_gp02,SEA_PITA2_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
2283258,62363066,4,JMN88_gp04,SEA_PITA2_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363067,5,JMN88_gp05,SEA_PITA2_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363068,6,JMN88_gt01,SEA_PITA2_6,-,-,-,tRNA,tRNA,-,-,-,-,20210123,-
2283258,62363069,7,JMN88_gp91,SEA_PITA2_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363070,8,JMN88_gp90,SEA_PITA2_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363071,9,JMN88_gp89,SEA_PITA2_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363072,10,JMN88_gp88,SEA_PITA2_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363073,11,JMN88_gp87,SEA_PITA2_11,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2283258,62363074,12,JMN88_gp86,SEA_PITA2_12,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210123,-
2283258,62363075,13,JMN88_gp85,SEA_PITA2_13,-,-,-,terminase,protein-coding,-,-,-,terminase,20210417,-
2283258,62363076,14,JMN88_gp84,SEA_PITA2_14,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2283258,62363077,15,JMN88_gp83,SEA_PITA2_15,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210123,-
2283258,62363078,16,JMN88_gp82,SEA_PITA2_16,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210123,-
2283258,62363079,17,JMN88_gp81,SEA_PITA2_17,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
2283258,62363080,18,JMN88_gp80,SEA_PITA2_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363081,19,JMN88_gp79,SEA_PITA2_19,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210212,-
2283258,62363082,20,JMN88_gp78,SEA_PITA2_20,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210123,-
2283258,62363083,21,JMN88_gp77,SEA_PITA2_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2283258,62363084,22,JMN88_gp76,SEA_PITA2_22,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210123,-
2283258,62363085,23,JMN88_gp75,SEA_PITA2_23,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210123,-
2283258,62363086,25,JMN88_gp73,SEA_PITA2_25,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210417,-
2283258,62363087,26,JMN88_gp72,SEA_PITA2_26,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2283258,62363088,24,JMN88_gp74,SEA_PITA2_24,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210417,-
2283258,62363089,27,JMN88_gp71,SEA_PITA2_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2283258,62363090,28,JMN88_gp70,SEA_PITA2_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363091,29,JMN88_gp69,SEA_PITA2_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2283258,62363092,30,JMN88_gp68,SEA_PITA2_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2283258,62363093,31,JMN88_gp67,SEA_PITA2_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363094,32,JMN88_gp66,SEA_PITA2_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2283258,62363095,33,JMN88_gp65,SEA_PITA2_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2283258,62363096,34,JMN88_gp64,SEA_PITA2_34,-,-,-,D-ala-D-ala carboxypeptidase,protein-coding,-,-,-,D-ala-D-ala carboxypeptidase,20210417,-
2283258,62363097,35,JMN88_gp63,SEA_PITA2_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
