#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2321390,65066016,KMC36_gp002,KMC36_gp002,PYPS2T_002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2321390,65066017,KMC36_gp003,KMC36_gp003,PYPS2T_003,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210607,-
2321390,65066018,KMC36_gp004,KMC36_gp004,PYPS2T_004,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210607,-
2321390,65066019,KMC36_gp005,KMC36_gp005,PYPS2T_005,-,-,-,head portal vertex protein,protein-coding,-,-,-,head portal vertex protein,20210607,-
2321390,65066020,KMC36_gp006,KMC36_gp006,PYPS2T_006,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210607,-
2321390,65066021,KMC36_gp007,KMC36_gp007,PYPS2T_007,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210607,-
2321390,65066022,KMC36_gp008,KMC36_gp008,PYPS2T_008,-,-,-,prohead assembly protease,protein-coding,-,-,-,prohead assembly protease,20210612,-
2321390,65066023,KMC36_gp009,KMC36_gp009,PYPS2T_009,-,-,-,prohead assembly protein,protein-coding,-,-,-,prohead assembly protein,20210607,-
2321390,65066024,KMC36_gp010,KMC36_gp010,PYPS2T_010,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2321390,65066025,KMC36_gp011,KMC36_gp011,PYPS2T_011,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210607,-
2321390,65066026,KMC36_gp012,KMC36_gp012,PYPS2T_012,-,-,-,capsid vertex protein,protein-coding,-,-,-,capsid vertex protein,20210607,-
2321390,65066027,KMC36_gp013,KMC36_gp013,PYPS2T_013,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210607,-
