#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
646413,7944172,st5093phage_2,st5093phage_2,-,-,-,-,DnaC-like protein,protein-coding,-,-,-,DnaC-like protein,20201220,-
646413,7944173,st5093phage_3,st5093phage_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
646413,7944174,st5093phage_4,st5093phage_4,-,-,-,-,putative Erf protein,protein-coding,-,-,-,putative Erf protein,20201220,-
646413,7944175,st5093phage_5,st5093phage_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
646413,7944176,st5093phage_6,st5093phage_6,-,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20201220,-
646413,7944177,st5093phage_7,st5093phage_7,-,-,-,-,endodeoxyribonuclease,protein-coding,-,-,-,endodeoxyribonuclease,20201220,-
646413,7944178,st5093phage_8,st5093phage_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
646413,7944179,st5093phage_9,st5093phage_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
646413,7944180,st5093phage_10,st5093phage_10,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201220,-
646413,7944181,st5093phage_11,st5093phage_11,-,-,-,-,putative DNA methylase,protein-coding,-,-,-,putative DNA methylase,20201220,-
646413,7944182,st5093phage_12,st5093phage_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
646413,7944183,st5093phage_13,st5093phage_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
646413,7944184,st5093phage_14,st5093phage_14,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210417,-
646413,7944185,st5093phage_15,st5093phage_15,-,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20201220,-
646413,7944186,st5093phage_16,st5093phage_16,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201220,-
646413,7944187,st5093phage_17,st5093phage_17,-,-,-,-,putative minor capsid protein,protein-coding,-,-,-,putative minor capsid protein,20201220,-
646413,7944188,st5093phage_18,st5093phage_18,-,-,-,-,putative scaffolding protein,protein-coding,-,-,-,putative scaffolding protein,20210417,-
646413,7944189,st5093phage_19,st5093phage_19,-,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20210417,-
646413,7944190,st5093phage_20,st5093phage_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
646413,7944191,st5093phage_21,st5093phage_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
646413,7944192,st5093phage_22,st5093phage_22,-,-,-,-,putative minor capsid protein,protein-coding,-,-,-,putative minor capsid protein,20201220,-
646413,7944193,st5093phage_23,st5093phage_23,-,-,-,-,putative minor capsid protein,protein-coding,-,-,-,putative minor capsid protein,20210417,-
646413,7944194,st5093phage_24,st5093phage_24,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201220,-
646413,7944195,st5093phage_25,st5093phage_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
646413,7944196,st5093phage_26,st5093phage_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
646413,7944197,st5093phage_27,st5093phage_27,-,-,-,-,putative antireceptor protein,protein-coding,-,-,-,putative antireceptor protein,20201220,-
646413,7944198,st5093phage_28,st5093phage_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
646413,7944199,st5093phage_29,st5093phage_29,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201220,-
646413,7944200,st5093phage_30,st5093phage_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
646413,7944201,st5093phage_31,st5093phage_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
646413,7944202,st5093phage_32,st5093phage_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
646413,7944203,st5093phage_33,st5093phage_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
646413,7944204,st5093phage_34,st5093phage_34,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201220,-
646413,7944205,st5093phage_35,st5093phage_35,-,-,-,-,putative lysin,protein-coding,-,-,-,putative lysin,20201220,-
646413,7944206,st5093phage_36,st5093phage_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
646413,7944207,st5093phage_37,st5093phage_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
646413,7944208,st5093phage_38,st5093phage_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
646413,7944209,st5093phage_39,st5093phage_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
646413,7944210,st5093phage_40,st5093phage_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
646413,7944211,st5093phage_41,st5093phage_41,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
646413,7944212,st5093phage_42,st5093phage_42,-,-,-,-,cI-like repressor metal proteinase motif protein,protein-coding,-,-,-,cI-like repressor metal proteinase motif protein,20201220,-
646413,7944213,st5093phage_43,st5093phage_43,-,-,-,-,cI-like repressor,protein-coding,-,-,-,cI-like repressor,20201220,-
