#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1887643,29066130,2,BIZ76_gp02,SEA_CAPTAINKIRK2_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201010,-
1887643,29066131,3,BIZ76_gp03,SEA_CAPTAINKIRK2_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201010,-
1887643,29066132,4,BIZ76_gp04,SEA_CAPTAINKIRK2_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210424,-
1887643,29066133,5,BIZ76_gp05,SEA_CAPTAINKIRK2_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1887643,29066134,6,BIZ76_gp06,SEA_CAPTAINKIRK2_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1887643,29066135,7,BIZ76_gp07,SEA_CAPTAINKIRK2_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066136,8,BIZ76_gp08,SEA_CAPTAINKIRK2_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1887643,29066137,9,BIZ76_gp09,SEA_CAPTAINKIRK2_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200927,-
1887643,29066138,10,BIZ76_gp10,SEA_CAPTAINKIRK2_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066139,11,BIZ76_gp11,SEA_CAPTAINKIRK2_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066140,12,BIZ76_gp12,SEA_CAPTAINKIRK2_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066141,13,BIZ76_gp13,SEA_CAPTAINKIRK2_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200927,-
1887643,29066142,14,BIZ76_gp14,SEA_CAPTAINKIRK2_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1887643,29066143,16,BIZ76_gp15,SEA_CAPTAINKIRK2_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1887643,29066144,17,BIZ76_gp17,SEA_CAPTAINKIRK2_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201010,-
1887643,29066145,15,BIZ76_gp16,SEA_CAPTAINKIRK2_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1887643,29066146,18,BIZ76_gp18,SEA_CAPTAINKIRK2_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1887643,29066147,19,BIZ76_gp19,SEA_CAPTAINKIRK2_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1887643,29066148,20,BIZ76_gp20,SEA_CAPTAINKIRK2_20,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",protein-coding,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",20200927,-
1887643,29066149,21,BIZ76_gp21,SEA_CAPTAINKIRK2_21,-,-,-,"lysin A, glycosyl hydrolase domain",protein-coding,-,-,-,"lysin A, glycosyl hydrolase domain",20200927,-
1887643,29066150,22,BIZ76_gp22,SEA_CAPTAINKIRK2_22,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1887643,29066151,23,BIZ76_gp23,SEA_CAPTAINKIRK2_23,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1887643,29066152,24,BIZ76_gp24,SEA_CAPTAINKIRK2_24,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1887643,29066153,25,BIZ76_gp25,SEA_CAPTAINKIRK2_25,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201010,-
1887643,29066154,26,BIZ76_gp26,SEA_CAPTAINKIRK2_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066155,27,BIZ76_gp27,SEA_CAPTAINKIRK2_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1887643,29066156,28,BIZ76_gp28,SEA_CAPTAINKIRK2_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1887643,29066157,29,BIZ76_gp29,SEA_CAPTAINKIRK2_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066158,30,BIZ76_gp30,SEA_CAPTAINKIRK2_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201010,-
1887643,29066159,31,BIZ76_gp31,SEA_CAPTAINKIRK2_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066160,32,BIZ76_gp32,SEA_CAPTAINKIRK2_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066161,33,BIZ76_gp33,SEA_CAPTAINKIRK2_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066162,34,BIZ76_gp34,SEA_CAPTAINKIRK2_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066163,35,BIZ76_gp35,SEA_CAPTAINKIRK2_35,-,-,-,RelB-like antitoxin,protein-coding,-,-,-,RelB-like antitoxin,20210424,-
1887643,29066164,36,BIZ76_gp36,SEA_CAPTAINKIRK2_36,-,-,-,RelE-like toxin,protein-coding,-,-,-,RelE-like toxin,20200927,-
1887643,29066165,37,BIZ76_gp37,SEA_CAPTAINKIRK2_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066166,38,BIZ76_gp38,SEA_CAPTAINKIRK2_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066167,39,BIZ76_gp39,SEA_CAPTAINKIRK2_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066168,40,BIZ76_gp40,SEA_CAPTAINKIRK2_40,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20200927,-
1887643,29066169,41,BIZ76_gp41,SEA_CAPTAINKIRK2_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066170,42,BIZ76_gp42,SEA_CAPTAINKIRK2_42,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200927,-
1887643,29066171,43,BIZ76_gp43,SEA_CAPTAINKIRK2_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066172,44,BIZ76_gp44,SEA_CAPTAINKIRK2_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066173,45,BIZ76_gp45,SEA_CAPTAINKIRK2_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066174,46,BIZ76_gp46,SEA_CAPTAINKIRK2_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066175,47,BIZ76_gp47,SEA_CAPTAINKIRK2_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066176,48,BIZ76_gp48,SEA_CAPTAINKIRK2_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066177,49,BIZ76_gp49,SEA_CAPTAINKIRK2_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066178,50,BIZ76_gp50,SEA_CAPTAINKIRK2_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066179,51,BIZ76_gp51,SEA_CAPTAINKIRK2_51,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210424,-
1887643,29066180,52,BIZ76_gp52,SEA_CAPTAINKIRK2_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887643,29066181,53,BIZ76_gp53,SEA_CAPTAINKIRK2_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
