#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163591,60327428,2,I5H27_gp002,SEA_DILLTECH15_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2163591,60327429,3,I5H27_gp003,SEA_DILLTECH15_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2163591,60327430,4,I5H27_gp004,SEA_DILLTECH15_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2163591,60327431,5,I5H27_gp005,SEA_DILLTECH15_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2163591,60327432,6,I5H27_gp006,SEA_DILLTECH15_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2163591,60327433,7,I5H27_gp007,SEA_DILLTECH15_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2163591,60327434,8,I5H27_gp008,SEA_DILLTECH15_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2163591,60327435,9,I5H27_gp009,SEA_DILLTECH15_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163591,60327436,10,I5H27_gp010,SEA_DILLTECH15_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2163591,60327437,11,I5H27_gp011,SEA_DILLTECH15_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2163591,60327438,13,I5H27_gp012,SEA_DILLTECH15_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2163591,60327439,14,I5H27_gp014,SEA_DILLTECH15_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2163591,60327440,12,I5H27_gp013,SEA_DILLTECH15_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2163591,60327441,15,I5H27_gp015,SEA_DILLTECH15_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2163591,60327442,16,I5H27_gp016,SEA_DILLTECH15_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2163591,60327443,17,I5H27_gp017,SEA_DILLTECH15_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2163591,60327444,18,I5H27_gp018,SEA_DILLTECH15_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2163591,60327445,19,I5H27_gp019,SEA_DILLTECH15_19,-,-,-,D-ala-D-ala carboxypeptidase,protein-coding,-,-,-,D-ala-D-ala carboxypeptidase,20210424,-
2163591,60327446,20,I5H27_gp020,SEA_DILLTECH15_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2163591,60327447,21,I5H27_gp021,SEA_DILLTECH15_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327448,22,I5H27_gp022,SEA_DILLTECH15_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327449,23,I5H27_gp023,SEA_DILLTECH15_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327450,24,I5H27_gp024,SEA_DILLTECH15_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327451,25,I5H27_gp025,SEA_DILLTECH15_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327452,26,I5H27_gp026,SEA_DILLTECH15_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327453,27,I5H27_gp027,SEA_DILLTECH15_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327454,28,I5H27_gp028,SEA_DILLTECH15_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327455,29,I5H27_gp029,SEA_DILLTECH15_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327456,30,I5H27_gp030,SEA_DILLTECH15_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2163591,60327457,31,I5H27_gp031,SEA_DILLTECH15_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2163591,60327458,32,I5H27_gp032,SEA_DILLTECH15_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2163591,60327459,33,I5H27_gp033,SEA_DILLTECH15_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163591,60327460,34,I5H27_gp034,SEA_DILLTECH15_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327461,35,I5H27_gp035,SEA_DILLTECH15_35,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20210424,-
2163591,60327462,36,I5H27_gp036,SEA_DILLTECH15_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327463,37,I5H27_gp037,SEA_DILLTECH15_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327464,38,I5H27_gp038,SEA_DILLTECH15_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2163591,60327465,39,I5H27_gp039,SEA_DILLTECH15_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
