#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2601680,55621193,HWC58_gp002,HWC58_gp002,CPT_Moby_002,-,-,-,terminase,protein-coding,-,-,-,terminase,20200912,-
2601680,55621194,HWC58_gp003,HWC58_gp003,CPT_Moby_003,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200912,-
2601680,55621195,HWC58_gp004,HWC58_gp004,CPT_Moby_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621196,HWC58_gp005,HWC58_gp005,CPT_Moby_005,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200919,-
2601680,55621197,HWC58_gp006,HWC58_gp006,CPT_Moby_006,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2601680,55621198,HWC58_gp007,HWC58_gp007,CPT_Moby_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621199,HWC58_gp008,HWC58_gp008,CPT_Moby_008,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210424,-
2601680,55621200,HWC58_gp009,HWC58_gp009,CPT_Moby_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621201,HWC58_gp010,HWC58_gp010,CPT_Moby_010,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2601680,55621202,HWC58_gp011,HWC58_gp011,CPT_Moby_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621203,HWC58_gp012,HWC58_gp012,CPT_Moby_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621204,HWC58_gp013,HWC58_gp013,CPT_Moby_013,-,-,-,pyrimidine dimer DNA glycosylase,protein-coding,-,-,-,pyrimidine dimer DNA glycosylase,20210424,-
2601680,55621205,HWC58_gp014,HWC58_gp014,CPT_Moby_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621206,HWC58_gp015,HWC58_gp015,CPT_Moby_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621207,HWC58_gp016,HWC58_gp016,CPT_Moby_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621208,HWC58_gp017,HWC58_gp017,CPT_Moby_017,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20210424,-
2601680,55621209,HWC58_gp018,HWC58_gp018,CPT_Moby_018,-,-,-,endolysin N-acetylmuramidase,protein-coding,-,-,-,endolysin N-acetylmuramidase,20210424,-
2601680,55621210,HWC58_gp019,HWC58_gp019,CPT_Moby_019,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200912,-
2601680,55621211,HWC58_gp020,HWC58_gp020,CPT_Moby_020,-,-,-,UvsY-like recombination protein,protein-coding,-,-,-,UvsY-like recombination protein,20210424,-
2601680,55621212,HWC58_gp021,HWC58_gp021,CPT_Moby_021,-,-,-,UvsW-like DNA helicase,protein-coding,-,-,-,UvsW-like DNA helicase,20200912,-
2601680,55621213,HWC58_gp022,HWC58_gp022,CPT_Moby_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621214,HWC58_gp023,HWC58_gp023,CPT_Moby_023,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20200912,-
2601680,55621215,HWC58_gp024,HWC58_gp024,CPT_Moby_024,-,-,-,exonuclease subunit 1,protein-coding,-,-,-,exonuclease subunit 1,20200912,-
2601680,55621216,HWC58_gp025,HWC58_gp025,CPT_Moby_025,-,-,-,exonuclease subunit 2,protein-coding,-,-,-,exonuclease subunit 2,20200912,-
2601680,55621217,HWC58_gp026,HWC58_gp026,CPT_Moby_026,-,-,-,DNA polymerase sliding clamp,protein-coding,-,-,-,DNA polymerase sliding clamp,20200912,-
2601680,55621218,HWC58_gp027,HWC58_gp027,CPT_Moby_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2601680,55621219,HWC58_gp028,HWC58_gp028,CPT_Moby_028,-,-,-,sliding clamp loader subunit,protein-coding,-,-,-,sliding clamp loader subunit,20200912,-
