#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1540093,24608758,CPT_Pookie2,CPT_Pookie2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1540093,24608759,CPT_Pookie3,CPT_Pookie3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608760,CPT_Pookie4,CPT_Pookie4,-,-,-,-,head-to-tail joining protein,protein-coding,-,-,-,head-to-tail joining protein,20201221,-
1540093,24608761,CPT_Pookie5,CPT_Pookie5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608762,CPT_Pookie6,CPT_Pookie6,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
1540093,24608763,CPT_Pookie7,CPT_Pookie7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608764,CPT_Pookie8,CPT_Pookie8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608765,CPT_Pookie9,CPT_Pookie9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608766,CPT_Pookie10,CPT_Pookie10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608767,CPT_Pookie11,CPT_Pookie11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608768,CPT_Pookie12,CPT_Pookie12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608769,CPT_Pookie13,CPT_Pookie13,-,-,-,-,tail spike protein,protein-coding,-,-,-,tail spike protein,20201221,-
1540093,24608770,CPT_Pookie14,CPT_Pookie14,-,-,-,-,carboxypeptidase A,protein-coding,-,-,-,carboxypeptidase A,20201221,-
1540093,24608771,CPT_Pookie15,CPT_Pookie15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608772,CPT_Pookie16,CPT_Pookie16,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
1540093,24608773,CPT_Pookie17,CPT_Pookie17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608774,CPT_Pookie18,CPT_Pookie18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608775,CPT_Pookie19,CPT_Pookie19,-,-,-,-,tail lysin,protein-coding,-,-,-,tail lysin,20201221,-
1540093,24608776,CPT_Pookie20,CPT_Pookie20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608777,CPT_Pookie21,CPT_Pookie21,-,-,-,-,antiholin,protein-coding,-,-,-,antiholin,20201221,-
1540093,24608778,CPT_Pookie22,CPT_Pookie22,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1540093,24608779,CPT_Pookie23,CPT_Pookie23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608780,CPT_Pookie24,CPT_Pookie24,-,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20201221,-
1540093,24608781,CPT_Pookie25,CPT_Pookie25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608782,CPT_Pookie26,CPT_Pookie26,-,-,-,-,FtsK/SpoIIIE protein,protein-coding,-,-,-,FtsK/SpoIIIE protein,20201221,-
1540093,24608783,CPT_Pookie27,CPT_Pookie27,-,-,-,-,plasmid replication/relaxation protein,protein-coding,-,-,-,plasmid replication/relaxation protein,20201221,-
1540093,24608784,CPT_Pookie28,CPT_Pookie28,-,-,-,-,transcriptional repressor,protein-coding,-,-,-,transcriptional repressor,20201221,-
1540093,24608785,CPT_Pookie29,CPT_Pookie29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608786,CPT_Pookie30,CPT_Pookie30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608787,CPT_Pookie31,CPT_Pookie31,-,-,-,-,nucleoside triphosphate hydrolase,protein-coding,-,-,-,nucleoside triphosphate hydrolase,20201221,-
1540093,24608788,CPT_Pookie32,CPT_Pookie32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608789,CPT_Pookie33,CPT_Pookie33,-,-,-,-,ssDNA-annealing protein,protein-coding,-,-,-,ssDNA-annealing protein,20201221,-
1540093,24608790,CPT_Pookie34,CPT_Pookie34,-,-,-,-,metal-dependent hydrolase,protein-coding,-,-,-,metal-dependent hydrolase,20201221,-
1540093,24608791,CPT_Pookie35,CPT_Pookie35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608792,CPT_Pookie36,CPT_Pookie36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608793,CPT_Pookie37,CPT_Pookie37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608794,CPT_Pookie38,CPT_Pookie38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608795,CPT_Pookie39,CPT_Pookie39,-,-,-,-,DnaD/DnaB replication protein,protein-coding,-,-,-,DnaD/DnaB replication protein,20201221,-
1540093,24608796,CPT_Pookie40,CPT_Pookie40,-,-,-,-,DNA replication protein DnaC,protein-coding,-,-,-,DNA replication protein DnaC,20201221,-
1540093,24608797,CPT_Pookie41,CPT_Pookie41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608798,CPT_Pookie42,CPT_Pookie42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608799,CPT_Pookie43,CPT_Pookie43,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201221,-
1540093,24608800,CPT_Pookie44,CPT_Pookie44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608801,CPT_Pookie45,CPT_Pookie45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608802,CPT_Pookie46,CPT_Pookie46,-,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20201221,-
1540093,24608803,CPT_Pookie47,CPT_Pookie47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608804,CPT_Pookie48,CPT_Pookie48,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20201221,-
1540093,24608805,CPT_Pookie49,CPT_Pookie49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608806,CPT_Pookie50,CPT_Pookie50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540093,24608807,CPT_Pookie51,CPT_Pookie51,-,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20201221,-
1540093,24608808,CPT_Pookie52,CPT_Pookie52,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20201221,-
1540093,24608809,CPT_Pookie1,CPT_Pookie1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1540093,24936578,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
