#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1718278,29126233,BJD47_gp02,BJD47_gp02,BiPBO1_02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1718278,29126234,BJD47_gp03,BJD47_gp03,BiPBO1_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1718278,29126235,BJD47_gp04,BJD47_gp04,BiPBO1_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126236,BJD47_gp05,BJD47_gp05,BiPBO1_05,-,-,-,Clp protease ClpP,protein-coding,-,-,-,Clp protease ClpP,20201221,-
1718278,29126237,BJD47_gp06,BJD47_gp06,BiPBO1_06,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
1718278,29126238,BJD47_gp07,BJD47_gp07,BiPBO1_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126239,BJD47_gp08,BJD47_gp08,BiPBO1_08,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20201221,-
1718278,29126240,BJD47_gp09,BJD47_gp09,BiPBO1_09,-,-,-,head closure protein,protein-coding,-,-,-,head closure protein,20201221,-
1718278,29126241,BJD47_gp10,BJD47_gp10,BiPBO1_10,-,-,-,HK97 gp10 familygprotein,protein-coding,-,-,-,HK97 gp10 familygprotein,20201221,-
1718278,29126242,BJD47_gp11,BJD47_gp11,BiPBO1_11,-,-,-,DUF3168 domain-containing protein,protein-coding,-,-,-,DUF3168 domain-containing protein,20201221,-
1718278,29126243,BJD47_gp12,BJD47_gp12,BiPBO1_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1718278,29126244,BJD47_gp13,BJD47_gp13,BiPBO1_13,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1718278,29126245,BJD47_gp14,BJD47_gp14,BiPBO1_14,-,-,-,gene transfer agent family protein,protein-coding,-,-,-,gene transfer agent family protein,20201221,-
1718278,29126246,BJD47_gp15,BJD47_gp15,BiPBO1_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126247,BJD47_gp16,BJD47_gp16,BiPBO1_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1718278,29126248,BJD47_gp17,BJD47_gp17,BiPBO1_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126249,BJD47_gp18,BJD47_gp18,BiPBO1_18,-,-,-,transcription regulator,protein-coding,-,-,-,transcription regulator,20200629,-
1718278,29126250,BJD47_gp19,BJD47_gp19,BiPBO1_19,-,-,-,putative addiction module antidote protein,protein-coding,-,-,-,putative addiction module antidote protein,20210417,-
1718278,29126251,BJD47_gp20,BJD47_gp20,BiPBO1_20,-,-,-,type II toxin-antitoxin system RelE/ParE family toxin,protein-coding,-,-,-,type II toxin-antitoxin system RelE/ParE family toxin,20201221,-
1718278,29126252,BJD47_gp21,BJD47_gp21,BiPBO1_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126253,BJD47_gp22,BJD47_gp22,BiPBO1_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126254,BJD47_gp23,BJD47_gp23,BiPBO1_23,-,-,-,KilA-N domain-containing protein,protein-coding,-,-,-,KilA-N domain-containing protein,20201221,-
1718278,29126255,BJD47_gp24,BJD47_gp24,BiPBO1_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126256,BJD47_gp25,BJD47_gp25,BiPBO1_25,-,-,-,twin-arginine translocation signal domain-containing protein,protein-coding,-,-,-,twin-arginine translocation signal domain-containing protein,20201221,-
1718278,29126257,BJD47_gp26,BJD47_gp26,BiPBO1_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718278,29126258,BJD47_gp27,BJD47_gp27,BiPBO1_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
