#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1177632,13827127,SSU5_002,SSU5_002,-,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20200629,-
1177632,13827128,SSU5_003,SSU5_003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827129,SSU5_004,SSU5_004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827130,SSU5_005,SSU5_005,-,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20210212,-
1177632,13827131,SSU5_006,SSU5_006,-,-,-,-,putative Ig-like domain-containing protein,protein-coding,-,-,-,putative Ig-like domain-containing protein,20200629,-
1177632,13827132,SSU5_007,SSU5_007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827133,SSU5_008,SSU5_008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827134,SSU5_009,SSU5_009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827135,SSU5_010,SSU5_010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827136,SSU5_011,SSU5_011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1177632,13827137,SSU5_012,SSU5_012,-,-,-,-,putative Ig-like domain-containing protein,protein-coding,-,-,-,putative Ig-like domain-containing protein,20200629,-
1177632,13827138,SSU5_013,SSU5_013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827139,SSU5_014,SSU5_014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827140,SSU5_015,SSU5_015,-,-,-,-,putative tail tape measure protein,protein-coding,-,-,-,putative tail tape measure protein,20200629,-
1177632,13827141,SSU5_016,SSU5_016,-,-,-,-,putative minor tail protein M,protein-coding,-,-,-,putative minor tail protein M,20200629,-
1177632,13827142,SSU5_017,SSU5_017,-,-,-,-,putative minor tail protein L,protein-coding,-,-,-,putative minor tail protein L,20200629,-
1177632,13827143,SSU5_018,SSU5_018,-,-,-,-,putative phage tail protein,protein-coding,-,-,-,putative phage tail protein,20200629,-
1177632,13827144,SSU5_019,SSU5_019,-,-,-,-,putative phage tail protein,protein-coding,-,-,-,putative phage tail protein,20200629,-
1177632,13827145,SSU5_020,SSU5_020,-,-,-,-,putative phage tail protein,protein-coding,-,-,-,putative phage tail protein,20200629,-
1177632,13827146,SSU5_021,SSU5_021,-,-,-,-,putative phage tail fiber protein,protein-coding,-,-,-,putative phage tail fiber protein,20200629,-
1177632,13827147,SSU5_022,SSU5_022,-,-,-,-,putative receptor-recognising phage tail fiber adhesin,protein-coding,-,-,-,putative receptor-recognising phage tail fiber adhesin,20200629,-
1177632,13827148,SSU5_023,SSU5_023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827149,SSU5_024,SSU5_024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827150,SSU5_025,SSU5_025,-,-,-,-,putative phage superinfection exclusion protein Cor-like protein,protein-coding,-,-,-,putative phage superinfection exclusion protein Cor-like protein,20210123,-
1177632,13827151,SSU5_026,SSU5_026,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200629,-
1177632,13827152,SSU5_027,SSU5_027,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20200912,-
1177632,13827153,SSU5_028,SSU5_028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827154,SSU5_029,SSU5_029,-,-,-,-,putative Rz1 protein,protein-coding,-,-,-,putative Rz1 protein,20200629,-
1177632,13827155,SSU5_030,SSU5_030,-,-,-,-,putative Rz1 protein,protein-coding,-,-,-,putative Rz1 protein,20200629,-
1177632,13827156,SSU5_031,SSU5_031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827157,SSU5_032,SSU5_032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827158,SSU5_033,SSU5_033,-,-,-,-,putative ParA family protein,protein-coding,-,-,-,putative ParA family protein,20200629,-
1177632,13827159,SSU5_034,SSU5_034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827160,SSU5_035,SSU5_035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827161,SSU5_036,SSU5_036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827162,SSU5_037,SSU5_037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827163,SSU5_038,SSU5_038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827164,SSU5_039,SSU5_039,-,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20200629,-
1177632,13827165,SSU5_040,SSU5_040,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20210417,-
1177632,13827166,SSU5_041,SSU5_041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827167,SSU5_042,SSU5_042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827168,SSU5_043,SSU5_043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827169,SSU5_044,SSU5_044,-,-,-,-,putative DNA ligase,protein-coding,-,-,-,putative DNA ligase,20200629,-
1177632,13827170,SSU5_045,SSU5_045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1177632,13827171,SSU5_046,SSU5_046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
