#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2762413,65127738,2,KNV17_gp02,SEA_PARIES_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210608,-
2762413,65127739,3,KNV17_gp03,SEA_PARIES_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127740,4,KNV17_gp04,SEA_PARIES_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127741,5,KNV17_gp05,SEA_PARIES_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127742,6,KNV17_gp06,SEA_PARIES_6,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210608,-
2762413,65127743,7,KNV17_gp07,SEA_PARIES_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127744,8,KNV17_gp08,SEA_PARIES_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127745,9,KNV17_gp09,SEA_PARIES_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127746,10,KNV17_gp10,SEA_PARIES_10,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210608,-
2762413,65127747,11,KNV17_gp11,SEA_PARIES_11,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210608,-
2762413,65127748,12,KNV17_gp12,SEA_PARIES_12,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210608,-
2762413,65127749,13,KNV17_gp13,SEA_PARIES_13,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210608,-
2762413,65127750,14,KNV17_gp14,SEA_PARIES_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127751,15,KNV17_gp15,SEA_PARIES_15,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210608,-
2762413,65127752,16,KNV17_gp16,SEA_PARIES_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127753,17,KNV17_gp17,SEA_PARIES_17,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210608,-
2762413,65127754,18,KNV17_gp18,SEA_PARIES_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127755,19,KNV17_gp19,SEA_PARIES_19,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210608,-
2762413,65127756,20,KNV17_gp20,SEA_PARIES_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127757,21,KNV17_gp21,SEA_PARIES_21,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2762413,65127758,22,KNV17_gp22,SEA_PARIES_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762413,65127759,23,KNV17_gp23,SEA_PARIES_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
