#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1698252,26641243,AVV09_gp02,AVV09_gp02,SEA_BROWNCNA_2,-,-,-,oxidoreductase,protein-coding,-,-,-,oxidoreductase,20200927,-
1698252,26641244,AVV09_gp03,AVV09_gp03,SEA_BROWNCNA_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641245,AVV09_gp04,AVV09_gp04,SEA_BROWNCNA_4,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20200927,-
1698252,26641246,AVV09_gp05,AVV09_gp05,SEA_BROWNCNA_5,-,-,-,terminase,protein-coding,-,-,-,terminase,20200927,-
1698252,26641247,AVV09_gp06,AVV09_gp06,SEA_BROWNCNA_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641248,AVV09_gp07,AVV09_gp07,SEA_BROWNCNA_7,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20200927,-
1698252,26641249,AVV09_gp08,AVV09_gp08,SEA_BROWNCNA_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641250,AVV09_gp09,AVV09_gp09,SEA_BROWNCNA_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641251,AVV09_gp10,AVV09_gp10,SEA_BROWNCNA_10,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1698252,26641252,AVV09_gp11,AVV09_gp11,SEA_BROWNCNA_11,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20210406,-
1698252,26641253,AVV09_gp12,AVV09_gp12,SEA_BROWNCNA_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641254,AVV09_gp13,AVV09_gp13,SEA_BROWNCNA_13,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
1698252,26641255,AVV09_gp14,AVV09_gp14,SEA_BROWNCNA_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641256,AVV09_gp15,AVV09_gp15,SEA_BROWNCNA_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641257,AVV09_gp16,AVV09_gp16,SEA_BROWNCNA_16,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1698252,26641258,AVV09_gp17,AVV09_gp17,SEA_BROWNCNA_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641259,AVV09_gp18,AVV09_gp18,SEA_BROWNCNA_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641260,AVV09_gp19,AVV09_gp19,SEA_BROWNCNA_19,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1698252,26641261,AVV09_gp20,AVV09_gp20,SEA_BROWNCNA_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641262,AVV09_gp21,AVV09_gp21,SEA_BROWNCNA_21,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1698252,26641263,AVV09_gp22,AVV09_gp22,SEA_BROWNCNA_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641264,AVV09_gp23,AVV09_gp23,SEA_BROWNCNA_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641265,AVV09_gp24,AVV09_gp24,SEA_BROWNCNA_24,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1698252,26641266,AVV09_gp25,AVV09_gp25,SEA_BROWNCNA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641267,AVV09_gp26,AVV09_gp26,SEA_BROWNCNA_26,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1698252,26641268,AVV09_gp27,AVV09_gp27,SEA_BROWNCNA_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1698252,26641269,AVV09_gp28,AVV09_gp28,SEA_BROWNCNA_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1698252,26641270,AVV09_gp29,AVV09_gp29,SEA_BROWNCNA_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1698252,26641271,AVV09_gp30,AVV09_gp30,SEA_BROWNCNA_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1698252,26641272,AVV09_gp31,AVV09_gp31,SEA_BROWNCNA_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1698252,26641273,AVV09_gp32,AVV09_gp32,SEA_BROWNCNA_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641274,AVV09_gp33,AVV09_gp33,SEA_BROWNCNA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641275,AVV09_gp34,AVV09_gp34,SEA_BROWNCNA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641276,AVV09_gp35,AVV09_gp35,SEA_BROWNCNA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641277,AVV09_gp36,AVV09_gp36,SEA_BROWNCNA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641278,AVV09_gp37,AVV09_gp37,SEA_BROWNCNA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641279,AVV09_gp38,AVV09_gp38,SEA_BROWNCNA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641280,AVV09_gp39,AVV09_gp39,SEA_BROWNCNA_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641281,AVV09_gp40,AVV09_gp40,SEA_BROWNCNA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641282,AVV09_gp41,AVV09_gp41,SEA_BROWNCNA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641283,AVV09_gp42,AVV09_gp42,SEA_BROWNCNA_42,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1698252,26641284,AVV09_gp43,AVV09_gp43,SEA_BROWNCNA_43,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1698252,26641285,AVV09_gp44,AVV09_gp44,SEA_BROWNCNA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641286,AVV09_gp45,AVV09_gp45,SEA_BROWNCNA_45,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1698252,26641287,AVV09_gp46,AVV09_gp46,SEA_BROWNCNA_46,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1698252,26641288,AVV09_gp47,AVV09_gp47,SEA_BROWNCNA_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641289,AVV09_gp48,AVV09_gp48,SEA_BROWNCNA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641290,AVV09_gp49,AVV09_gp49,SEA_BROWNCNA_49,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200927,-
1698252,26641291,AVV09_gp50,AVV09_gp50,SEA_BROWNCNA_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641292,AVV09_gp51,AVV09_gp51,SEA_BROWNCNA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641293,AVV09_gp52,AVV09_gp52,SEA_BROWNCNA_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641294,AVV09_gp53,AVV09_gp53,SEA_BROWNCNA_53,-,-,-,DNA primase/polymerase/helicase,protein-coding,-,-,-,DNA primase/polymerase/helicase,20200927,-
1698252,26641295,AVV09_gp54,AVV09_gp54,SEA_BROWNCNA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698252,26641296,AVV09_gp55,AVV09_gp55,SEA_BROWNCNA_55,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200927,-
