#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1983413,56238918,H3011_gp02,H3011_gp02,SERPOUNCE_2,-,-,-,nucleotide kinase,protein-coding,-,-,-,nucleotide kinase,20210424,-
1983413,56238919,H3011_gp03,H3011_gp03,SERPOUNCE_3,-,-,-,nucleotide pyrophosphohydrolase,protein-coding,-,-,-,nucleotide pyrophosphohydrolase,20210427,-
1983413,56238920,H3011_gp04,H3011_gp04,SERPOUNCE_4,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210424,-
1983413,56238921,H3011_gp05,H3011_gp05,SERPOUNCE_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983413,56238922,H3011_gp06,H3011_gp06,SERPOUNCE_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983413,56238923,H3011_gp07,H3011_gp07,SERPOUNCE_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983413,56238924,H3011_gp08,H3011_gp08,SERPOUNCE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983413,56238925,H3011_gp09,H3011_gp09,SERPOUNCE_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983413,56238926,H3011_gp10,H3011_gp10,SERPOUNCE_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983413,56238927,H3011_gp11,H3011_gp11,SERPOUNCE_11,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201221,-
1983413,56238928,H3011_gp12,H3011_gp12,SERPOUNCE_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983413,56238929,H3011_gp13,H3011_gp13,SERPOUNCE_13,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210428,-
1983413,56238930,H3011_gp14,H3011_gp14,SERPOUNCE_14,-,-,-,terminal protein,protein-coding,-,-,-,terminal protein,20210425,-
1983413,56238931,H3011_gp15,H3011_gp15,SERPOUNCE_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983413,56238932,H3011_gp16,H3011_gp16,SERPOUNCE_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983413,56238933,H3011_gp17,H3011_gp17,SERPOUNCE_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983413,56238934,H3011_gp18,H3011_gp18,SERPOUNCE_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983413,56238935,H3011_gp19,H3011_gp19,SERPOUNCE_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983413,56238936,H3011_gp20,H3011_gp20,SERPOUNCE_20,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210424,-
1983413,56238937,H3011_gp21,H3011_gp21,SERPOUNCE_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983413,56238938,H3011_gp22,H3011_gp22,SERPOUNCE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983413,56238939,H3011_gp23,H3011_gp23,SERPOUNCE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983413,56238940,H3011_gp24,H3011_gp24,SERPOUNCE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983413,56238941,H3011_gp25,H3011_gp25,SERPOUNCE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983413,56238942,H3011_gp26,H3011_gp26,SERPOUNCE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1983413,56238943,H3011_gp27,H3011_gp27,SERPOUNCE_27,-,-,-,morphogenesis protein,protein-coding,-,-,-,morphogenesis protein,20201221,-
1983413,56238944,H3011_gp28,H3011_gp28,SERPOUNCE_28,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1983413,56238945,H3011_gp29,H3011_gp29,SERPOUNCE_29,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1983413,56238946,H3011_gp31,H3011_gp31,SERPOUNCE_31,-,-,-,upper collar protein,protein-coding,-,-,-,upper collar protein,20210424,-
1983413,56238947,H3011_gp32,H3011_gp32,SERPOUNCE_32,-,-,-,lower collar protein,protein-coding,-,-,-,lower collar protein,20210424,-
1983413,56238948,H3011_gp33,H3011_gp33,SERPOUNCE_33,-,-,-,pre-neck appendage protein,protein-coding,-,-,-,pre-neck appendage protein,20210425,-
1983413,56238949,H3011_gp34,H3011_gp34,SERPOUNCE_34,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210425,-
1983413,56238950,H3011_gp35,H3011_gp35,SERPOUNCE_35,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1983413,56238951,H3011_gp36,H3011_gp36,SERPOUNCE_36,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210425,-
1983413,56238952,H3011_gp37,H3011_gp37,SERPOUNCE_37,-,-,-,DNA encapsidation protein,protein-coding,-,-,-,DNA encapsidation protein,20210425,-
1983413,56238953,H3011_gp38,H3011_gp38,SERPOUNCE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983413,56238954,H3011_gp39,H3011_gp39,SERPOUNCE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983413,56238955,H3011_gp40,H3011_gp40,SERPOUNCE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983413,56238956,H3011_gp41,H3011_gp41,SERPOUNCE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983413,56238957,H3011_gp42,H3011_gp42,SERPOUNCE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983413,56238958,H3011_gp43,H3011_gp43,SERPOUNCE_43,-,-,-,early protein,protein-coding,-,-,-,early protein,20210424,-
1983413,56238959,H3011_gp44,H3011_gp44,SERPOUNCE_44,-,-,-,GNAT family acetyltransferase,protein-coding,-,-,-,GNAT family acetyltransferase,20201221,-
1983413,56238960,H3011_gp30,H3011_gp30,SERPOUNCE_30,-,-,-,tail knob protein,protein-coding,-,-,-,tail knob protein,20210424,-
1983413,56238961,H3011_gp01,H3011_gp01,SERPOUNCE_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983413,58119623,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200803,-
