#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2053812,55606253,HWB40_gp02,HWB40_gp02,SEA_MANUEL_2,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2053812,55606254,HWB40_gp03,HWB40_gp03,SEA_MANUEL_3,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210424,-
2053812,55606255,HWB40_gp04,HWB40_gp04,SEA_MANUEL_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200620,-
2053812,55606256,HWB40_gp05,HWB40_gp05,SEA_MANUEL_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606257,HWB40_gp06,HWB40_gp06,SEA_MANUEL_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606258,HWB40_gp07,HWB40_gp07,SEA_MANUEL_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606259,HWB40_gp08,HWB40_gp08,SEA_MANUEL_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606260,HWB40_gp10,HWB40_gp10,SEA_MANUEL_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606261,HWB40_gp11,HWB40_gp11,SEA_MANUEL_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606262,HWB40_gp12,HWB40_gp12,SEA_MANUEL_12,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20210424,-
2053812,55606263,HWB40_gp13,HWB40_gp13,SEA_MANUEL_13,-,-,-,glycosylase,protein-coding,-,-,-,glycosylase,20200620,-
2053812,55606264,HWB40_gp14,HWB40_gp14,SEA_MANUEL_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2053812,55606265,HWB40_gt01,HWB40_gt01,SEA_MANUEL_15,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2053812,55606266,HWB40_gp62,HWB40_gp62,SEA_MANUEL_35,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2053812,55606267,HWB40_gp61,HWB40_gp61,SEA_MANUEL_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606268,HWB40_gp60,HWB40_gp60,SEA_MANUEL_37,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2053812,55606269,HWB40_gp59,HWB40_gp59,SEA_MANUEL_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606270,HWB40_gp58,HWB40_gp58,SEA_MANUEL_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606271,HWB40_gp57,HWB40_gp57,SEA_MANUEL_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606272,HWB40_gp56,HWB40_gp56,SEA_MANUEL_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606273,HWB40_gp55,HWB40_gp55,SEA_MANUEL_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606274,HWB40_gp54,HWB40_gp54,SEA_MANUEL_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606275,HWB40_gp53,HWB40_gp53,SEA_MANUEL_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606276,HWB40_gp52,HWB40_gp52,SEA_MANUEL_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2053812,55606277,HWB40_gp51,HWB40_gp51,SEA_MANUEL_46,-,-,-,holin,protein-coding,-,-,-,holin,20200620,-
2053812,55606278,HWB40_gp50,HWB40_gp50,SEA_MANUEL_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606279,HWB40_gp49,HWB40_gp49,SEA_MANUEL_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606280,HWB40_gp48,HWB40_gp48,SEA_MANUEL_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606281,HWB40_gp47,HWB40_gp47,SEA_MANUEL_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2053812,55606282,HWB40_gp46,HWB40_gp46,SEA_MANUEL_51,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210424,-
2053812,55606283,HWB40_gp44,HWB40_gp44,SEA_MANUEL_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606284,HWB40_gp43,HWB40_gp43,SEA_MANUEL_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053812,55606285,HWB40_gp42,HWB40_gp42,SEA_MANUEL_55,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
2053812,55606286,HWB40_gp41,HWB40_gp41,SEA_MANUEL_56,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
2053812,55606287,HWB40_gp39,HWB40_gp39,SEA_MANUEL_58,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20200620,-
2053812,55606288,HWB40_gp37,HWB40_gp37,SEA_MANUEL_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
