#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2510571,55011304,2,HOV12_gp02,SEA_LILBOOBOO_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2510571,55011305,3,HOV12_gp03,SEA_LILBOOBOO_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2510571,55011306,4,HOV12_gp04,SEA_LILBOOBOO_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210403,-
2510571,55011307,5,HOV12_gp05,SEA_LILBOOBOO_5,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2510571,55011308,6,HOV12_gp06,SEA_LILBOOBOO_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2510571,55011309,7,HOV12_gp07,SEA_LILBOOBOO_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510571,55011310,8,HOV12_gp08,SEA_LILBOOBOO_8,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210403,-
2510571,55011311,9,HOV12_gp09,SEA_LILBOOBOO_9,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2510571,55011312,11,HOV12_gp10,SEA_LILBOOBOO_11,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2510571,55011313,12,HOV12_gp12,SEA_LILBOOBOO_12,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210403,-
2510571,55011314,10,HOV12_gp11,SEA_LILBOOBOO_10,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2510571,55011315,13,HOV12_gp13,SEA_LILBOOBOO_13,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2510571,55011316,14,HOV12_gp14,SEA_LILBOOBOO_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510571,55011317,15,HOV12_gp15,SEA_LILBOOBOO_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2510571,55011318,16,HOV12_gp16,SEA_LILBOOBOO_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510571,55011319,17,HOV12_gp17,SEA_LILBOOBOO_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2510571,55011320,18,HOV12_gp18,SEA_LILBOOBOO_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2510571,55011321,19,HOV12_gp19,SEA_LILBOOBOO_19,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210403,-
2510571,55011322,20,HOV12_gp20,SEA_LILBOOBOO_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510571,55011323,21,HOV12_gp21,SEA_LILBOOBOO_21,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20210403,-
2510571,55011324,22,HOV12_gp22,SEA_LILBOOBOO_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510571,55011325,23,HOV12_gp23,SEA_LILBOOBOO_23,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210403,-
2510571,55011326,24,HOV12_gp24,SEA_LILBOOBOO_24,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200910,-
2510571,55011327,25,HOV12_gp25,SEA_LILBOOBOO_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510571,55011328,26,HOV12_gp26,SEA_LILBOOBOO_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2510571,55011329,27,HOV12_gp27,SEA_LILBOOBOO_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510571,55011330,28,HOV12_gp28,SEA_LILBOOBOO_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510571,55011331,29,HOV12_gp29,SEA_LILBOOBOO_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510571,55011332,30,HOV12_gp30,SEA_LILBOOBOO_30,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2510571,55011333,31,HOV12_gp31,SEA_LILBOOBOO_31,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210403,-
2510571,55011334,32,HOV12_gp32,SEA_LILBOOBOO_32,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210403,-
2510571,55011335,33,HOV12_gp33,SEA_LILBOOBOO_33,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200910,-
2510571,55011336,34,HOV12_gp34,SEA_LILBOOBOO_34,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210403,-
2510571,55011337,35,HOV12_gp35,SEA_LILBOOBOO_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510571,55011338,36,HOV12_gp36,SEA_LILBOOBOO_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510571,55011339,37,HOV12_gt01,SEA_LILBOOBOO_37,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2510571,55011340,38,HOV12_gp55,SEA_LILBOOBOO_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510571,55011341,39,HOV12_gp54,SEA_LILBOOBOO_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510571,55011342,40,HOV12_gp53,SEA_LILBOOBOO_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510571,55011343,41,HOV12_gp52,SEA_LILBOOBOO_41,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210403,-
2510571,55011344,42,HOV12_gp51,SEA_LILBOOBOO_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510571,55011345,43,HOV12_gp50,SEA_LILBOOBOO_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510571,55011346,44,HOV12_gp49,SEA_LILBOOBOO_44,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210403,-
