#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1508678,40068213,FDG79_gp002,FDG79_gp002,ECTP3_00160,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
1508678,40068214,FDG79_gp003,FDG79_gp003,ECTP3_00161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068215,FDG79_gp004,FDG79_gp004,ECTP3_00162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068216,FDG79_gp005,FDG79_gp005,ECTP3_00163,-,-,-,DNA binding protein-like protein,protein-coding,-,-,-,DNA binding protein-like protein,20200629,-
1508678,40068217,FDG79_gp006,FDG79_gp006,ECTP3_00164,-,-,-,FRD2 protein,protein-coding,-,-,-,FRD2 protein,20200629,-
1508678,40068218,FDG79_gp007,FDG79_gp007,ECTP3_00165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068219,FDG79_gp008,FDG79_gp008,ECTP3_00166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068220,dhfrIII,FDG79_gp009,ECTP3_00167,-,-,-,dihydrofolate reductase type 3,protein-coding,-,-,-,dihydrofolate reductase type 3,20200629,-
1508678,40068221,thyA,FDG79_gp010,ECTP3_00168,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200629,-
1508678,40068222,FDG79_gp011,FDG79_gp011,ECTP3_00169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068223,nrdA,FDG79_gp012,ECTP3_00170,-,-,-,ribonucleoside-diphosphate reductase 1 subunit alpha,protein-coding,-,-,-,ribonucleoside-diphosphate reductase 1 subunit alpha,20200629,-
1508678,40068224,nrdB,FDG79_gp013,ECTP3_00171,-,-,-,ribonucleoside-diphosphate reductase 1 subunit beta,protein-coding,-,-,-,ribonucleoside-diphosphate reductase 1 subunit beta,20200629,-
1508678,40068225,FDG79_gp014,FDG79_gp014,ECTP3_00172,-,-,-,GIY-YIG catalytic domain protein,protein-coding,-,-,-,GIY-YIG catalytic domain protein,20200629,-
