#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
753085,10511692,S-CBS3_gp02,S-CBS3_gp02,-,-,-,-,putative phage-related protein,protein-coding,-,-,-,putative phage-related protein,20201220,-
753085,10511693,S-CBS3-gp03,S-CBS3-gp03,-,-,-,-,lambda-like phage portal protein,protein-coding,-,-,-,lambda-like phage portal protein,20201220,-
753085,10511694,S-CBS3_gp04,S-CBS3_gp04,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
753085,10511695,S-CBS3_gp05,S-CBS3_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511696,mtd,S-CBS3_gp06,-,-,-,-,major tropism determinant,protein-coding,-,-,-,major tropism determinant,20201220,-
753085,10511697,S-CBS3_gp07,S-CBS3_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511698,S-CBS3_gp08,S-CBS3_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511699,S-CBS3_gp09,S-CBS3_gp09,-,-,-,-,fiber protein,protein-coding,-,-,-,fiber protein,20201220,-
753085,10511700,S-CBS3_gp10,S-CBS3_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511701,S-CBS3_gp11,S-CBS3_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511702,S-CBS3_gp12,S-CBS3_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511703,S-CBS3_gp13,S-CBS3_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511704,S-CBS3_gp14,S-CBS3_gp14,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201220,-
753085,10511705,S-CBS3_gp15,S-CBS3_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511706,S-CBS3_gp16,S-CBS3_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511707,S-CBS3_gp17,S-CBS3_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511708,S-CBS3_gp18,S-CBS3_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511709,S-CBS3_gp19,S-CBS3_gp19,-,-,-,-,fiber protein,protein-coding,-,-,-,fiber protein,20201220,-
753085,10511710,S-CBS3_gp20,S-CBS3_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511711,S-CBS3_gp21,S-CBS3_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511712,S-CBS3_gp22,S-CBS3_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
753085,10511713,S-CBS3_gp23,S-CBS3_gp23,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201220,-
