#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1655019,25102395,PROCRASS1_2,PROCRASS1_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1655019,25102396,PROCRASS1_3,PROCRASS1_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1655019,25102397,PROCRASS1_4,PROCRASS1_4,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1655019,25102398,PROCRASS1_5,PROCRASS1_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1655019,25102399,PROCRASS1_6,PROCRASS1_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1655019,25102400,PROCRASS1_7,PROCRASS1_7,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1655019,25102401,PROCRASS1_8,PROCRASS1_8,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1655019,25102402,PROCRASS1_9,PROCRASS1_9,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655019,25102403,PROCRASS1_10,PROCRASS1_10,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655019,25102404,PROCRASS1_11,PROCRASS1_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1655019,25102405,PROCRASS1_13,PROCRASS1_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1655019,25102406,PROCRASS1_14,PROCRASS1_14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1655019,25102407,PROCRASS1_12,PROCRASS1_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1655019,25102408,PROCRASS1_15,PROCRASS1_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655019,25102409,PROCRASS1_16,PROCRASS1_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655019,25102410,PROCRASS1_17,PROCRASS1_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655019,25102411,PROCRASS1_18,PROCRASS1_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655019,25102412,PROCRASS1_19,PROCRASS1_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655019,25102413,PROCRASS1_20,PROCRASS1_20,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20201221,-
1655019,25102414,PROCRASS1_21,PROCRASS1_21,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1655019,25102415,PROCRASS1_22,PROCRASS1_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655019,25102416,PROCRASS1_23,PROCRASS1_23,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1655019,25102417,PROCRASS1_24,PROCRASS1_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655019,25102418,PROCRASS1_25,PROCRASS1_25,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1655019,25102419,PROCRASS1_26,PROCRASS1_26,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1655019,25102420,PROCRASS1_27,PROCRASS1_27,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1655019,25102421,PROCRASS1_28,PROCRASS1_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655019,25102422,PROCRASS1_29,PROCRASS1_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655019,25102423,PROCRASS1_30,PROCRASS1_30,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1655019,25102424,PROCRASS1_31,PROCRASS1_31,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1655019,25102425,PROCRASS1_33,PROCRASS1_33,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1655019,25102426,PROCRASS1_34,PROCRASS1_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655019,25102427,PROCRASS1_35,PROCRASS1_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655019,25102428,PROCRASS1_36,PROCRASS1_36,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1655019,25102429,PROCRASS1_37,PROCRASS1_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655019,25102430,PROCRASS1_38,PROCRASS1_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655019,25102431,PROCRASS1_40,PROCRASS1_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655019,25102432,PROCRASS1_41,PROCRASS1_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655019,25102433,PROCRASS1_42,PROCRASS1_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655019,25102434,PROCRASS1_43,PROCRASS1_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655019,25102435,PROCRASS1_44,PROCRASS1_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655019,25102436,PROCRASS1_45,PROCRASS1_45,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1655019,25102437,PROCRASS1_32,PROCRASS1_32,-,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20201221,-
1655019,25102438,PROCRASS1_39,PROCRASS1_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655019,25102439,PROCRASS1_1,PROCRASS1_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1655019,25147818,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Propionibacterium acnes bacteriophage Procrass1).,other,-,-,-,-,20200513,-
